feature	chromosome	start	end	SLX-17922.D701tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17922.D701tp_D506tp.HC22GBBXY.s_6.r_1	SLX-17921.D711tp_D502tp.H5J55BBXY.s_8.r_1	SLX-17921.D711tp_D503tp.H5J55BBXY.s_8.r_1
8:34000001-34500000	8	34000001	34500000	1.042	0.988	0.989	1.088
8:34500001-35000000	8	34500001	35000000	1.025	0.992	1.059	0.967
8:35000001-35500000	8	35000001	35500000	1.018	0.988	0.995	1.076
8:35500001-36000000	8	35500001	36000000	0.92	0.991	1.029	0.992
8:36500001-37000000	8	36500001	37000000	0.986	1.066	1.039	1.031
8:37000001-37500000	8	37000001	37500000	1.003	1.009	0.907	0.892
8:37500001-38000000	8	37500001	38000000	0.997	1.004	1.037	1.033
8:38000001-38500000	8	38000001	38500000	0.979	0.937	0.848	0.915
8:38500001-39000000	8	38500001	39000000	0.941	1.025	0.951	0.994
8:39000001-39500000	8	39000001	39500000	0.928	0.965	0.947	0.968
8:39500001-40000000	8	39500001	40000000	0.974	1.003	0.956	0.969
8:40500001-41000000	8	40500001	41000000	1.032	0.963	0.965	0.958
8:41000001-41500000	8	41000001	41500000	0.971	0.976	1.027	0.893
8:41500001-42000000	8	41500001	42000000	0.992	1.024	0.94	0.985
8:42000001-42500000	8	42000001	42500000	1.061	0.998	0.933	0.981
8:42500001-43000000	8	42500001	43000000	1.048	1.018	0.999	1.019
8:47000001-47500000	8	47000001	47500000	1.003	0.955	1	1.122
8:47500001-48000000	8	47500001	48000000	0.919	1.002	0.988	0.969
8:48000001-48500000	8	48000001	48500000	1.099	1.045	1.068	1.161
8:48500001-49000000	8	48500001	49000000	1.072	1.127	1.043	0.966
8:49000001-49500000	8	49000001	49500000	1.023	1.051	0.984	1.107
8:49500001-50000000	8	49500001	50000000	0.954	0.996	0.949	0.983
8:50000001-50500000	8	50000001	50500000	0.952	0.995	1.012	1.086
8:51000001-51500000	8	51000001	51500000	1.002	0.945	1.008	0.931
8:51500001-52000000	8	51500001	52000000	0.981	0.987	0.959	0.926
8:52000001-52500000	8	52000001	52500000	1.003	0.978	0.963	1.066
8:52500001-53000000	8	52500001	53000000	1.09	0.895	1.051	0.86
8:53000001-53500000	8	53000001	53500000	0.994	1.11	1.072	1.058
8:53500001-54000000	8	53500001	54000000	1.089	1.009	1.057	1.071
8:54000001-54500000	8	54000001	54500000	0.963	0.89	1.018	1.024
8:54500001-55000000	8	54500001	55000000	1.015	1.014	0.998	0.999
8:55000001-55500000	8	55000001	55500000	1.035	1.053	1.139	0.929
8:55500001-56000000	8	55500001	56000000	0.95	0.929	0.92	1.033
8:56000001-56500000	8	56000001	56500000	1.082	1.036	0.994	1.147
8:57000001-57500000	8	57000001	57500000	0.98	0.977	0.96	1.03
8:57500001-58000000	8	57500001	58000000	0.964	0.988	1.003	1.012
8:58000001-58500000	8	58000001	58500000	1.04	1.02	1.022	0.911
8:58500001-59000000	8	58500001	59000000	1.02	1.06	1.013	1.003
8:59000001-59500000	8	59000001	59500000	1.004	1.004	0.93	1.083
8:59500001-60000000	8	59500001	60000000	1.026	0.972	1.11	1.037
8:60000001-60500000	8	60000001	60500000	1.086	1.053	1.033	1.071
8:60500001-61000000	8	60500001	61000000	0.935	1	0.891	0.989
8:61500001-62000000	8	61500001	62000000	0.943	1.028	1.097	1.127
8:62000001-62500000	8	62000001	62500000	0.937	0.971	0.964	1.029
8:62500001-63000000	8	62500001	63000000	1.012	1.088	1.053	1.086
8:63000001-63500000	8	63000001	63500000	1.011	0.985	0.938	1.008
8:63500001-64000000	8	63500001	64000000	1.026	1.009	1.046	1.033
8:64000001-64500000	8	64000001	64500000	1.03	1.091	1.023	1.077
8:64500001-65000000	8	64500001	65000000	1.076	1.093	1.03	1.032
8:65000001-65500000	8	65000001	65500000	0.995	1.042	1.051	1.074
8:65500001-66000000	8	65500001	66000000	0.934	0.96	1.007	0.864
8:66000001-66500000	8	66000001	66500000	1.048	0.982	1.056	1.035
8:66500001-67000000	8	66500001	67000000	0.998	1	0.965	0.992
8:67000001-67500000	8	67000001	67500000	1.009	1.022	0.972	0.937
8:68000001-68500000	8	68000001	68500000	0.97	0.963	1.092	1.051
8:68500001-69000000	8	68500001	69000000	0.972	0.976	1.012	0.892
8:69500001-70000000	8	69500001	70000000	1.054	1.039	0.965	1.109
8:70000001-70500000	8	70000001	70500000	0.918	0.999	0.968	1.059
8:70500001-71000000	8	70500001	71000000	1.032	1.007	0.91	1.101
8:71000001-71500000	8	71000001	71500000	1.025	1.01	1.031	1.078
8:71500001-72000000	8	71500001	72000000	1.082	1.072	0.965	1.15
8:72000001-72500000	8	72000001	72500000	0.976	0.965	1.039	0.965
8:73000001-73500000	8	73000001	73500000	0.93	1.025	0.992	0.985
8:73500001-74000000	8	73500001	74000000	0.901	0.976	0.857	0.977
8:74000001-74500000	8	74000001	74500000	1.021	1.023	1.049	0.972
8:75000001-75500000	8	75000001	75500000	1.034	0.968	0.907	1.029
8:75500001-76000000	8	75500001	76000000	1.01	0.958	1.025	0.991
8:77000001-77500000	8	77000001	77500000	1.012	1.02	1.009	0.924
8:77500001-78000000	8	77500001	78000000	0.974	0.967	0.992	1.008
8:78000001-78500000	8	78000001	78500000	0.992	0.993	1.034	0.971
8:78500001-79000000	8	78500001	79000000	0.983	1.033	1.012	1.134
8:79000001-79500000	8	79000001	79500000	1.003	1.027	1.03	1.093
8:79500001-80000000	8	79500001	80000000	1.046	1.023	1.007	1.104
8:80000001-80500000	8	80000001	80500000	0.998	0.995	0.816	0.846
8:80500001-81000000	8	80500001	81000000	0.939	1.028	0.79	0.764
8:81000001-81500000	8	81000001	81500000	1.039	1.04	1.016	0.915
8:81500001-82000000	8	81500001	82000000	1.026	1.096	1.006	0.904
8:82000001-82500000	8	82000001	82500000	1.02	1.071	1.006	1.016
8:82500001-83000000	8	82500001	83000000	1.051	0.989	1.013	1.028
8:83000001-83500000	8	83000001	83500000	0.899	0.934	1.011	0.968
8:83500001-84000000	8	83500001	84000000	1.054	0.986	1.003	1.004
8:84000001-84500000	8	84000001	84500000	1.006	1.034	1.043	1.053
8:84500001-85000000	8	84500001	85000000	1.052	1.041	1.039	1.061
8:85000001-85500000	8	85000001	85500000	1.061	0.931	0.982	0.9
8:86000001-86500000	8	86000001	86500000	0.942	0.981	0.952	0.894
8:86500001-87000000	8	86500001	87000000	0.948	1.025	1.031	0.966
8:87000001-87500000	8	87000001	87500000	1.031	1.03	1.032	0.938
8:87500001-88000000	8	87500001	88000000	0.956	1.019	1.094	1.056
8:88000001-88500000	8	88000001	88500000	1.02	0.94	1.078	1.008
8:88500001-89000000	8	88500001	89000000	1.047	1.045	1.03	1.142
8:89000001-89500000	8	89000001	89500000	0.99	0.993	1.079	1.086
8:89500001-90000000	8	89500001	90000000	0.93	0.969	0.967	0.911
8:90000001-90500000	8	90000001	90500000	1.084	0.969	1.109	1.06
8:90500001-91000000	8	90500001	91000000	1.012	0.998	0.98	1.017
8:91000001-91500000	8	91000001	91500000	1.094	0.977	1.043	1.074
8:91500001-92000000	8	91500001	92000000	0.99	0.966	1.075	1.208
8:92000001-92500000	8	92000001	92500000	0.991	1.008	1.131	0.952
8:92500001-93000000	8	92500001	93000000	0.988	1.049	1.087	1.035
8:93000001-93500000	8	93000001	93500000	1.019	0.969	1.017	1.133
8:93500001-94000000	8	93500001	94000000	1.014	1.057	1.042	1.014
8:94000001-94500000	8	94000001	94500000	1.012	0.998	1.094	1.005
8:94500001-95000000	8	94500001	95000000	0.989	0.963	0.999	0.911
8:95000001-95500000	8	95000001	95500000	1.027	1.007	0.987	1.043
8:95500001-96000000	8	95500001	96000000	1.058	1.016	1.09	0.946
8:96000001-96500000	8	96000001	96500000	1	1.058	0.992	0.933
8:96500001-97000000	8	96500001	97000000	0.971	0.91	0.926	1.083
8:97000001-97500000	8	97000001	97500000	1.017	1.117	1.07	1.122
8:98000001-98500000	8	98000001	98500000	1.037	1.073	1.07	1.024
8:98500001-99000000	8	98500001	99000000	1.077	0.979	1.05	1.128
8:99500001-100000000	8	99500001	100000000	1.052	1.023	1.036	1.112
8:100000001-100500000	8	100000001	100500000	1.001	1.07	0.938	0.899
8:100500001-101000000	8	100500001	101000000	0.957	0.962	0.922	0.925
8:101000001-101500000	8	101000001	101500000	0.959	1.025	0.978	1.029
8:101500001-102000000	8	101500001	102000000	1.033	1.081	1.077	1.004
8:102000001-102500000	8	102000001	102500000	0.969	0.961	0.96	1.048
8:103500001-104000000	8	103500001	104000000	0.966	1.01	1.026	0.988
8:104000001-104500000	8	104000001	104500000	1.046	1.04	1.011	1.01
8:104500001-105000000	8	104500001	105000000	0.994	0.992	1.037	1.098
8:105000001-105500000	8	105000001	105500000	1.007	0.939	1.058	1
8:105500001-106000000	8	105500001	106000000	1.047	0.998	1.061	1.059
8:106000001-106500000	8	106000001	106500000	0.992	0.975	1.018	0.988
8:106500001-107000000	8	106500001	107000000	0.988	0.948	1.017	1.008
8:107000001-107500000	8	107000001	107500000	0.988	1.043	1.035	1.12
8:107500001-108000000	8	107500001	108000000	1.02	0.985	0.95	0.995
8:108000001-108500000	8	108000001	108500000	1.092	0.969	1.065	1.014
8:109000001-109500000	8	109000001	109500000	1.099	1.034	0.995	1.069
8:109500001-110000000	8	109500001	110000000	1.064	1.035	0.993	1.118
8:110000001-110500000	8	110000001	110500000	0.997	1.025	1.007	1.011
8:111500001-112000000	8	111500001	112000000	1.002	0.998	0.976	0.998
8:112000001-112500000	8	112000001	112500000	0.996	0.925	0.968	1.011
8:112500001-113000000	8	112500001	113000000	1.084	0.986	1.015	0.976
8:113000001-113500000	8	113000001	113500000	0.998	1.026	1.037	1.002
8:113500001-114000000	8	113500001	114000000	1.009	0.956	0.916	0.945
8:114000001-114500000	8	114000001	114500000	0.994	0.973	1.009	1.004
8:114500001-115000000	8	114500001	115000000	1.04	0.988	0.98	1.014
8:115000001-115500000	8	115000001	115500000	0.988	1.035	0.996	1.145
8:115500001-116000000	8	115500001	116000000	1.092	1.042	0.994	1.002
8:116000001-116500000	8	116000001	116500000	0.99	1.074	1.053	1.028
8:116500001-117000000	8	116500001	117000000	0.974	1.023	0.94	0.987
8:117000001-117500000	8	117000001	117500000	1.055	0.997	0.976	1.065
8:117500001-118000000	8	117500001	118000000	0.939	1.021	0.98	1.024
8:118000001-118500000	8	118000001	118500000	1.044	1.033	0.979	0.94
8:118500001-119000000	8	118500001	119000000	1.026	1.05	1.067	1.081
8:119000001-119500000	8	119000001	119500000	1.006	1.092	1.006	1.129
8:119500001-120000000	8	119500001	120000000	1.048	1.009	0.931	1.018
8:120500001-121000000	8	120500001	121000000	0.989	1.015	1.056	0.968
8:121000001-121500000	8	121000001	121500000	1.022	1.115	1.138	0.987
8:121500001-122000000	8	121500001	122000000	1.044	1.043	0.968	1.056
8:122000001-122500000	8	122000001	122500000	1.064	0.984	0.998	1.073
8:122500001-123000000	8	122500001	123000000	1.023	0.95	0.994	1.007
8:123000001-123500000	8	123000001	123500000	1.048	0.932	0.902	0.967
8:123500001-124000000	8	123500001	124000000	1.008	1.001	1.013	0.967
8:124000001-124500000	8	124000001	124500000	0.943	0.985	0.97	1.059
8:124500001-125000000	8	124500001	125000000	0.924	1.025	0.91	0.971
8:125000001-125500000	8	125000001	125500000	1.027	0.986	0.964	0.902
8:125500001-126000000	8	125500001	126000000	0.973	1.014	0.966	1.037
8:126000001-126500000	8	126000001	126500000	0.985	1	0.995	1.135
8:126500001-127000000	8	126500001	127000000	1.069	1.018	0.908	0.936
8:128000001-128500000	8	128000001	128500000	0.992	0.971	1.003	1.128
8:128500001-129000000	8	128500001	129000000	1.107	1.146	1.045	1.039
8:129000001-129500000	8	129000001	129500000	1.057	1.01	1.059	1.045
8:129500001-130000000	8	129500001	130000000	0.977	0.985	0.928	1.046
8:130000001-130500000	8	130000001	130500000	1.037	0.914	0.922	0.93
8:130500001-131000000	8	130500001	131000000	0.968	1.055	0.989	1.033
8:131000001-131500000	8	131000001	131500000	1.117	1.006	1.08	1.093
8:131500001-132000000	8	131500001	132000000	1.091	0.962	1.004	1.088
8:132000001-132500000	8	132000001	132500000	1.07	1.046	1.023	1.041
8:132500001-133000000	8	132500001	133000000	1.022	0.989	0.967	0.93
8:133000001-133500000	8	133000001	133500000	1.012	0.927	0.816	0.97
8:134000001-134500000	8	134000001	134500000	1.061	1.004	1.026	1.056
8:134500001-135000000	8	134500001	135000000	0.997	1.012	1.042	1.011
8:135000001-135500000	8	135000001	135500000	1.005	0.974	0.936	0.995
8:135500001-136000000	8	135500001	136000000	0.989	1.023	1.073	0.897
8:136000001-136500000	8	136000001	136500000	1.003	0.941	1.042	1.024
8:136500001-137000000	8	136500001	137000000	0.934	0.885	0.93	0.962
8:137000001-137500000	8	137000001	137500000	0.954	0.976	0.935	1.034
8:137500001-138000000	8	137500001	138000000	0.997	1.034	1.008	1.068
8:138000001-138500000	8	138000001	138500000	1.063	1.045	1.066	1.146
8:138500001-139000000	8	138500001	139000000	1	1.008	0.987	1.018
8:139000001-139500000	8	139000001	139500000	1.105	1.015	1.021	1.085
8:139500001-140000000	8	139500001	140000000	0.97	1.047	0.966	1.075
8:140000001-140500000	8	140000001	140500000	1.079	1.005	0.996	0.957
8:140500001-141000000	8	140500001	141000000	0.904	1.041	0.882	0.871
8:141000001-141500000	8	141000001	141500000	0.937	0.934	0.938	0.98
8:141500001-142000000	8	141500001	142000000	1.01	1.031	1.028	1.15
8:142000001-142500000	8	142000001	142500000	0.948	0.973	1	0.959
8:142500001-143000000	8	142500001	143000000	1.073	0.963	1.115	1.1
8:143000001-143500000	8	143000001	143500000	0.982	0.99	1.036	1.104
8:143500001-144000000	8	143500001	144000000	0.966	0.911	0.876	0.92
8:144000001-144500000	8	144000001	144500000	0.963	0.986	0.959	0.9
8:144500001-145000000	8	144500001	145000000	0.994	1.045	1.006	1.057
9:500001-1000000	9	500001	1000000	1.003	0.965	0.935	0.933
9:1000001-1500000	9	1000001	1500000	1.068	0.993	1.026	1.059
9:1500001-2000000	9	1500001	2000000	1.101	1.073	1.099	1.089
9:2000001-2500000	9	2000001	2500000	0.99	0.939	0.934	0.969
9:2500001-3000000	9	2500001	3000000	1.046	0.975	0.986	0.992
9:3000001-3500000	9	3000001	3500000	1.007	1.042	1.002	1.068
9:3500001-4000000	9	3500001	4000000	1.007	1.048	1.021	0.988
9:4000001-4500000	9	4000001	4500000	0.995	0.947	0.963	1.142
9:4500001-5000000	9	4500001	5000000	0.928	0.939	0.886	0.942
9:5500001-6000000	9	5500001	6000000	0.996	0.971	0.901	0.967
9:6000001-6500000	9	6000001	6500000	1.048	1.081	1.01	1.082
9:6500001-7000000	9	6500001	7000000	0.99	1.05	0.987	0.93
9:7000001-7500000	9	7000001	7500000	1.033	1.045	1.039	1.105
9:7500001-8000000	9	7500001	8000000	1.036	1.036	1.08	1.022
9:8000001-8500000	9	8000001	8500000	0.996	1.022	0.94	1.064
9:8500001-9000000	9	8500001	9000000	0.944	0.97	1.029	1.036
9:9000001-9500000	9	9000001	9500000	0.978	0.959	0.977	1
9:10000001-10500000	9	10000001	10500000	0.983	1.013	0.961	1.008
9:10500001-11000000	9	10500001	11000000	0.998	0.963	0.97	1.112
9:11000001-11500000	9	11000001	11500000	0.97	0.953	0.927	1.055
9:11500001-12000000	9	11500001	12000000	1.017	0.982	0.968	0.961
9:12000001-12500000	9	12000001	12500000	1.027	0.924	1.058	0.956
9:12500001-13000000	9	12500001	13000000	1.027	0.986	1.023	1.062
9:13000001-13500000	9	13000001	13500000	1.022	0.978	0.972	1.145
9:13500001-14000000	9	13500001	14000000	1.003	0.966	0.944	0.927
9:14000001-14500000	9	14000001	14500000	1.002	1.018	1.004	0.953
9:14500001-15000000	9	14500001	15000000	1.031	1.005	1.053	1.009
9:15000001-15500000	9	15000001	15500000	0.934	0.903	0.935	0.941
9:16000001-16500000	9	16000001	16500000	0.98	1.054	1.036	1.126
9:16500001-17000000	9	16500001	17000000	1.022	0.976	1.044	1.024
9:17000001-17500000	9	17000001	17500000	0.91	1.102	0.978	1.005
9:17500001-18000000	9	17500001	18000000	1.138	1.103	1.069	1.049
9:18500001-19000000	9	18500001	19000000	1.037	1.004	0.978	1.02
9:19000001-19500000	9	19000001	19500000	0.973	0.959	0.875	0.979
9:19500001-20000000	9	19500001	20000000	1.033	1.03	1.028	1.084
9:20000001-20500000	9	20000001	20500000	1.075	1.085	1.053	1.055
9:20500001-21000000	9	20500001	21000000	0.947	1.011	0.896	0.97
9:21000001-21500000	9	21000001	21500000	0.956	1.065	0.981	1.02
9:21500001-22000000	9	21500001	22000000	0.941	1.069	0.94	0.921
9:22000001-22500000	9	22000001	22500000	0.949	1.02	1.045	1.008
9:22500001-23000000	9	22500001	23000000	1.003	0.971	0.914	1.013
9:23000001-23500000	9	23000001	23500000	0.995	0.945	0.909	0.87
9:23500001-24000000	9	23500001	24000000	0.955	0.938	0.953	0.982
9:24000001-24500000	9	24000001	24500000	0.963	1.017	0.97	1.079
9:24500001-25000000	9	24500001	25000000	1	1.024	1.064	1.03
9:25000001-25500000	9	25000001	25500000	0.965	1.021	1.001	1.02
9:25500001-26000000	9	25500001	26000000	0.984	1.026	0.975	1.02
9:26000001-26500000	9	26000001	26500000	1.05	0.963	1.036	1.104
9:26500001-27000000	9	26500001	27000000	0.92	1.038	1.025	1.041
9:27000001-27500000	9	27000001	27500000	1.063	1.034	1.01	1.01
9:27500001-28000000	9	27500001	28000000	0.997	1.001	1.007	1.036
9:28000001-28500000	9	28000001	28500000	1.043	1.045	1.025	1.14
9:28500001-29000000	9	28500001	29000000	0.988	1.044	0.971	1.038
9:29000001-29500000	9	29000001	29500000	1.027	0.984	1.065	0.879
9:29500001-30000000	9	29500001	30000000	0.991	0.968	0.981	0.877
9:30000001-30500000	9	30000001	30500000	1.024	1.006	0.991	1.026
9:30500001-31000000	9	30500001	31000000	0.99	0.919	1.056	0.983
9:31500001-32000000	9	31500001	32000000	0.97	1.004	0.994	0.981
9:32000001-32500000	9	32000001	32500000	1.048	1.062	1.055	1.015
9:32500001-33000000	9	32500001	33000000	0.978	1.017	1.006	1.051
9:33000001-33500000	9	33000001	33500000	0.949	1.032	0.906	0.966
9:34000001-34500000	9	34000001	34500000	1.016	0.996	1.009	0.983
9:35000001-35500000	9	35000001	35500000	0.989	1.015	1.063	1.03
9:35500001-36000000	9	35500001	36000000	0.919	0.972	0.948	0.909
9:36500001-37000000	9	36500001	37000000	1.079	1.056	1.107	1.009
9:37000001-37500000	9	37000001	37500000	0.93	0.918	0.933	1.061
9:37500001-38000000	9	37500001	38000000	0.918	0.998	0.953	1.09
9:38000001-38500000	9	38000001	38500000	1.078	1.1	1.014	0.859
9:68500001-69000000	9	68500001	69000000	0.953	1.035	0.97	0.93
9:69000001-69500000	9	69000001	69500000	1.076	0.99	0.917	1.073
9:69500001-70000000	9	69500001	70000000	1.003	0.988	0.985	1.006
9:70000001-70500000	9	70000001	70500000	0.967	0.991	0.977	0.99
9:70500001-71000000	9	70500001	71000000	0.975	1.026	0.948	1.117
9:71000001-71500000	9	71000001	71500000	1.133	1.018	1.054	0.994
9:71500001-72000000	9	71500001	72000000	0.946	0.975	0.966	0.928
9:72000001-72500000	9	72000001	72500000	1.014	0.959	1.063	1.023
9:73000001-73500000	9	73000001	73500000	0.986	0.995	0.992	1.031
9:73500001-74000000	9	73500001	74000000	0.951	1.004	1.043	1.036
9:74000001-74500000	9	74000001	74500000	1.009	0.986	1.01	1.044
9:74500001-75000000	9	74500001	75000000	0.953	0.941	0.994	1.008
9:75000001-75500000	9	75000001	75500000	1.011	0.913	0.924	1.013
9:75500001-76000000	9	75500001	76000000	0.985	0.999	0.991	0.958
9:76000001-76500000	9	76000001	76500000	0.934	1.046	1.038	1.019
9:76500001-77000000	9	76500001	77000000	1.007	0.937	0.986	1.056
9:77000001-77500000	9	77000001	77500000	0.951	1.006	0.98	0.93
9:77500001-78000000	9	77500001	78000000	0.974	1.014	1.059	0.958
9:78000001-78500000	9	78000001	78500000	1.045	1.138	0.989	1.09
9:79000001-79500000	9	79000001	79500000	1.069	1.115	1.109	1.054
9:80000001-80500000	9	80000001	80500000	0.988	1.014	0.922	0.969
9:81000001-81500000	9	81000001	81500000	1.046	0.964	0.983	1.098
9:82500001-83000000	9	82500001	83000000	1.018	1.085	1.009	1.143
9:83000001-83500000	9	83000001	83500000	1.06	1.076	0.931	0.947
9:83500001-84000000	9	83500001	84000000	0.92	0.907	0.862	0.88
9:84000001-84500000	9	84000001	84500000	1.069	1.068	0.959	0.986
9:84500001-85000000	9	84500001	85000000	1.005	1.014	0.986	0.914
9:85000001-85500000	9	85000001	85500000	1.006	1.087	1.067	1.096
9:85500001-86000000	9	85500001	86000000	1	0.931	0.931	0.996
9:86000001-86500000	9	86000001	86500000	1.063	1.041	1.034	1.083
9:86500001-87000000	9	86500001	87000000	0.972	1.054	1.022	1.068
9:87000001-87500000	9	87000001	87500000	1.009	0.987	0.929	1.008
9:87500001-88000000	9	87500001	88000000	1.098	1.083	1.091	1.035
9:88000001-88500000	9	88000001	88500000	1.085	1.042	1.032	1.028
9:88500001-89000000	9	88500001	89000000	1.069	1.025	1.031	1.019
9:89000001-89500000	9	89000001	89500000	0.95	0.971	0.934	1.061
9:89500001-90000000	9	89500001	90000000	0.984	0.965	0.965	0.955
9:90000001-90500000	9	90000001	90500000	1.108	1.101	1.015	1.191
9:90500001-91000000	9	90500001	91000000	1.054	0.979	0.958	1.058
9:91000001-91500000	9	91000001	91500000	0.923	0.972	0.967	0.95
9:91500001-92000000	9	91500001	92000000	1.015	0.986	0.978	1.037
9:93000001-93500000	9	93000001	93500000	0.982	0.995	0.954	1.023
9:93500001-94000000	9	93500001	94000000	0.972	0.87	0.936	0.892
9:94500001-95000000	9	94500001	95000000	1.031	1.064	1.053	0.905
9:95000001-95500000	9	95000001	95500000	0.981	1.025	0.899	0.926
9:96000001-96500000	9	96000001	96500000	1.065	1.11	1.066	1.092
9:97500001-98000000	9	97500001	98000000	0.959	0.961	0.92	1.066
9:98000001-98500000	9	98000001	98500000	0.929	1.016	0.981	1.079
9:98500001-99000000	9	98500001	99000000	1.031	1.016	1.045	1.001
9:99000001-99500000	9	99000001	99500000	1.047	0.993	0.982	0.984
9:99500001-100000000	9	99500001	100000000	1.022	1.054	1.041	0.894
9:100000001-100500000	9	100000001	100500000	0.994	0.994	0.934	0.945
9:100500001-101000000	9	100500001	101000000	0.973	1.058	1.088	1.059
9:101000001-101500000	9	101000001	101500000	1.007	1.039	0.991	1.06
9:101500001-102000000	9	101500001	102000000	1.012	1.002	1.071	0.977
9:102000001-102500000	9	102000001	102500000	0.995	0.99	0.961	0.956
9:102500001-103000000	9	102500001	103000000	1.046	0.953	0.971	0.983
9:103000001-103500000	9	103000001	103500000	1.043	0.964	0.921	0.963
9:103500001-104000000	9	103500001	104000000	0.965	0.953	0.905	0.958
9:104000001-104500000	9	104000001	104500000	1.007	0.946	1.021	1.042
9:104500001-105000000	9	104500001	105000000	0.988	1.005	0.87	0.995
9:105000001-105500000	9	105000001	105500000	0.949	1.029	0.988	0.991
9:105500001-106000000	9	105500001	106000000	0.979	1.06	1.088	1.134
9:106000001-106500000	9	106000001	106500000	1.08	1.038	0.926	1.007
9:106500001-107000000	9	106500001	107000000	0.97	0.99	0.986	1.08
9:107000001-107500000	9	107000001	107500000	1.013	1.03	0.941	0.927
9:107500001-108000000	9	107500001	108000000	1.019	1.071	0.983	0.976
9:108000001-108500000	9	108000001	108500000	0.986	1.029	0.999	0.994
9:108500001-109000000	9	108500001	109000000	1.028	1.067	0.886	0.957
9:109000001-109500000	9	109000001	109500000	0.974	1.008	0.94	0.941
9:109500001-110000000	9	109500001	110000000	0.968	1.011	1.02	1.04
9:110000001-110500000	9	110000001	110500000	1.014	1.057	1	1.055
9:110500001-111000000	9	110500001	111000000	0.995	1.039	1.018	0.951
9:111000001-111500000	9	111000001	111500000	1	0.964	1.029	1.047
9:111500001-112000000	9	111500001	112000000	0.978	1	0.989	0.989
9:112000001-112500000	9	112000001	112500000	0.876	0.895	0.881	0.905
9:112500001-113000000	9	112500001	113000000	0.994	0.984	0.978	0.969
9:113000001-113500000	9	113000001	113500000	1.09	0.966	0.976	1.071
9:113500001-114000000	9	113500001	114000000	0.983	0.921	0.969	1.097
9:114000001-114500000	9	114000001	114500000	0.983	0.97	0.89	1.006
9:114500001-115000000	9	114500001	115000000	0.984	1.037	1.073	0.991
9:115000001-115500000	9	115000001	115500000	1.012	1.037	0.992	0.978
9:115500001-116000000	9	115500001	116000000	1.05	1.029	0.995	1.056
9:116000001-116500000	9	116000001	116500000	0.928	0.979	0.98	1.024
9:116500001-117000000	9	116500001	117000000	1.03	1.021	1.02	1.112
9:117500001-118000000	9	117500001	118000000	1.073	1.047	1.052	0.992
9:118000001-118500000	9	118000001	118500000	0.992	1.005	1.026	0.938
9:118500001-119000000	9	118500001	119000000	0.913	0.986	0.998	0.984
9:119000001-119500000	9	119000001	119500000	1.035	1.068	1.066	1.013
9:119500001-120000000	9	119500001	120000000	1.064	1.019	1.013	1.051
9:120000001-120500000	9	120000001	120500000	1.144	1.041	1.053	0.967
9:120500001-121000000	9	120500001	121000000	0.94	0.985	0.907	1.029
9:121000001-121500000	9	121000001	121500000	0.95	0.941	0.901	0.982
9:121500001-122000000	9	121500001	122000000	1.099	1.075	1.071	1.072
9:122000001-122500000	9	122000001	122500000	1.053	0.989	1.003	1.091
9:123000001-123500000	9	123000001	123500000	0.996	0.975	1.022	0.92
9:123500001-124000000	9	123500001	124000000	1.048	1.04	0.998	1.157
9:124000001-124500000	9	124000001	124500000	1.055	0.99	0.991	1.083
9:124500001-125000000	9	124500001	125000000	1.004	0.972	0.978	0.956
9:125000001-125500000	9	125000001	125500000	0.997	1.006	0.977	0.879
9:125500001-126000000	9	125500001	126000000	0.961	0.969	0.91	0.928
9:126000001-126500000	9	126000001	126500000	1.002	1.007	0.995	1.069
9:126500001-127000000	9	126500001	127000000	0.932	1.071	1.045	0.984
9:127000001-127500000	9	127000001	127500000	0.991	0.972	0.954	1.015
9:127500001-128000000	9	127500001	128000000	0.966	1.028	0.933	1.048
9:128000001-128500000	9	128000001	128500000	1.084	1.031	0.966	0.999
9:128500001-129000000	9	128500001	129000000	1.031	0.964	0.982	0.926
9:129000001-129500000	9	129000001	129500000	0.934	0.929	0.902	0.97
9:130000001-130500000	9	130000001	130500000	1.048	1.033	0.852	1.004
9:130500001-131000000	9	130500001	131000000	1.004	1.053	1.009	0.972
9:131000001-131500000	9	131000001	131500000	1.016	1.031	1.048	0.939
9:131500001-132000000	9	131500001	132000000	0.988	1.038	1.009	1.005
9:132000001-132500000	9	132000001	132500000	0.988	0.917	0.945	1.045
9:132500001-133000000	9	132500001	133000000	0.933	1.042	0.982	0.985
9:133000001-133500000	9	133000001	133500000	0.928	0.956	0.894	0.938
9:133500001-134000000	9	133500001	134000000	1.006	1.005	0.964	0.911
9:134500001-135000000	9	134500001	135000000	1.03	0.95	1.04	1.01
9:135000001-135500000	9	135000001	135500000	1.003	1	1.04	1.015
9:135500001-136000000	9	135500001	136000000	1.079	1.082	1.051	1.106
9:136000001-136500000	9	136000001	136500000	1.01	1.011	0.871	0.975
9:136500001-137000000	9	136500001	137000000	1.022	0.985	1.087	1.038
9:137000001-137500000	9	137000001	137500000	0.985	0.983	1.059	0.989
9:137500001-138000000	9	137500001	138000000	0.942	1.091	0.982	1.108
10:1-500000	10	1	500000	1.09	1.058	1.096	1.157
10:500001-1000000	10	500001	1000000	1.089	0.973	0.934	1.136
10:1000001-1500000	10	1000001	1500000	1.064	1.062	1.108	1.126
