feature	chromosome	start	end	SLX-17922.D704tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17921.D701tp_D501tp.H5J55BBXY.s_8.r_1	SLX-16150.D704tp_D507tp.HC22VBBXY.s_3.r_1
1:197500001-198000000	1	197500001	198000000	1.452	1.006	0.981
1:198000001-198500000	1	198000001	198500000	1.586	0.997	1.026
1:198500001-199000000	1	198500001	199000000	1.581	0.948	1.021
1:199500001-200000000	1	199500001	200000000	1.483	1.042	1.046
1:200000001-200500000	1	200000001	200500000	1.456	0.995	0.987
1:200500001-201000000	1	200500001	201000000	1.533	1.084	1.007
1:201000001-201500000	1	201000001	201500000	1.501	1.048	1.047
1:201500001-202000000	1	201500001	202000000	1.578	0.915	0.981
1:202000001-202500000	1	202000001	202500000	1.59	1.156	1.12
1:202500001-203000000	1	202500001	203000000	1.637	0.972	1.052
1:203000001-203500000	1	203000001	203500000	1.601	1.018	1.032
1:203500001-204000000	1	203500001	204000000	1.541	1.045	0.982
1:204000001-204500000	1	204000001	204500000	1.59	0.954	1.018
1:204500001-205000000	1	204500001	205000000	1.6	1.011	1.02
1:205000001-205500000	1	205000001	205500000	1.7	1	1.04
1:205500001-206000000	1	205500001	206000000	1.669	1.072	0.99
1:206500001-207000000	1	206500001	207000000	1.477	1.032	0.944
1:207000001-207500000	1	207000001	207500000	1.487	1.005	0.966
1:207500001-208000000	1	207500001	208000000	1.502	1.054	1
1:208000001-208500000	1	208000001	208500000	1.52	1.035	0.927
1:208500001-209000000	1	208500001	209000000	1.59	0.998	1.121
1:209000001-209500000	1	209000001	209500000	1.596	0.997	1.034
1:209500001-210000000	1	209500001	210000000	1.518	0.922	1.093
1:210000001-210500000	1	210000001	210500000	1.552	0.888	0.977
1:210500001-211000000	1	210500001	211000000	1.64	1.083	1.08
1:211000001-211500000	1	211000001	211500000	1.529	0.99	1.062
1:211500001-212000000	1	211500001	212000000	1.49	0.845	0.918
1:212000001-212500000	1	212000001	212500000	1.435	0.967	0.883
1:212500001-213000000	1	212500001	213000000	1.554	0.849	0.925
1:213000001-213500000	1	213000001	213500000	1.568	1.022	0.955
1:213500001-214000000	1	213500001	214000000	1.611	1.017	0.927
1:214000001-214500000	1	214000001	214500000	1.579	0.985	0.959
1:216000001-216500000	1	216000001	216500000	1.525	0.939	1.057
1:216500001-217000000	1	216500001	217000000	1.5	0.93	1.016
1:217000001-217500000	1	217000001	217500000	1.507	0.943	0.901
1:217500001-218000000	1	217500001	218000000	1.471	1.083	0.86
1:218000001-218500000	1	218000001	218500000	1.454	0.978	1.087
1:218500001-219000000	1	218500001	219000000	1.544	1.093	1.036
1:219000001-219500000	1	219000001	219500000	1.555	0.992	0.909
1:219500001-220000000	1	219500001	220000000	1.649	0.961	0.988
1:220000001-220500000	1	220000001	220500000	1.451	0.933	0.938
1:220500001-221000000	1	220500001	221000000	1.52	1.077	0.966
1:221000001-221500000	1	221000001	221500000	1.499	0.953	1.055
1:221500001-222000000	1	221500001	222000000	1.452	1.08	1.02
1:222000001-222500000	1	222000001	222500000	1.587	1.037	1.059
1:222500001-223000000	1	222500001	223000000	1.472	1.017	1.025
1:223000001-223500000	1	223000001	223500000	1.651	1.102	1.064
1:224000001-224500000	1	224000001	224500000	1.437	1.016	1.051
1:224500001-225000000	1	224500001	225000000	1.578	0.98	1.048
1:225000001-225500000	1	225000001	225500000	1.625	0.986	1.009
1:225500001-226000000	1	225500001	226000000	1.407	0.934	1.045
1:226000001-226500000	1	226000001	226500000	1.477	0.927	0.926
1:227000001-227500000	1	227000001	227500000	1.445	1.04	0.986
1:228000001-228500000	1	228000001	228500000	1.399	0.917	0.924
1:228500001-229000000	1	228500001	229000000	1.759	1.155	1.155
1:229500001-230000000	1	229500001	230000000	1.496	1.05	0.922
1:230000001-230500000	1	230000001	230500000	1.586	1.109	0.949
1:230500001-231000000	1	230500001	231000000	1.379	1.02	1.037
1:231000001-231500000	1	231000001	231500000	1.493	1.087	1.081
1:231500001-232000000	1	231500001	232000000	1.504	1.111	0.96
1:232000001-232500000	1	232000001	232500000	1.502	1.173	1.038
1:232500001-233000000	1	232500001	233000000	1.483	0.931	0.981
1:233500001-234000000	1	233500001	234000000	1.494	0.988	1.044
1:234000001-234500000	1	234000001	234500000	1.514	0.947	0.999
1:234500001-235000000	1	234500001	235000000	1.504	1.034	1.004
1:235000001-235500000	1	235000001	235500000	1.434	0.988	0.828
1:236000001-236500000	1	236000001	236500000	1.508	1.136	0.961
1:236500001-237000000	1	236500001	237000000	1.604	0.826	1.023
1:237000001-237500000	1	237000001	237500000	1.598	0.945	0.954
1:238000001-238500000	1	238000001	238500000	1.44	1.034	0.99
1:238500001-239000000	1	238500001	239000000	1.451	0.945	0.956
1:239000001-239500000	1	239000001	239500000	1.518	0.916	0.91
1:239500001-240000000	1	239500001	240000000	1.503	1.028	1.013
1:240000001-240500000	1	240000001	240500000	1.416	0.978	0.946
1:240500001-241000000	1	240500001	241000000	1.599	0.955	0.847
1:241000001-241500000	1	241000001	241500000	1.612	1.031	0.951
1:241500001-242000000	1	241500001	242000000	1.398	0.939	0.876
1:242000001-242500000	1	242000001	242500000	1.556	1.071	1.037
1:243500001-244000000	1	243500001	244000000	1.446	0.944	0.979
1:244000001-244500000	1	244000001	244500000	1.414	1	0.893
1:244500001-245000000	1	244500001	245000000	1.41	1.012	0.923
1:245000001-245500000	1	245000001	245500000	1.582	0.97	1.03
1:245500001-246000000	1	245500001	246000000	1.651	1.066	1.024
1:246000001-246500000	1	246000001	246500000	1.46	0.933	1.008
1:246500001-247000000	1	246500001	247000000	1.424	1.093	0.966
1:247000001-247500000	1	247000001	247500000	1.598	0.868	0.975
1:247500001-248000000	1	247500001	248000000	1.452	1.238	0.946
2:1-500000	2	1	500000	0.942	0.916	1.001
2:1500001-2000000	2	1500001	2000000	0.989	1.152	1.026
2:2000001-2500000	2	2000001	2500000	1.08	1.077	1.057
2:2500001-3000000	2	2500001	3000000	0.985	0.951	0.953
2:3000001-3500000	2	3000001	3500000	1.095	0.984	0.978
2:3500001-4000000	2	3500001	4000000	0.97	0.971	0.964
2:4000001-4500000	2	4000001	4500000	0.943	0.978	1.017
2:4500001-5000000	2	4500001	5000000	1.032	0.895	0.977
2:5000001-5500000	2	5000001	5500000	0.856	0.974	0.983
2:5500001-6000000	2	5500001	6000000	0.972	0.99	1.037
2:6000001-6500000	2	6000001	6500000	0.932	0.946	1.005
2:6500001-7000000	2	6500001	7000000	1.049	0.953	0.977
2:7000001-7500000	2	7000001	7500000	0.99	1.051	1.04
2:7500001-8000000	2	7500001	8000000	1.013	0.955	1.032
2:8000001-8500000	2	8000001	8500000	0.987	0.956	0.951
2:8500001-9000000	2	8500001	9000000	0.964	0.832	0.942
2:9000001-9500000	2	9000001	9500000	0.957	0.942	0.951
2:9500001-10000000	2	9500001	10000000	0.979	1.064	1.033
2:10000001-10500000	2	10000001	10500000	0.904	0.972	1.114
2:10500001-11000000	2	10500001	11000000	1.016	0.964	1.083
2:11000001-11500000	2	11000001	11500000	0.922	0.919	0.911
2:11500001-12000000	2	11500001	12000000	0.989	1.054	1.03
2:12000001-12500000	2	12000001	12500000	0.993	0.975	1.037
2:12500001-13000000	2	12500001	13000000	0.981	1.08	1.02
2:13000001-13500000	2	13000001	13500000	0.939	1.031	0.962
2:13500001-14000000	2	13500001	14000000	1.022	0.947	0.923
2:14000001-14500000	2	14000001	14500000	0.948	1.144	0.983
2:14500001-15000000	2	14500001	15000000	1.015	1.062	1.05
2:15000001-15500000	2	15000001	15500000	1.048	0.969	1.032
2:15500001-16000000	2	15500001	16000000	1.034	0.93	0.987
2:16500001-17000000	2	16500001	17000000	0.983	1.002	1.043
2:17000001-17500000	2	17000001	17500000	0.987	1.028	0.977
2:17500001-18000000	2	17500001	18000000	1.03	0.998	1.041
2:18000001-18500000	2	18000001	18500000	0.994	1.041	0.944
2:18500001-19000000	2	18500001	19000000	0.981	1.034	1.021
2:19000001-19500000	2	19000001	19500000	1.01	1.069	1.065
2:19500001-20000000	2	19500001	20000000	0.919	1.049	1.087
2:20000001-20500000	2	20000001	20500000	1.006	1.005	0.945
2:20500001-21000000	2	20500001	21000000	1.111	1.143	1.03
2:21000001-21500000	2	21000001	21500000	1.006	1.043	0.982
2:21500001-22000000	2	21500001	22000000	1.059	0.986	0.942
2:22500001-23000000	2	22500001	23000000	1.135	0.935	0.994
2:23000001-23500000	2	23000001	23500000	1.01	1.083	1.005
2:23500001-24000000	2	23500001	24000000	0.964	1.019	1.044
2:24000001-24500000	2	24000001	24500000	0.976	0.898	0.957
