feature	chromosome	start	end	SLX-17921.D703tp_D508tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D705tp_D501tp.HC22VBBXY.s_3.r_1
1:25000001-25500000	1	25000001	25500000	0.942	0.911	0.997	0.868
1:25500001-26000000	1	25500001	26000000	0.993	0.999	0.984	1.064
1:26000001-26500000	1	26000001	26500000	0.899	1.026	1.008	0.912
1:26500001-27000000	1	26500001	27000000	0.935	0.962	0.998	0.921
1:27000001-27500000	1	27000001	27500000	0.981	1.051	0.966	0.945
1:27500001-28000000	1	27500001	28000000	0.971	0.959	0.942	0.95
1:28000001-28500000	1	28000001	28500000	0.988	0.84	0.937	0.91
1:28500001-29000000	1	28500001	29000000	0.979	0.911	0.925	0.893
1:29000001-29500000	1	29000001	29500000	0.952	1.064	1.018	1.013
1:29500001-30000000	1	29500001	30000000	1.003	1.057	1.048	1.06
1:30000001-30500000	1	30000001	30500000	1.153	1.099	1.039	1.104
1:30500001-31000000	1	30500001	31000000	0.995	0.978	0.99	0.961
1:31000001-31500000	1	31000001	31500000	1.012	0.971	1.077	1.049
1:31500001-32000000	1	31500001	32000000	0.971	1.085	1.003	1.019
1:32500001-33000000	1	32500001	33000000	0.931	0.968	1.006	0.936
1:33000001-33500000	1	33000001	33500000	0.975	1.033	1.005	0.988
1:34000001-34500000	1	34000001	34500000	1.125	1.088	1.115	0.988
1:34500001-35000000	1	34500001	35000000	1.075	1.094	1.058	1.088
1:35000001-35500000	1	35000001	35500000	0.913	0.944	1.061	1.096
1:35500001-36000000	1	35500001	36000000	0.986	1.043	1.033	1.043
1:36000001-36500000	1	36000001	36500000	0.884	1.043	0.933	0.958
1:36500001-37000000	1	36500001	37000000	1.024	1.039	1.064	1.092
1:37000001-37500000	1	37000001	37500000	1.052	1.023	1.057	1.086
1:37500001-38000000	1	37500001	38000000	1.031	0.932	1.022	1.014
1:38000001-38500000	1	38000001	38500000	1.085	1.134	1.064	1.18
1:39000001-39500000	1	39000001	39500000	0.941	0.951	0.945	1.075
1:39500001-40000000	1	39500001	40000000	1.071	1.063	0.995	1.081
1:40000001-40500000	1	40000001	40500000	0.956	1.078	0.907	0.89
1:40500001-41000000	1	40500001	41000000	0.978	0.924	1.076	0.87
1:41000001-41500000	1	41000001	41500000	1.005	0.964	0.949	1.016
1:41500001-42000000	1	41500001	42000000	1.065	0.999	1.077	1.039
1:42000001-42500000	1	42000001	42500000	0.977	1.028	1.025	1.068
1:42500001-43000000	1	42500001	43000000	1.043	1.009	0.941	0.957
1:43000001-43500000	1	43000001	43500000	1.071	1.04	0.988	1.019
1:43500001-44000000	1	43500001	44000000	0.915	1.013	1.001	0.947
1:44000001-44500000	1	44000001	44500000	1.079	1.041	1.001	1.045
1:44500001-45000000	1	44500001	45000000	0.998	0.997	1.018	1.119
1:45000001-45500000	1	45000001	45500000	1.046	0.942	0.951	0.929
1:45500001-46000000	1	45500001	46000000	0.943	0.895	0.919	0.812
1:46000001-46500000	1	46000001	46500000	1.073	1.016	1.084	1.024
1:46500001-47000000	1	46500001	47000000	1.056	1.089	1.156	1.107
1:47000001-47500000	1	47000001	47500000	0.985	1.038	0.997	1.224
1:47500001-48000000	1	47500001	48000000	1.017	0.996	1.082	1.141
1:48000001-48500000	1	48000001	48500000	1.066	1.036	1.083	1.06
1:48500001-49000000	1	48500001	49000000	1.066	1.001	1.086	1.039
1:49000001-49500000	1	49000001	49500000	1.11	1.105	1.033	0.945
1:49500001-50000000	1	49500001	50000000	1.042	0.948	1.047	1.075
1:50500001-51000000	1	50500001	51000000	0.978	0.984	0.938	1
1:51000001-51500000	1	51000001	51500000	0.966	0.962	0.923	0.931
1:51500001-52000000	1	51500001	52000000	0.977	0.959	0.949	0.988
1:52000001-52500000	1	52000001	52500000	0.933	1.027	0.926	1.03
1:53000001-53500000	1	53000001	53500000	0.998	1.045	0.972	0.972
1:53500001-54000000	1	53500001	54000000	1.053	0.998	1.022	0.976
1:54000001-54500000	1	54000001	54500000	1.013	0.925	1.008	1.008
1:54500001-55000000	1	54500001	55000000	1.049	1.09	1.103	1.071
1:55500001-56000000	1	55500001	56000000	1.046	1.101	1.109	1.004
1:56000001-56500000	1	56000001	56500000	1.086	0.998	1.044	1.103
1:56500001-57000000	1	56500001	57000000	1.088	0.993	0.991	0.974
1:57000001-57500000	1	57000001	57500000	1.046	1.075	1.074	1.126
1:57500001-58000000	1	57500001	58000000	1.056	1.019	1.021	1.065
1:58000001-58500000	1	58000001	58500000	1.11	1.138	1.074	1.14
1:58500001-59000000	1	58500001	59000000	1.06	0.892	1.043	0.947
1:59000001-59500000	1	59000001	59500000	1.118	1.067	1.099	1.051
1:59500001-60000000	1	59500001	60000000	1.032	1.096	1.116	1.037
1:60000001-60500000	1	60000001	60500000	1.158	1.02	0.98	1.02
1:60500001-61000000	1	60500001	61000000	1.074	1.059	1.045	1.049
1:61000001-61500000	1	61000001	61500000	1.041	0.965	0.939	0.976
1:61500001-62000000	1	61500001	62000000	1.011	0.965	1.036	0.995
1:62000001-62500000	1	62000001	62500000	0.971	0.965	1.018	0.946
1:62500001-63000000	1	62500001	63000000	1.048	1.047	1.075	0.919
1:63000001-63500000	1	63000001	63500000	1.025	0.981	1.009	1.066
1:63500001-64000000	1	63500001	64000000	1.07	1.094	0.978	1.084
1:64000001-64500000	1	64000001	64500000	1.081	1.028	0.968	0.992
1:64500001-65000000	1	64500001	65000000	0.988	0.82	0.96	1.027
1:65000001-65500000	1	65000001	65500000	0.985	0.92	0.955	0.926
1:65500001-66000000	1	65500001	66000000	1.076	1.009	1.116	0.995
1:66500001-67000000	1	66500001	67000000	1.062	0.924	0.997	0.972
1:67000001-67500000	1	67000001	67500000	0.992	0.92	0.949	1.071
1:68000001-68500000	1	68000001	68500000	1.013	1.114	0.988	1.045
1:68500001-69000000	1	68500001	69000000	1.049	0.896	1.097	1.055
1:69000001-69500000	1	69000001	69500000	1.063	1.061	1.137	1.036
1:69500001-70000000	1	69500001	70000000	1.026	1.077	0.949	1.055
1:70000001-70500000	1	70000001	70500000	0.979	0.984	0.887	0.927
1:70500001-71000000	1	70500001	71000000	0.93	0.998	0.996	1.019
1:71000001-71500000	1	71000001	71500000	1.081	1.012	1.013	0.958
1:71500001-72000000	1	71500001	72000000	0.959	1.082	1.004	1
1:72000001-72500000	1	72000001	72500000	0.926	0.91	0.878	0.91
1:72500001-73000000	1	72500001	73000000	1.047	1.023	0.98	1.038
1:73500001-74000000	1	73500001	74000000	1.017	0.958	1.083	0.964
1:74000001-74500000	1	74000001	74500000	1.064	1.039	1.103	1.087
1:74500001-75000000	1	74500001	75000000	1.011	1.055	0.923	0.992
1:75000001-75500000	1	75000001	75500000	1.006	1.006	1	0.934
1:75500001-76000000	1	75500001	76000000	0.969	0.96	1.017	0.996
1:76000001-76500000	1	76000001	76500000	1.025	1.085	1.039	1.047
1:77000001-77500000	1	77000001	77500000	1.013	1	1.072	0.946
1:77500001-78000000	1	77500001	78000000	0.93	0.914	0.931	0.91
1:78000001-78500000	1	78000001	78500000	1.001	1.011	1.081	1.077
1:78500001-79000000	1	78500001	79000000	0.971	1.018	1.01	1.006
1:79000001-79500000	1	79000001	79500000	0.985	1	1.03	0.904
1:79500001-80000000	1	79500001	80000000	1.025	1.051	1.093	1.073
1:80000001-80500000	1	80000001	80500000	1.052	1.001	0.968	1.023
1:80500001-81000000	1	80500001	81000000	1.121	1.041	0.981	1.038
1:81000001-81500000	1	81000001	81500000	0.925	0.885	0.982	0.965
1:81500001-82000000	1	81500001	82000000	0.987	0.955	0.941	0.938
1:82000001-82500000	1	82000001	82500000	0.97	1.012	0.987	1.132
1:82500001-83000000	1	82500001	83000000	1.065	1.084	1.111	0.979
1:83500001-84000000	1	83500001	84000000	1.047	0.973	1.017	1.136
1:84000001-84500000	1	84000001	84500000	1.09	1.026	1.004	0.95
1:84500001-85000000	1	84500001	85000000	0.925	0.908	0.98	1.007
1:85000001-85500000	1	85000001	85500000	0.943	0.984	1.007	0.971
1:85500001-86000000	1	85500001	86000000	0.973	1.076	0.989	1.031
1:86000001-86500000	1	86000001	86500000	0.976	0.915	1.054	0.986
1:86500001-87000000	1	86500001	87000000	1.053	0.919	0.964	1.024
1:87000001-87500000	1	87000001	87500000	1.023	0.974	0.975	0.927
1:87500001-88000000	1	87500001	88000000	1.007	1.006	0.987	1.053
1:88000001-88500000	1	88000001	88500000	1.114	1.121	1.035	1.024
1:88500001-89000000	1	88500001	89000000	0.955	0.926	1.097	0.881
1:89000001-89500000	1	89000001	89500000	0.976	1.041	0.979	0.854
1:89500001-90000000	1	89500001	90000000	0.991	1.053	1.022	0.85
1:90000001-90500000	1	90000001	90500000	1.117	1.065	1.011	1.052
1:90500001-91000000	1	90500001	91000000	1.073	0.962	0.985	1.015
1:91000001-91500000	1	91000001	91500000	1.105	1.054	1.085	1.083
1:91500001-92000000	1	91500001	92000000	1.021	1.017	1.044	1.118
1:92000001-92500000	1	92000001	92500000	1.034	0.996	0.987	1.069
1:92500001-93000000	1	92500001	93000000	0.949	0.897	0.997	0.997
1:93000001-93500000	1	93000001	93500000	0.936	0.988	0.937	0.929
1:94000001-94500000	1	94000001	94500000	1.072	0.882	0.947	1.021
1:94500001-95000000	1	94500001	95000000	1.027	1.077	0.992	1.004
1:95000001-95500000	1	95000001	95500000	1.069	0.989	1.082	1.014
1:95500001-96000000	1	95500001	96000000	1.111	1.02	0.985	1.004
1:96000001-96500000	1	96000001	96500000	1.026	1.004	1.06	1.061
1:96500001-97000000	1	96500001	97000000	1.043	1.065	0.994	0.992
1:97000001-97500000	1	97000001	97500000	1.06	1.097	1.075	0.919
1:97500001-98000000	1	97500001	98000000	1.029	0.923	1.123	0.99
1:98000001-98500000	1	98000001	98500000	1.068	0.976	1.052	1.039
1:98500001-99000000	1	98500001	99000000	0.958	1.035	1.043	1.024
1:99000001-99500000	1	99000001	99500000	1.116	1.09	1.113	0.9
1:99500001-100000000	1	99500001	100000000	1.061	0.944	1.059	1.052
1:100000001-100500000	1	100000001	100500000	0.881	0.803	0.875	0.992
1:100500001-101000000	1	100500001	101000000	0.956	1.117	1.11	0.979
1:101000001-101500000	1	101000001	101500000	0.985	0.987	1.011	0.891
1:101500001-102000000	1	101500001	102000000	1.059	0.989	1.018	1.008
1:102500001-103000000	1	102500001	103000000	0.984	1.004	1.027	0.935
1:103000001-103500000	1	103000001	103500000	1.052	0.91	1.019	1.036
1:104000001-104500000	1	104000001	104500000	0.966	0.913	1.088	0.925
1:104500001-105000000	1	104500001	105000000	0.933	0.991	0.986	0.889
1:105000001-105500000	1	105000001	105500000	1.044	0.852	0.978	0.836
1:105500001-106000000	1	105500001	106000000	0.951	0.973	0.896	1.047
1:106000001-106500000	1	106000001	106500000	1.02	1.108	0.939	0.92
1:107000001-107500000	1	107000001	107500000	0.967	1.109	1.035	1.043
1:107500001-108000000	1	107500001	108000000	0.952	0.994	1.034	1.012
1:108500001-109000000	1	108500001	109000000	0.899	0.971	0.903	1.013
1:109000001-109500000	1	109000001	109500000	0.877	1.002	0.972	0.93
1:109500001-110000000	1	109500001	110000000	1.012	1.01	0.967	1.015
1:110000001-110500000	1	110000001	110500000	1.06	0.948	1.083	0.964
1:110500001-111000000	1	110500001	111000000	0.966	1	1.015	0.999
1:111000001-111500000	1	111000001	111500000	1.021	0.934	1.056	0.861
1:111500001-112000000	1	111500001	112000000	0.984	0.958	1.03	0.941
1:112000001-112500000	1	112000001	112500000	0.993	1.051	1.049	1.019
1:112500001-113000000	1	112500001	113000000	1.061	1.024	1.057	0.966
1:113000001-113500000	1	113000001	113500000	1.135	0.984	1.002	1.018
1:113500001-114000000	1	113500001	114000000	0.924	0.951	0.952	0.944
1:114000001-114500000	1	114000001	114500000	0.979	1.019	0.99	1.021
1:114500001-115000000	1	114500001	115000000	0.965	0.967	1.027	0.739
1:115000001-115500000	1	115000001	115500000	1.02	1.03	1.054	1.008
1:115500001-116000000	1	115500001	116000000	0.974	0.965	1.037	0.926
1:116000001-116500000	1	116000001	116500000	1.042	1.072	0.975	0.899
1:116500001-117000000	1	116500001	117000000	1.066	1.071	1.171	0.855
1:117000001-117500000	1	117000001	117500000	1.079	0.959	1.087	1.085
1:117500001-118000000	1	117500001	118000000	1.012	1.015	1.07	0.912
1:118000001-118500000	1	118000001	118500000	1.014	1.061	0.952	1.006
1:118500001-119000000	1	118500001	119000000	1.142	1.028	1.021	1.108
1:119000001-119500000	1	119000001	119500000	0.994	1.088	1.038	1.103
1:119500001-120000000	1	119500001	120000000	1.015	1.057	1.06	0.944
1:147500001-148000000	1	147500001	148000000	0.985	0.938	0.989	1.069
1:150000001-150500000	1	150000001	150500000	0.923	0.956	1.015	0.934
1:150500001-151000000	1	150500001	151000000	0.99	1.116	0.99	0.904
1:151000001-151500000	1	151000001	151500000	0.957	0.972	0.997	1.062
1:151500001-152000000	1	151500001	152000000	1.032	0.977	1.021	0.862
1:152000001-152500000	1	152000001	152500000	1.156	1.128	1.234	1.093
1:152500001-153000000	1	152500001	153000000	1.01	1.06	1.046	0.961
1:153000001-153500000	1	153000001	153500000	1.119	1.08	1.034	1.181
1:153500001-154000000	1	153500001	154000000	0.953	0.928	0.869	0.962
1:154000001-154500000	1	154000001	154500000	0.974	0.899	0.943	0.956
1:154500001-155000000	1	154500001	155000000	0.904	0.94	1.038	1.014
1:155000001-155500000	1	155000001	155500000	0.922	0.91	0.977	0.957
1:156000001-156500000	1	156000001	156500000	0.957	1.072	1.015	1.082
1:156500001-157000000	1	156500001	157000000	0.96	1.001	0.992	1.055
1:157000001-157500000	1	157000001	157500000	1.06	1.066	0.969	1.01
1:157500001-158000000	1	157500001	158000000	1.026	1.06	1.08	1.083
1:159500001-160000000	1	159500001	160000000	1.034	1.032	1.084	1.145
1:160000001-160500000	1	160000001	160500000	0.96	0.959	1.031	0.948
1:160500001-161000000	1	160500001	161000000	0.987	0.955	0.982	1.079
1:161000001-161500000	1	161000001	161500000	1.037	1.029	1.07	1.113
1:161500001-162000000	1	161500001	162000000	1.047	0.987	0.902	1.065
1:162000001-162500000	1	162000001	162500000	1.065	1.045	1.059	1.11
1:162500001-163000000	1	162500001	163000000	1.061	1.019	1.036	1.063
1:163000001-163500000	1	163000001	163500000	1.088	0.881	1.101	1.103
1:163500001-164000000	1	163500001	164000000	1.213	1.153	0.951	1.102
1:164000001-164500000	1	164000001	164500000	1.184	1.052	1.133	1.215
1:164500001-165000000	1	164500001	165000000	1.127	1.098	0.934	1.069
1:165000001-165500000	1	165000001	165500000	1.115	1.05	1.008	1.121
1:165500001-166000000	1	165500001	166000000	1.065	1.006	1.05	1.063
1:166000001-166500000	1	166000001	166500000	1.184	1.085	1.076	1.243
1:166500001-167000000	1	166500001	167000000	1.145	0.96	1.071	1.073
1:167000001-167500000	1	167000001	167500000	0.988	0.929	0.915	1.009
1:167500001-168000000	1	167500001	168000000	1.058	1.026	0.993	1.055
1:168000001-168500000	1	168000001	168500000	1.116	0.965	0.987	1.115
1:168500001-169000000	1	168500001	169000000	1.11	0.916	1.072	1.228
1:169500001-170000000	1	169500001	170000000	1.132	0.918	1.084	0.967
1:170500001-171000000	1	170500001	171000000	1.127	1.032	1.012	1.172
1:171000001-171500000	1	171000001	171500000	1.039	1.171	1.083	1.01
1:171500001-172000000	1	171500001	172000000	1.12	0.961	0.935	1.166
1:172000001-172500000	1	172000001	172500000	1.088	1.09	1.029	1.059
1:173000001-173500000	1	173000001	173500000	1.085	1.03	1.11	1.151
1:173500001-174000000	1	173500001	174000000	1.089	0.929	0.975	1.04
1:174000001-174500000	1	174000001	174500000	1.074	0.985	0.969	1.15
1:174500001-175000000	1	174500001	175000000	1.148	1.027	0.968	1.154
1:175000001-175500000	1	175000001	175500000	1.105	1.011	0.97	1.139
1:175500001-176000000	1	175500001	176000000	1.133	1.039	1.011	1.061
1:176000001-176500000	1	176000001	176500000	1.115	0.952	0.973	1.038
1:176500001-177000000	1	176500001	177000000	1.068	0.992	1.051	1.22
1:177000001-177500000	1	177000001	177500000	1.158	1.034	1.032	1.095
1:177500001-178000000	1	177500001	178000000	1.148	0.959	1.096	1.073
1:178000001-178500000	1	178000001	178500000	1.156	1.019	0.911	1.05
1:178500001-179000000	1	178500001	179000000	1.121	0.993	0.949	1.143
1:179000001-179500000	1	179000001	179500000	1.099	0.928	0.885	1.004
1:179500001-180000000	1	179500001	180000000	1.139	1.012	0.995	1.17
1:180000001-180500000	1	180000001	180500000	1.045	0.986	0.975	1.075
1:180500001-181000000	1	180500001	181000000	1.114	1.047	0.981	1.054
1:181500001-182000000	1	181500001	182000000	1.091	1.115	1.095	1.218
1:182000001-182500000	1	182000001	182500000	1.119	1.032	0.957	1.074
1:182500001-183000000	1	182500001	183000000	1.056	0.97	0.894	0.967
1:183000001-183500000	1	183000001	183500000	1.103	0.991	1.117	1.177
1:183500001-184000000	1	183500001	184000000	0.989	1.015	1.09	1.084
1:184000001-184500000	1	184000001	184500000	1.125	1.047	0.952	1.091
1:184500001-185000000	1	184500001	185000000	1.11	1.077	0.962	1.133
1:185000001-185500000	1	185000001	185500000	1.026	0.993	1.009	1.128
1:185500001-186000000	1	185500001	186000000	1.148	1.097	1.093	1.252
1:186000001-186500000	1	186000001	186500000	1.134	1.021	1.001	1.156
1:186500001-187000000	1	186500001	187000000	1.056	1.002	0.925	1.087
1:187000001-187500000	1	187000001	187500000	1.159	0.964	1.036	1.177
1:187500001-188000000	1	187500001	188000000	1.107	1.111	1.069	1.205
1:188000001-188500000	1	188000001	188500000	1.077	1.046	0.973	1.039
1:188500001-189000000	1	188500001	189000000	1.092	1.026	0.941	0.949
1:189000001-189500000	1	189000001	189500000	1.102	0.97	0.969	1.019
1:189500001-190000000	1	189500001	190000000	0.977	0.941	0.982	0.968
1:190000001-190500000	1	190000001	190500000	1.12	1.009	0.936	1.069
1:190500001-191000000	1	190500001	191000000	1.095	1.059	0.962	1.036
1:191000001-191500000	1	191000001	191500000	1.049	0.988	1.01	0.945
1:192000001-192500000	1	192000001	192500000	1.092	1.014	1.016	1.097
1:192500001-193000000	1	192500001	193000000	1.105	0.913	0.978	1.008
1:193000001-193500000	1	193000001	193500000	1.137	0.936	0.949	1.073
1:193500001-194000000	1	193500001	194000000	1.078	1.037	0.989	1.179
1:194000001-194500000	1	194000001	194500000	1.048	0.893	0.917	1.065
1:194500001-195000000	1	194500001	195000000	1.101	0.939	1.055	1.12
1:195500001-196000000	1	195500001	196000000	1.219	0.982	0.952	1.085
1:196000001-196500000	1	196000001	196500000	1.095	1.014	1.11	1.226
1:197000001-197500000	1	197000001	197500000	1.165	0.962	1.012	1.031
1:197500001-198000000	1	197500001	198000000	1.086	1.012	1.005	1.134
1:198000001-198500000	1	198000001	198500000	1.124	1.085	1.041	1.041
1:198500001-199000000	1	198500001	199000000	1.115	0.938	1.012	0.999
1:199500001-200000000	1	199500001	200000000	1.123	0.904	0.946	1.089
1:200000001-200500000	1	200000001	200500000	1.089	0.917	0.937	1.054
1:200500001-201000000	1	200500001	201000000	1.122	1.089	0.971	0.986
1:201000001-201500000	1	201000001	201500000	1.126	0.913	1.121	1.099
1:201500001-202000000	1	201500001	202000000	1.158	1.081	1.049	1.262
1:202000001-202500000	1	202000001	202500000	1.148	0.951	1.04	1.214
1:202500001-203000000	1	202500001	203000000	1.161	1.027	1.058	1.178
1:203000001-203500000	1	203000001	203500000	1.119	1.045	1.023	1.141
1:203500001-204000000	1	203500001	204000000	1.115	1.086	1.032	1.037
1:204000001-204500000	1	204000001	204500000	1.137	1.019	0.962	1.124
1:204500001-205000000	1	204500001	205000000	1.111	0.997	1.072	1.093
1:205000001-205500000	1	205000001	205500000	1.087	1.07	0.966	1.086
1:205500001-206000000	1	205500001	206000000	1.138	1.003	1.072	1.183
1:206500001-207000000	1	206500001	207000000	1.031	0.948	1.014	0.925
1:207000001-207500000	1	207000001	207500000	1.139	0.972	1.024	0.996
1:207500001-208000000	1	207500001	208000000	1.11	1.011	0.904	1.042
1:208000001-208500000	1	208000001	208500000	0.989	1.01	0.954	1.07
1:208500001-209000000	1	208500001	209000000	1.185	1.118	1.069	1.294
1:209000001-209500000	1	209000001	209500000	1.173	0.998	1.025	1.145
1:209500001-210000000	1	209500001	210000000	1.011	0.931	0.931	1.087
1:210000001-210500000	1	210000001	210500000	1.056	1.12	1.03	1.179
1:210500001-211000000	1	210500001	211000000	1.162	1.067	1.026	1.285
1:211000001-211500000	1	211000001	211500000	1.162	1.112	1.082	1.135
1:211500001-212000000	1	211500001	212000000	0.977	0.968	0.997	1.126
1:212000001-212500000	1	212000001	212500000	1.057	0.954	0.964	0.94
1:212500001-213000000	1	212500001	213000000	0.964	0.983	1.017	1.041
1:213000001-213500000	1	213000001	213500000	1.128	1.021	1.024	1.133
1:213500001-214000000	1	213500001	214000000	1.121	0.967	0.997	1.22
1:214000001-214500000	1	214000001	214500000	1.105	0.924	0.973	1.139
1:216000001-216500000	1	216000001	216500000	1.155	0.998	0.984	1.164
1:216500001-217000000	1	216500001	217000000	1.103	1.01	0.955	1.08
1:217000001-217500000	1	217000001	217500000	1.004	0.942	0.959	1.136
1:217500001-218000000	1	217500001	218000000	1.026	0.989	0.984	0.952
1:218000001-218500000	1	218000001	218500000	1.052	0.949	0.901	1.026
1:218500001-219000000	1	218500001	219000000	1.113	1.081	1.019	1.067
1:219000001-219500000	1	219000001	219500000	1.013	0.896	1.012	1.15
1:219500001-220000000	1	219500001	220000000	1.116	0.979	0.987	1.118
1:220000001-220500000	1	220000001	220500000	1.138	1.005	0.947	1.081
1:220500001-221000000	1	220500001	221000000	1.029	1.053	1.014	1.255
1:221000001-221500000	1	221000001	221500000	1.092	1.059	0.99	1.119
1:221500001-222000000	1	221500001	222000000	1.075	0.877	1.068	1.078
1:222000001-222500000	1	222000001	222500000	1.115	1.071	1.03	1.226
1:222500001-223000000	1	222500001	223000000	1.165	0.97	1.065	1.074
1:223000001-223500000	1	223000001	223500000	1.193	0.972	1.073	1.192
1:224000001-224500000	1	224000001	224500000	0.997	0.925	0.966	0.909
1:224500001-225000000	1	224500001	225000000	1.092	1.134	1.043	1.092
1:225000001-225500000	1	225000001	225500000	1.016	1.088	0.982	1.09
1:225500001-226000000	1	225500001	226000000	1.091	0.994	0.944	1.067
1:226000001-226500000	1	226000001	226500000	1.146	1.016	0.992	0.948
1:227000001-227500000	1	227000001	227500000	1.06	0.88	0.96	0.999
1:228000001-228500000	1	228000001	228500000	0.991	0.945	0.943	1.002
1:228500001-229000000	1	228500001	229000000	1.243	1.124	1.063	1.333
1:229500001-230000000	1	229500001	230000000	1.095	1.032	0.912	1.07
1:230000001-230500000	1	230000001	230500000	1.061	0.958	1.004	1.117
1:230500001-231000000	1	230500001	231000000	1.133	0.943	1.038	0.958
1:231000001-231500000	1	231000001	231500000	1.053	1.032	0.899	1.062
1:231500001-232000000	1	231500001	232000000	1.199	1.114	1.1	1.155
1:232000001-232500000	1	232000001	232500000	1.102	0.953	1.133	1.135
1:232500001-233000000	1	232500001	233000000	1.015	1.115	1.002	1.128
1:233500001-234000000	1	233500001	234000000	0.97	0.931	1.038	1.027
1:234000001-234500000	1	234000001	234500000	1.032	1.026	1.007	1.054
1:234500001-235000000	1	234500001	235000000	1.021	1.011	0.855	0.965
1:235000001-235500000	1	235000001	235500000	0.999	0.979	0.949	0.999
1:236000001-236500000	1	236000001	236500000	1.08	1.058	0.984	1.182
1:236500001-237000000	1	236500001	237000000	1.136	0.967	0.986	1.049
1:237000001-237500000	1	237000001	237500000	1.151	1.082	1.026	1.145
1:238000001-238500000	1	238000001	238500000	1.081	0.975	0.947	1.013
1:238500001-239000000	1	238500001	239000000	1.088	0.995	1.038	1.069
1:239000001-239500000	1	239000001	239500000	1.142	1.06	1.032	1.114
1:239500001-240000000	1	239500001	240000000	1.108	1.023	0.935	1.092
1:240000001-240500000	1	240000001	240500000	1.069	0.932	0.844	1.091
1:240500001-241000000	1	240500001	241000000	1.031	1.014	0.889	0.968
1:241000001-241500000	1	241000001	241500000	1.062	1.075	0.981	1.091
1:241500001-242000000	1	241500001	242000000	1.004	1.014	0.963	1.096
1:242000001-242500000	1	242000001	242500000	1.055	0.977	1.058	1.098
1:243500001-244000000	1	243500001	244000000	1.138	1.016	0.973	1.225
1:244000001-244500000	1	244000001	244500000	1.008	0.988	1.002	0.966
1:244500001-245000000	1	244500001	245000000	1.086	1.052	0.991	1.12
1:245000001-245500000	1	245000001	245500000	1.158	0.954	0.916	1.101
