feature	chromosome	start	end	SLX-17922.D702tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17921.D710tp_D507tp.H5J55BBXY.s_8.r_1	SLX-17921.D711tp_D508tp.H5J55BBXY.s_8.r_1
12:115000001-115500000	12	115000001	115500000	0.978	1.028	1.014
12:115500001-116000000	12	115500001	116000000	1.015	1.007	1.007
12:116000001-116500000	12	116000001	116500000	0.983	0.996	1.026
12:116500001-117000000	12	116500001	117000000	0.885	0.89	0.999
12:117000001-117500000	12	117000001	117500000	1.104	1.041	0.944
12:117500001-118000000	12	117500001	118000000	1.09	1.02	1.037
12:118000001-118500000	12	118000001	118500000	0.851	0.951	1.02
12:118500001-119000000	12	118500001	119000000	1.043	1.017	1.051
12:119000001-119500000	12	119000001	119500000	0.96	1.159	1.052
12:119500001-120000000	12	119500001	120000000	1.043	0.978	1.028
12:120000001-120500000	12	120000001	120500000	0.965	1.045	1.018
12:120500001-121000000	12	120500001	121000000	1.001	0.884	0.988
12:121000001-121500000	12	121000001	121500000	0.992	0.842	0.903
12:121500001-122000000	12	121500001	122000000	1.078	0.921	0.942
12:122000001-122500000	12	122000001	122500000	0.934	0.945	0.884
12:122500001-123000000	12	122500001	123000000	0.938	0.935	0.968
12:123500001-124000000	12	123500001	124000000	0.982	1.034	0.991
12:124000001-124500000	12	124000001	124500000	0.937	0.95	1.02
12:124500001-125000000	12	124500001	125000000	0.97	0.941	1.004
12:125000001-125500000	12	125000001	125500000	1.117	1.016	1.078
12:125500001-126000000	12	125500001	126000000	1.139	0.97	1.027
12:126000001-126500000	12	126000001	126500000	0.969	1.028	0.997
12:127000001-127500000	12	127000001	127500000	1.053	0.933	0.991
12:127500001-128000000	12	127500001	128000000	0.977	1.062	0.881
12:128000001-128500000	12	128000001	128500000	0.925	1.004	0.972
12:128500001-129000000	12	128500001	129000000	1.043	1.025	0.968
12:129000001-129500000	12	129000001	129500000	1.024	1.068	0.998
12:129500001-130000000	12	129500001	130000000	0.897	0.929	0.976
12:130500001-131000000	12	130500001	131000000	0.98	0.996	0.956
12:131000001-131500000	12	131000001	131500000	1.082	1.037	1.047
12:131500001-132000000	12	131500001	132000000	1.051	1.201	1.02
12:132000001-132500000	12	132000001	132500000	0.885	1.026	1
12:132500001-133000000	12	132500001	133000000	0.932	1.013	1.053
12:133000001-133275309	12	133000001	133275309	0.787	0.885	0.894
13:20000001-20500000	13	20000001	20500000	0.901	0.969	1.027
13:20500001-21000000	13	20500001	21000000	0.943	0.96	0.976
13:21500001-22000000	13	21500001	22000000	1.002	0.997	1.015
13:22000001-22500000	13	22000001	22500000	0.996	0.893	1.061
13:22500001-23000000	13	22500001	23000000	0.93	1.001	0.945
13:23000001-23500000	13	23000001	23500000	0.991	1.047	0.992
13:23500001-24000000	13	23500001	24000000	1.051	0.968	0.956
13:24000001-24500000	13	24000001	24500000	0.997	0.957	1.002
13:24500001-25000000	13	24500001	25000000	1.055	1.001	0.998
13:25000001-25500000	13	25000001	25500000	0.874	0.903	1.053
13:26000001-26500000	13	26000001	26500000	1.022	0.942	0.945
13:26500001-27000000	13	26500001	27000000	0.912	1.011	0.96
13:27000001-27500000	13	27000001	27500000	1.004	0.944	0.895
13:27500001-28000000	13	27500001	28000000	0.882	0.901	0.918
13:28000001-28500000	13	28000001	28500000	0.909	1.006	0.985
13:28500001-29000000	13	28500001	29000000	0.993	0.937	0.946
13:29000001-29500000	13	29000001	29500000	0.979	0.991	1.053
13:29500001-30000000	13	29500001	30000000	1.013	0.984	1.042
13:30000001-30500000	13	30000001	30500000	1.043	1.032	0.997
13:30500001-31000000	13	30500001	31000000	0.968	1.072	1
13:31000001-31500000	13	31000001	31500000	1.068	0.918	1.045
13:32000001-32500000	13	32000001	32500000	0.92	0.948	0.997
13:32500001-33000000	13	32500001	33000000	0.926	0.961	0.969
13:33000001-33500000	13	33000001	33500000	0.979	0.961	1.016
13:34000001-34500000	13	34000001	34500000	0.981	1.066	0.988
13:34500001-35000000	13	34500001	35000000	0.909	1.05	1.014
13:35000001-35500000	13	35000001	35500000	1.087	1.152	1.019
13:35500001-36000000	13	35500001	36000000	1.015	1.06	1.031
13:36500001-37000000	13	36500001	37000000	0.934	1.051	1.017
13:37000001-37500000	13	37000001	37500000	0.904	0.959	0.954
13:37500001-38000000	13	37500001	38000000	1.013	0.988	0.997
13:38000001-38500000	13	38000001	38500000	0.989	1.007	0.961
13:38500001-39000000	13	38500001	39000000	1.078	0.876	0.999
13:39000001-39500000	13	39000001	39500000	0.956	0.925	0.957
13:39500001-40000000	13	39500001	40000000	1.046	1.053	1.064
13:40000001-40500000	13	40000001	40500000	1.019	1.007	1.04
13:41000001-41500000	13	41000001	41500000	0.873	0.852	0.939
13:41500001-42000000	13	41500001	42000000	1.088	1.034	1.03
13:42000001-42500000	13	42000001	42500000	1.031	0.946	1.048
13:42500001-43000000	13	42500001	43000000	1.027	1.075	1.025
13:43000001-43500000	13	43000001	43500000	1.08	1.105	1.005
13:43500001-44000000	13	43500001	44000000	1.05	1.06	1.064
13:44000001-44500000	13	44000001	44500000	0.979	0.921	1.007
13:44500001-45000000	13	44500001	45000000	0.912	0.973	1.024
13:45000001-45500000	13	45000001	45500000	0.949	0.902	0.933
13:45500001-46000000	13	45500001	46000000	1.12	1.118	1.076
13:46000001-46500000	13	46000001	46500000	0.965	0.965	0.978
13:46500001-47000000	13	46500001	47000000	1.023	0.987	0.946
13:47000001-47500000	13	47000001	47500000	1.089	1.04	1.006
13:47500001-48000000	13	47500001	48000000	1.066	1.052	1.067
13:48000001-48500000	13	48000001	48500000	0.821	0.891	0.924
13:48500001-49000000	13	48500001	49000000	0.981	0.981	1.011
13:49000001-49500000	13	49000001	49500000	1.092	0.905	0.975
13:49500001-50000000	13	49500001	50000000	1.03	0.975	0.976
13:50000001-50500000	13	50000001	50500000	0.953	0.948	1.03
13:50500001-51000000	13	50500001	51000000	1.066	1.011	1
13:51000001-51500000	13	51000001	51500000	1.048	0.947	1.053
13:51500001-52000000	13	51500001	52000000	1.038	0.992	1.029
13:52500001-53000000	13	52500001	53000000	1.014	0.995	1.017
13:53000001-53500000	13	53000001	53500000	0.992	1.021	0.976
13:54000001-54500000	13	54000001	54500000	0.945	0.942	0.942
13:54500001-55000000	13	54500001	55000000	0.811	0.927	0.924
13:55000001-55500000	13	55000001	55500000	0.999	0.944	0.991
13:56000001-56500000	13	56000001	56500000	1.008	0.959	1.04
13:57000001-57500000	13	57000001	57500000	1	0.992	0.973
13:57500001-58000000	13	57500001	58000000	0.875	1.035	0.969
13:58000001-58500000	13	58000001	58500000	0.875	0.946	1.009
13:58500001-59000000	13	58500001	59000000	0.893	0.979	0.992
13:59000001-59500000	13	59000001	59500000	1.065	1.003	1.011
13:59500001-60000000	13	59500001	60000000	1.119	1	1.029
13:60000001-60500000	13	60000001	60500000	0.906	0.995	1.028
13:60500001-61000000	13	60500001	61000000	0.971	0.958	1.075
13:61000001-61500000	13	61000001	61500000	1.053	0.964	0.998
13:61500001-62000000	13	61500001	62000000	0.978	1.018	1.01
13:62000001-62500000	13	62000001	62500000	0.945	0.998	0.996
13:62500001-63000000	13	62500001	63000000	0.806	0.912	0.978
13:63000001-63500000	13	63000001	63500000	0.907	0.941	1.038
13:63500001-64000000	13	63500001	64000000	0.917	0.943	0.934
13:64000001-64500000	13	64000001	64500000	0.945	0.949	0.945
13:64500001-65000000	13	64500001	65000000	1.043	1.01	0.905
13:65000001-65500000	13	65000001	65500000	1.014	0.935	1.006
13:65500001-66000000	13	65500001	66000000	1.002	1.016	0.963
13:66000001-66500000	13	66000001	66500000	1.053	0.994	1.034
13:66500001-67000000	13	66500001	67000000	0.965	0.973	0.994
13:67000001-67500000	13	67000001	67500000	1.082	1.032	1.026
13:67500001-68000000	13	67500001	68000000	1.055	1.086	1.019
13:68000001-68500000	13	68000001	68500000	0.924	0.95	0.994
13:68500001-69000000	13	68500001	69000000	0.98	1.015	1.007
13:69000001-69500000	13	69000001	69500000	0.904	0.949	0.997
13:69500001-70000000	13	69500001	70000000	0.914	0.888	0.959
13:70000001-70500000	13	70000001	70500000	1.004	1.003	0.954
13:70500001-71000000	13	70500001	71000000	1.031	0.99	1.028
13:71000001-71500000	13	71000001	71500000	1.037	0.989	1.053
13:71500001-72000000	13	71500001	72000000	1.091	1.07	1.062
13:72500001-73000000	13	72500001	73000000	0.962	1.05	0.999
13:73000001-73500000	13	73000001	73500000	0.922	1.032	1.044
13:73500001-74000000	13	73500001	74000000	1.125	0.991	0.968
13:74000001-74500000	13	74000001	74500000	1.101	1.009	1
13:74500001-75000000	13	74500001	75000000	0.978	0.994	1.029
13:75000001-75500000	13	75000001	75500000	1.042	0.977	1.046
13:76000001-76500000	13	76000001	76500000	1.035	0.92	1.102
13:76500001-77000000	13	76500001	77000000	0.989	0.964	1.089
13:77000001-77500000	13	77000001	77500000	1.072	1.014	0.936
13:77500001-78000000	13	77500001	78000000	1.116	1.098	1.03
13:78000001-78500000	13	78000001	78500000	1.064	1.02	1.001
13:78500001-79000000	13	78500001	79000000	1.072	1.027	1.025
13:79000001-79500000	13	79000001	79500000	1.015	1.027	1.023
13:79500001-80000000	13	79500001	80000000	0.97	0.938	0.933
13:80000001-80500000	13	80000001	80500000	0.93	1.026	1.026
13:80500001-81000000	13	80500001	81000000	1.056	0.99	0.986
13:81000001-81500000	13	81000001	81500000	1.007	0.966	1.031
13:81500001-82000000	13	81500001	82000000	0.982	0.976	0.858
13:82000001-82500000	13	82000001	82500000	0.963	0.995	0.977
13:82500001-83000000	13	82500001	83000000	0.994	0.889	0.896
13:83000001-83500000	13	83000001	83500000	1.017	0.923	0.944
13:84000001-84500000	13	84000001	84500000	0.853	1.046	1.085
13:85000001-85500000	13	85000001	85500000	0.963	0.96	0.955
13:85500001-86000000	13	85500001	86000000	1.118	1.045	1.015
13:86000001-86500000	13	86000001	86500000	0.911	0.965	0.85
13:86500001-87000000	13	86500001	87000000	0.954	0.945	0.964
13:87000001-87500000	13	87000001	87500000	0.981	0.956	0.988
13:87500001-88000000	13	87500001	88000000	0.996	1.035	1.012
13:88500001-89000000	13	88500001	89000000	1.025	1.023	0.991
13:89000001-89500000	13	89000001	89500000	0.892	0.931	1.036
13:89500001-90000000	13	89500001	90000000	0.872	0.865	0.856
13:90000001-90500000	13	90000001	90500000	1.109	0.978	0.96
13:90500001-91000000	13	90500001	91000000	1.09	1.011	1.015
13:91000001-91500000	13	91000001	91500000	0.978	1.053	1.054
13:91500001-92000000	13	91500001	92000000	1.013	0.989	1.015
13:92000001-92500000	13	92000001	92500000	0.974	1.007	0.977
13:92500001-93000000	13	92500001	93000000	0.966	0.987	0.961
13:93000001-93500000	13	93000001	93500000	0.869	0.989	0.933
13:93500001-94000000	13	93500001	94000000	0.971	0.892	0.965
13:94000001-94500000	13	94000001	94500000	0.968	0.991	1.1
13:94500001-95000000	13	94500001	95000000	0.982	1.006	1.014
13:95000001-95500000	13	95000001	95500000	0.881	0.925	0.902
13:96000001-96500000	13	96000001	96500000	1.063	1.06	0.995
13:96500001-97000000	13	96500001	97000000	0.967	0.942	0.934
13:97000001-97500000	13	97000001	97500000	1.018	1.029	1.068
13:97500001-98000000	13	97500001	98000000	1.064	1.128	0.968
13:98000001-98500000	13	98000001	98500000	1.01	1.051	1.023
13:98500001-99000000	13	98500001	99000000	1.037	1.034	0.964
13:99000001-99500000	13	99000001	99500000	1.043	0.935	0.97
13:99500001-100000000	13	99500001	100000000	0.963	0.963	1.009
13:100000001-100500000	13	100000001	100500000	1.042	1.021	0.995
13:100500001-101000000	13	100500001	101000000	1.044	1.034	0.99
13:101000001-101500000	13	101000001	101500000	0.999	1.067	0.973
13:101500001-102000000	13	101500001	102000000	1.078	1.048	1.034
13:102000001-102500000	13	102000001	102500000	0.929	1.055	1.036
13:102500001-103000000	13	102500001	103000000	0.895	0.94	0.983
13:103000001-103500000	13	103000001	103500000	0.986	0.986	1.045
13:103500001-104000000	13	103500001	104000000	1.037	1.002	0.966
13:104000001-104500000	13	104000001	104500000	0.89	0.961	0.907
13:104500001-105000000	13	104500001	105000000	0.917	1.035	0.88
13:105500001-106000000	13	105500001	106000000	0.922	1.031	1.01
13:106000001-106500000	13	106000001	106500000	0.972	0.921	0.995
13:106500001-107000000	13	106500001	107000000	1.126	1.016	0.99
13:107500001-108000000	13	107500001	108000000	0.993	1.054	0.993
13:108000001-108500000	13	108000001	108500000	0.956	0.928	0.929
13:108500001-109000000	13	108500001	109000000	0.953	0.986	0.978
13:109500001-110000000	13	109500001	110000000	1.04	0.963	0.963
13:110000001-110500000	13	110000001	110500000	1.009	0.971	1
13:110500001-111000000	13	110500001	111000000	0.919	0.902	0.947
13:111000001-111500000	13	111000001	111500000	0.964	0.995	0.992
13:112000001-112500000	13	112000001	112500000	1.038	1.185	1.014
13:112500001-113000000	13	112500001	113000000	0.973	0.928	1.018
13:113000001-113500000	13	113000001	113500000	0.95	0.892	0.986
13:113500001-114000000	13	113500001	114000000	0.877	0.991	0.971
13:114000001-114364328	13	114000001	114364328	1.005	0.964	0.941
14:20000001-20500000	14	20000001	20500000	0.997	1.021	0.984
14:20500001-21000000	14	20500001	21000000	1.061	0.944	0.954
14:21000001-21500000	14	21000001	21500000	0.957	0.949	0.87
14:21500001-22000000	14	21500001	22000000	0.947	1.001	0.939
14:22000001-22500000	14	22000001	22500000	0.951	1.008	1.106
14:22500001-23000000	14	22500001	23000000	0.982	1.048	0.996
14:23500001-24000000	14	23500001	24000000	1.184	1.086	1.078
14:24000001-24500000	14	24000001	24500000	1.054	0.957	0.988
14:24500001-25000000	14	24500001	25000000	1.054	0.954	1.131
14:25000001-25500000	14	25000001	25500000	1.115	1.072	1.004
14:25500001-26000000	14	25500001	26000000	1.028	1.081	1.015
14:26000001-26500000	14	26000001	26500000	1.026	1.03	0.987
14:26500001-27000000	14	26500001	27000000	1.01	1.076	1.012
14:27000001-27500000	14	27000001	27500000	0.941	1.034	0.997
14:27500001-28000000	14	27500001	28000000	1.011	0.974	1.001
14:28000001-28500000	14	28000001	28500000	1.004	1.037	0.999
14:28500001-29000000	14	28500001	29000000	1.067	1.07	0.98
14:29000001-29500000	14	29000001	29500000	1.018	0.98	1.01
14:29500001-30000000	14	29500001	30000000	1.009	0.978	0.977
14:30000001-30500000	14	30000001	30500000	0.927	1.058	1.036
14:30500001-31000000	14	30500001	31000000	0.947	0.958	0.999
14:31000001-31500000	14	31000001	31500000	1.015	0.947	0.866
14:31500001-32000000	14	31500001	32000000	1.14	1.073	1.028
14:32500001-33000000	14	32500001	33000000	1.058	0.988	1.075
14:33000001-33500000	14	33000001	33500000	1.157	1.101	1.106
14:33500001-34000000	14	33500001	34000000	0.998	1.021	0.969
14:34000001-34500000	14	34000001	34500000	1.001	0.976	1.008
14:35000001-35500000	14	35000001	35500000	0.964	0.846	0.986
14:35500001-36000000	14	35500001	36000000	0.983	0.938	0.965
14:36000001-36500000	14	36000001	36500000	1.099	1.051	1.067
14:36500001-37000000	14	36500001	37000000	1.034	0.975	0.991
14:37500001-38000000	14	37500001	38000000	1.082	0.949	1.059
14:38000001-38500000	14	38000001	38500000	0.926	0.974	0.981
14:38500001-39000000	14	38500001	39000000	0.992	1.011	0.99
14:39000001-39500000	14	39000001	39500000	0.984	0.921	1.029
14:39500001-40000000	14	39500001	40000000	1.06	1.107	1.056
14:40000001-40500000	14	40000001	40500000	0.868	1.021	0.923
14:41000001-41500000	14	41000001	41500000	0.926	0.963	0.975
14:41500001-42000000	14	41500001	42000000	1.023	0.999	0.972
14:42000001-42500000	14	42000001	42500000	1.01	0.971	0.954
14:42500001-43000000	14	42500001	43000000	1.007	0.922	1.007
14:43500001-44000000	14	43500001	44000000	1.009	0.897	0.99
14:44000001-44500000	14	44000001	44500000	0.925	0.943	0.972
14:44500001-45000000	14	44500001	45000000	1.12	1.053	0.994
14:45500001-46000000	14	45500001	46000000	0.934	1.134	0.918
14:47000001-47500000	14	47000001	47500000	0.995	1.115	1.102
14:47500001-48000000	14	47500001	48000000	0.963	0.894	0.971
14:48000001-48500000	14	48000001	48500000	0.991	0.99	0.999
14:48500001-49000000	14	48500001	49000000	1.025	1.048	0.995
14:49000001-49500000	14	49000001	49500000	1.136	1.08	1.039
14:49500001-50000000	14	49500001	50000000	0.905	0.918	0.891
14:50000001-50500000	14	50000001	50500000	0.949	0.898	0.873
14:50500001-51000000	14	50500001	51000000	0.954	1.022	0.955
14:51000001-51500000	14	51000001	51500000	1.039	1.072	1.038
14:52000001-52500000	14	52000001	52500000	0.991	0.987	1.052
14:52500001-53000000	14	52500001	53000000	0.984	0.93	0.941
14:53000001-53500000	14	53000001	53500000	1.057	1.171	1.072
14:53500001-54000000	14	53500001	54000000	1.025	0.91	1.013
14:54000001-54500000	14	54000001	54500000	0.974	0.995	1.026
14:54500001-55000000	14	54500001	55000000	1.038	0.914	0.992
14:55000001-55500000	14	55000001	55500000	0.914	1.02	0.928
14:55500001-56000000	14	55500001	56000000	1.157	0.997	0.962
14:56000001-56500000	14	56000001	56500000	1.071	0.971	1.079
14:56500001-57000000	14	56500001	57000000	0.999	0.944	1.027
14:57000001-57500000	14	57000001	57500000	1.101	1.085	1.019
14:57500001-58000000	14	57500001	58000000	1.145	1.046	1.04
14:58000001-58500000	14	58000001	58500000	1.033	0.993	1.01
14:58500001-59000000	14	58500001	59000000	0.946	1.013	1.027
14:59000001-59500000	14	59000001	59500000	1.028	0.977	1.013
14:59500001-60000000	14	59500001	60000000	0.959	1.047	1.073
14:60000001-60500000	14	60000001	60500000	1.106	0.99	0.901
14:60500001-61000000	14	60500001	61000000	0.995	1.021	1.03
14:61000001-61500000	14	61000001	61500000	1.097	1.013	1.036
14:61500001-62000000	14	61500001	62000000	1.093	0.96	1.077
14:62000001-62500000	14	62000001	62500000	1.185	1.109	1.051
14:62500001-63000000	14	62500001	63000000	0.982	0.96	0.878
14:63000001-63500000	14	63000001	63500000	0.992	1.017	0.976
14:63500001-64000000	14	63500001	64000000	0.957	1.06	0.941
14:64000001-64500000	14	64000001	64500000	0.945	1.05	1.011
14:64500001-65000000	14	64500001	65000000	0.988	0.968	0.953
14:65000001-65500000	14	65000001	65500000	0.827	0.947	0.974
14:65500001-66000000	14	65500001	66000000	1.055	1.008	0.969
14:66000001-66500000	14	66000001	66500000	1.068	1.129	1.112
14:66500001-67000000	14	66500001	67000000	0.993	1.004	1.113
14:67000001-67500000	14	67000001	67500000	1.008	1.038	1.031
14:67500001-68000000	14	67500001	68000000	0.989	0.872	0.93
14:68000001-68500000	14	68000001	68500000	1.04	0.959	0.96
14:68500001-69000000	14	68500001	69000000	0.869	1.021	0.96
14:69000001-69500000	14	69000001	69500000	1.058	0.971	1.006
14:69500001-70000000	14	69500001	70000000	1.106	0.882	1.051
14:70000001-70500000	14	70000001	70500000	0.968	0.982	1.056
14:70500001-71000000	14	70500001	71000000	0.953	1.027	1.03
14:71000001-71500000	14	71000001	71500000	1.05	1.049	0.985
14:71500001-72000000	14	71500001	72000000	1.112	1.019	1.084
14:72000001-72500000	14	72000001	72500000	1.138	0.954	1.032
14:72500001-73000000	14	72500001	73000000	1.049	0.997	1.027
14:73000001-73500000	14	73000001	73500000	1.047	0.899	0.955
14:73500001-74000000	14	73500001	74000000	0.951	0.947	0.917
14:74000001-74500000	14	74000001	74500000	1.016	1.041	0.97
14:74500001-75000000	14	74500001	75000000	1.074	1.02	1.032
14:75000001-75500000	14	75000001	75500000	0.921	0.927	0.978
14:75500001-76000000	14	75500001	76000000	0.954	0.983	0.977
14:76000001-76500000	14	76000001	76500000	1.113	0.966	0.964
14:76500001-77000000	14	76500001	77000000	1.01	1.067	0.984
14:77000001-77500000	14	77000001	77500000	0.989	0.919	1.007
14:77500001-78000000	14	77500001	78000000	0.938	0.941	1.006
14:78000001-78500000	14	78000001	78500000	0.961	1.092	1.037
14:78500001-79000000	14	78500001	79000000	1.125	0.995	1.134
14:79000001-79500000	14	79000001	79500000	1.029	1.031	1.017
14:79500001-80000000	14	79500001	80000000	1.026	0.939	1.091
14:80000001-80500000	14	80000001	80500000	1.016	1.039	1.057
14:80500001-81000000	14	80500001	81000000	1.089	1.038	1.03
14:81000001-81500000	14	81000001	81500000	0.954	0.982	0.989
14:81500001-82000000	14	81500001	82000000	0.947	1.027	1.038
14:82000001-82500000	14	82000001	82500000	0.862	1.065	0.979
14:82500001-83000000	14	82500001	83000000	1.033	0.918	1.069
14:83000001-83500000	14	83000001	83500000	0.958	0.98	0.957
14:84500001-85000000	14	84500001	85000000	0.862	0.922	0.911
14:85000001-85500000	14	85000001	85500000	0.949	0.991	0.959
14:85500001-86000000	14	85500001	86000000	1.055	1.089	0.978
14:86500001-87000000	14	86500001	87000000	1.088	0.975	0.982
14:87000001-87500000	14	87000001	87500000	1.04	0.982	1.041
14:87500001-88000000	14	87500001	88000000	0.979	1.104	1.053
14:88000001-88500000	14	88000001	88500000	1.073	1.122	1.027
14:88500001-89000000	14	88500001	89000000	0.989	1.053	0.921
14:89000001-89500000	14	89000001	89500000	1.191	1	0.965
14:89500001-90000000	14	89500001	90000000	1.09	0.977	1.006
14:90000001-90500000	14	90000001	90500000	1.015	0.916	1.073
14:90500001-91000000	14	90500001	91000000	1.05	1.034	0.971
14:91000001-91500000	14	91000001	91500000	0.89	1.032	0.93
14:91500001-92000000	14	91500001	92000000	1.05	0.964	0.955
14:92000001-92500000	14	92000001	92500000	0.905	0.995	0.977
14:92500001-93000000	14	92500001	93000000	0.931	0.909	0.973
14:93000001-93500000	14	93000001	93500000	1	1.022	0.93
14:93500001-94000000	14	93500001	94000000	1.061	0.988	1.036
14:94000001-94500000	14	94000001	94500000	0.954	0.945	0.986
14:94500001-95000000	14	94500001	95000000	0.916	1.082	0.975
14:95000001-95500000	14	95000001	95500000	0.936	0.938	1
14:95500001-96000000	14	95500001	96000000	0.98	1.034	0.972
14:96000001-96500000	14	96000001	96500000	1.087	0.988	0.937
14:96500001-97000000	14	96500001	97000000	1	0.92	0.908
14:97000001-97500000	14	97000001	97500000	0.973	1.069	0.987
14:97500001-98000000	14	97500001	98000000	0.87	0.993	0.975
14:98000001-98500000	14	98000001	98500000	1.026	0.891	1.047
14:98500001-99000000	14	98500001	99000000	0.899	1.02	0.99
14:99000001-99500000	14	99000001	99500000	0.933	0.907	1.004
14:99500001-100000000	14	99500001	100000000	1.07	1.03	0.937
14:100000001-100500000	14	100000001	100500000	0.918	0.959	0.936
14:100500001-101000000	14	100500001	101000000	1.001	0.982	0.93
14:101000001-101500000	14	101000001	101500000	1.152	1.023	0.988
14:101500001-102000000	14	101500001	102000000	0.983	0.986	0.996
14:102000001-102500000	14	102000001	102500000	1.045	1.02	0.971
14:102500001-103000000	14	102500001	103000000	1.042	1.061	0.934
14:103000001-103500000	14	103000001	103500000	0.946	0.953	0.922
14:103500001-104000000	14	103500001	104000000	0.86	1.073	0.997
14:104000001-104500000	14	104000001	104500000	0.958	1.018	1.009
14:104500001-105000000	14	104500001	105000000	1.06	0.979	0.965
14:105000001-105500000	14	105000001	105500000	1.171	1.034	1.03
15:23500001-24000000	15	23500001	24000000	0.991	0.986	1.041
15:24500001-25000000	15	24500001	25000000	0.931	0.994	0.98
15:25000001-25500000	15	25000001	25500000	0.828	0.952	0.906
15:26000001-26500000	15	26000001	26500000	0.885	1.048	0.865
15:26500001-27000000	15	26500001	27000000	0.93	0.955	0.954
15:27000001-27500000	15	27000001	27500000	0.928	0.993	1.015
15:27500001-28000000	15	27500001	28000000	0.937	1	0.95
15:29000001-29500000	15	29000001	29500000	1.064	1.086	0.946
15:29500001-30000000	15	29500001	30000000	1.037	1.048	0.902
15:31000001-31500000	15	31000001	31500000	0.922	0.944	0.946
15:31500001-32000000	15	31500001	32000000	1.005	0.99	1.069
15:33000001-33500000	15	33000001	33500000	0.997	0.99	1.073
15:33500001-34000000	15	33500001	34000000	0.993	1.097	1.057
15:34000001-34500000	15	34000001	34500000	0.891	0.911	0.896
15:35500001-36000000	15	35500001	36000000	1.131	0.994	0.976
15:36000001-36500000	15	36000001	36500000	1.047	1.065	1.051
15:36500001-37000000	15	36500001	37000000	1.082	1.028	1.001
15:37000001-37500000	15	37000001	37500000	1.094	1.122	1.053
15:37500001-38000000	15	37500001	38000000	0.992	0.937	1.055
15:38000001-38500000	15	38000001	38500000	0.999	0.956	1.017
15:38500001-39000000	15	38500001	39000000	1.158	1.023	1.059
15:39000001-39500000	15	39000001	39500000	1.06	1.002	1.014
15:39500001-40000000	15	39500001	40000000	0.925	0.987	0.995
15:40500001-41000000	15	40500001	41000000	0.916	0.978	1
15:41500001-42000000	15	41500001	42000000	0.982	1.005	0.983
15:42000001-42500000	15	42000001	42500000	0.936	0.983	1.009
15:42500001-43000000	15	42500001	43000000	0.998	0.986	0.954
15:43000001-43500000	15	43000001	43500000	1.115	0.912	0.999
15:44000001-44500000	15	44000001	44500000	0.949	1.02	1.022
15:45000001-45500000	15	45000001	45500000	0.922	0.977	1.036
15:45500001-46000000	15	45500001	46000000	0.927	0.896	0.957
15:46000001-46500000	15	46000001	46500000	0.956	0.967	0.997
15:46500001-47000000	15	46500001	47000000	0.847	0.925	1.005
15:47000001-47500000	15	47000001	47500000	1.103	1.101	1.05
15:47500001-48000000	15	47500001	48000000	1.038	1.019	1.042
15:48000001-48500000	15	48000001	48500000	1.008	1.124	1.076
15:48500001-49000000	15	48500001	49000000	0.959	0.98	0.992
15:49000001-49500000	15	49000001	49500000	1.11	1.106	1.002
15:49500001-50000000	15	49500001	50000000	0.956	0.943	1.008
15:50000001-50500000	15	50000001	50500000	0.957	0.977	1.023
15:50500001-51000000	15	50500001	51000000	0.937	1.029	0.955
15:51000001-51500000	15	51000001	51500000	0.899	1.025	0.976
15:51500001-52000000	15	51500001	52000000	1.079	0.951	0.975
15:52500001-53000000	15	52500001	53000000	0.995	0.926	1.016
15:53000001-53500000	15	53000001	53500000	1.131	1.12	1.071
15:53500001-54000000	15	53500001	54000000	0.99	0.885	0.982
15:54000001-54500000	15	54000001	54500000	1.064	1.051	1.078
15:55000001-55500000	15	55000001	55500000	1.073	1.118	0.996
15:55500001-56000000	15	55500001	56000000	1.101	1.033	0.969
15:56000001-56500000	15	56000001	56500000	1.04	1.065	1.047
15:56500001-57000000	15	56500001	57000000	1.016	0.912	0.978
15:57000001-57500000	15	57000001	57500000	1.013	0.894	0.975
15:57500001-58000000	15	57500001	58000000	1.058	0.938	0.969
15:58500001-59000000	15	58500001	59000000	0.866	0.934	0.888
15:59000001-59500000	15	59000001	59500000	1.035	1.015	0.93
15:59500001-60000000	15	59500001	60000000	0.905	1.053	0.985
15:60000001-60500000	15	60000001	60500000	1.062	1.055	0.992
15:60500001-61000000	15	60500001	61000000	1.093	1.016	1.014
15:61000001-61500000	15	61000001	61500000	1.079	0.997	1.046
15:61500001-62000000	15	61500001	62000000	1.087	0.98	1.054
15:62000001-62500000	15	62000001	62500000	1.006	1.097	1.036
15:62500001-63000000	15	62500001	63000000	0.984	0.962	0.997
15:63000001-63500000	15	63000001	63500000	0.99	0.98	1.062
15:63500001-64000000	15	63500001	64000000	0.967	0.916	0.878
15:64000001-64500000	15	64000001	64500000	1.045	0.929	0.988
15:64500001-65000000	15	64500001	65000000	0.952	1.062	1.027
15:65000001-65500000	15	65000001	65500000	1.232	1.068	1.09
15:65500001-66000000	15	65500001	66000000	1.027	1.007	0.952
15:66000001-66500000	15	66000001	66500000	1.027	0.997	1.02
15:66500001-67000000	15	66500001	67000000	0.935	1.015	1
15:67500001-68000000	15	67500001	68000000	0.959	0.984	0.927
15:68000001-68500000	15	68000001	68500000	0.948	1.047	1.046
15:68500001-69000000	15	68500001	69000000	0.976	0.986	1.037
