feature	chromosome	start	end	SLX-17922.D710tp_D504tp.HC22GBBXY.s_6.r_1	SLX-16150.D708tp_D503tp.HC22VBBXY.s_3.r_1
1:60000001-60500000	1	60000001	60500000	1.025	1.075
1:60500001-61000000	1	60500001	61000000	1.017	0.987
1:61000001-61500000	1	61000001	61500000	0.989	0.992
1:61500001-62000000	1	61500001	62000000	0.948	1.021
1:62000001-62500000	1	62000001	62500000	0.932	1.009
1:62500001-63000000	1	62500001	63000000	0.989	0.899
1:63000001-63500000	1	63000001	63500000	0.992	0.968
1:63500001-64000000	1	63500001	64000000	0.875	1.014
1:64000001-64500000	1	64000001	64500000	1.012	1.017
1:64500001-65000000	1	64500001	65000000	0.982	0.975
1:65000001-65500000	1	65000001	65500000	0.878	0.949
1:65500001-66000000	1	65500001	66000000	0.943	1.075
1:66500001-67000000	1	66500001	67000000	1.055	1.067
1:67000001-67500000	1	67000001	67500000	1.008	1.092
1:68000001-68500000	1	68000001	68500000	0.962	1.071
1:68500001-69000000	1	68500001	69000000	0.953	1.025
1:69000001-69500000	1	69000001	69500000	0.986	1.123
1:69500001-70000000	1	69500001	70000000	0.918	1.07
1:70000001-70500000	1	70000001	70500000	0.981	1.084
1:70500001-71000000	1	70500001	71000000	0.952	1.018
1:71000001-71500000	1	71000001	71500000	0.895	1.053
1:71500001-72000000	1	71500001	72000000	1.032	1.094
1:72000001-72500000	1	72000001	72500000	0.867	1.054
1:72500001-73000000	1	72500001	73000000	0.907	1.071
1:73500001-74000000	1	73500001	74000000	0.89	1.016
1:74000001-74500000	1	74000001	74500000	0.811	1.06
1:74500001-75000000	1	74500001	75000000	0.915	0.932
1:75000001-75500000	1	75000001	75500000	0.955	1.016
1:75500001-76000000	1	75500001	76000000	0.946	0.944
1:76000001-76500000	1	76000001	76500000	1.05	1.09
1:77000001-77500000	1	77000001	77500000	1.037	0.998
1:77500001-78000000	1	77500001	78000000	0.898	1.037
1:78000001-78500000	1	78000001	78500000	0.903	0.908
1:78500001-79000000	1	78500001	79000000	0.991	0.877
1:79000001-79500000	1	79000001	79500000	0.875	0.963
1:79500001-80000000	1	79500001	80000000	0.875	0.995
1:80000001-80500000	1	80000001	80500000	0.88	0.965
1:80500001-81000000	1	80500001	81000000	0.969	0.895
1:81000001-81500000	1	81000001	81500000	0.974	0.945
1:81500001-82000000	1	81500001	82000000	0.891	1.105
1:82000001-82500000	1	82000001	82500000	0.886	1.034
1:82500001-83000000	1	82500001	83000000	0.953	1.04
1:83500001-84000000	1	83500001	84000000	0.915	1.096
1:84000001-84500000	1	84000001	84500000	0.942	1.019
1:84500001-85000000	1	84500001	85000000	0.885	0.939
1:85000001-85500000	1	85000001	85500000	0.926	0.987
1:85500001-86000000	1	85500001	86000000	1.003	0.993
1:86000001-86500000	1	86000001	86500000	0.985	1.1
1:86500001-87000000	1	86500001	87000000	0.991	0.988
1:87000001-87500000	1	87000001	87500000	0.977	1.029
1:87500001-88000000	1	87500001	88000000	0.987	1.085
1:88000001-88500000	1	88000001	88500000	0.974	1.087
1:88500001-89000000	1	88500001	89000000	0.941	1.02
1:89000001-89500000	1	89000001	89500000	0.894	1.126
1:89500001-90000000	1	89500001	90000000	0.954	1.022
1:90000001-90500000	1	90000001	90500000	0.963	1.037
1:90500001-91000000	1	90500001	91000000	0.974	1.02
1:91000001-91500000	1	91000001	91500000	0.893	1.11
1:91500001-92000000	1	91500001	92000000	0.933	0.942
1:92000001-92500000	1	92000001	92500000	0.966	0.987
1:92500001-93000000	1	92500001	93000000	1.058	1.042
1:93000001-93500000	1	93000001	93500000	0.962	0.973
1:94000001-94500000	1	94000001	94500000	0.976	0.932
1:94500001-95000000	1	94500001	95000000	0.92	1.024
1:95000001-95500000	1	95000001	95500000	0.914	0.951
1:95500001-96000000	1	95500001	96000000	1.057	1.011
1:96000001-96500000	1	96000001	96500000	0.952	1.129
1:96500001-97000000	1	96500001	97000000	0.957	1.046
1:97000001-97500000	1	97000001	97500000	0.974	0.99
1:97500001-98000000	1	97500001	98000000	0.974	1.06
1:98000001-98500000	1	98000001	98500000	0.875	1.137
1:98500001-99000000	1	98500001	99000000	0.988	1.002
1:99000001-99500000	1	99000001	99500000	1.035	1.043
1:99500001-100000000	1	99500001	100000000	0.968	1.012
1:100000001-100500000	1	100000001	100500000	0.889	1.047
1:100500001-101000000	1	100500001	101000000	0.961	1.094
1:101000001-101500000	1	101000001	101500000	0.93	1.048
1:101500001-102000000	1	101500001	102000000	0.916	1.068
1:102500001-103000000	1	102500001	103000000	0.879	1.028
1:103000001-103500000	1	103000001	103500000	0.82	0.971
1:104000001-104500000	1	104000001	104500000	0.927	0.835
1:104500001-105000000	1	104500001	105000000	0.956	0.874
1:105000001-105500000	1	105000001	105500000	0.865	0.873
1:105500001-106000000	1	105500001	106000000	0.836	0.929
1:106000001-106500000	1	106000001	106500000	0.929	0.847
1:107000001-107500000	1	107000001	107500000	0.961	0.977
1:107500001-108000000	1	107500001	108000000	1.005	1.126
1:108500001-109000000	1	108500001	109000000	0.913	0.964
1:109000001-109500000	1	109000001	109500000	0.864	0.84
1:109500001-110000000	1	109500001	110000000	1.021	1.032
1:110000001-110500000	1	110000001	110500000	1.008	1.015
1:110500001-111000000	1	110500001	111000000	0.907	1.036
1:111000001-111500000	1	111000001	111500000	0.938	1.034
1:111500001-112000000	1	111500001	112000000	0.972	1.024
1:112000001-112500000	1	112000001	112500000	0.955	1.092
1:112500001-113000000	1	112500001	113000000	1.033	1.059
1:113000001-113500000	1	113000001	113500000	0.971	0.996
1:113500001-114000000	1	113500001	114000000	0.781	0.936
1:114000001-114500000	1	114000001	114500000	0.938	1.074
1:114500001-115000000	1	114500001	115000000	0.922	0.995
1:115000001-115500000	1	115000001	115500000	1.001	1.023
1:115500001-116000000	1	115500001	116000000	0.924	0.996
1:116000001-116500000	1	116000001	116500000	0.957	0.99
1:116500001-117000000	1	116500001	117000000	1.113	1.033
1:117000001-117500000	1	117000001	117500000	0.963	0.99
1:117500001-118000000	1	117500001	118000000	0.96	1.069
1:118000001-118500000	1	118000001	118500000	0.924	0.966
1:118500001-119000000	1	118500001	119000000	1.059	1.112
1:119000001-119500000	1	119000001	119500000	0.985	0.935
1:119500001-120000000	1	119500001	120000000	0.956	1.01
1:147500001-148000000	1	147500001	148000000	1.331	0.986
1:150000001-150500000	1	150000001	150500000	1.136	0.876
1:150500001-151000000	1	150500001	151000000	1.2	0.955
1:151000001-151500000	1	151000001	151500000	1.109	0.941
1:151500001-152000000	1	151500001	152000000	1.171	0.977
1:152000001-152500000	1	152000001	152500000	1.33	0.99
1:152500001-153000000	1	152500001	153000000	1.199	0.96
1:153000001-153500000	1	153000001	153500000	1.361	0.995
1:153500001-154000000	1	153500001	154000000	1.19	0.899
1:154000001-154500000	1	154000001	154500000	1.241	1.073
1:154500001-155000000	1	154500001	155000000	1.292	0.927
1:155000001-155500000	1	155000001	155500000	1.244	0.964
1:156000001-156500000	1	156000001	156500000	1.218	1.047
1:156500001-157000000	1	156500001	157000000	1.293	0.999
1:157000001-157500000	1	157000001	157500000	1.265	1.026
1:157500001-158000000	1	157500001	158000000	1.363	1.065
1:159500001-160000000	1	159500001	160000000	1.293	1.098
1:160000001-160500000	1	160000001	160500000	1.226	1.009
1:160500001-161000000	1	160500001	161000000	1.259	1.052
1:161000001-161500000	1	161000001	161500000	1.315	1.021
1:161500001-162000000	1	161500001	162000000	1.141	0.887
1:162000001-162500000	1	162000001	162500000	1.336	1.023
1:162500001-163000000	1	162500001	163000000	1.281	0.998
1:163000001-163500000	1	163000001	163500000	1.27	1.015
1:163500001-164000000	1	163500001	164000000	1.224	1.06
1:164000001-164500000	1	164000001	164500000	1.246	1.049
1:164500001-165000000	1	164500001	165000000	1.265	0.948
1:165000001-165500000	1	165000001	165500000	1.315	0.981
1:165500001-166000000	1	165500001	166000000	1.23	0.975
1:166000001-166500000	1	166000001	166500000	1.331	1.081
1:166500001-167000000	1	166500001	167000000	1.169	0.959
1:167000001-167500000	1	167000001	167500000	1.216	1.034
1:167500001-168000000	1	167500001	168000000	1.265	1.052
1:168000001-168500000	1	168000001	168500000	1.278	1.022
1:168500001-169000000	1	168500001	169000000	1.391	1.084
1:169500001-170000000	1	169500001	170000000	1.211	1.055
1:170500001-171000000	1	170500001	171000000	1.252	1.058
1:171000001-171500000	1	171000001	171500000	1.177	1.002
1:171500001-172000000	1	171500001	172000000	1.301	1.072
1:172000001-172500000	1	172000001	172500000	1.374	1.125
1:173000001-173500000	1	173000001	173500000	1.359	1.09
1:173500001-174000000	1	173500001	174000000	1.216	1.029
1:174000001-174500000	1	174000001	174500000	1.26	1.025
1:174500001-175000000	1	174500001	175000000	1.49	0.96
1:175000001-175500000	1	175000001	175500000	1.253	1.085
1:175500001-176000000	1	175500001	176000000	1.197	1.045
1:176000001-176500000	1	176000001	176500000	1.3	0.958
1:176500001-177000000	1	176500001	177000000	1.326	0.982
1:177000001-177500000	1	177000001	177500000	1.301	0.913
1:177500001-178000000	1	177500001	178000000	1.28	1.042
1:178000001-178500000	1	178000001	178500000	1.285	0.994
1:178500001-179000000	1	178500001	179000000	1.259	1.028
1:179000001-179500000	1	179000001	179500000	1.16	0.931
1:179500001-180000000	1	179500001	180000000	1.194	1.042
1:180000001-180500000	1	180000001	180500000	1.116	0.964
1:180500001-181000000	1	180500001	181000000	1.247	0.991
1:181500001-182000000	1	181500001	182000000	1.303	1.016
1:182000001-182500000	1	182000001	182500000	1.221	0.929
1:182500001-183000000	1	182500001	183000000	1.244	0.945
1:183000001-183500000	1	183000001	183500000	1.28	1.013
1:183500001-184000000	1	183500001	184000000	1.106	1.004
1:184000001-184500000	1	184000001	184500000	1.116	1.006
1:184500001-185000000	1	184500001	185000000	1.148	1.075
1:185000001-185500000	1	185000001	185500000	1.168	0.958
1:185500001-186000000	1	185500001	186000000	1.199	1.049
1:186000001-186500000	1	186000001	186500000	1.205	1.101
1:186500001-187000000	1	186500001	187000000	1.282	1.02
1:187000001-187500000	1	187000001	187500000	1.24	1.007
1:187500001-188000000	1	187500001	188000000	1.174	1.03
1:188000001-188500000	1	188000001	188500000	1.204	1.099
1:188500001-189000000	1	188500001	189000000	1.09	1.038
1:189000001-189500000	1	189000001	189500000	1.286	0.993
1:189500001-190000000	1	189500001	190000000	1.148	0.939
1:190000001-190500000	1	190000001	190500000	1.179	1.035
1:190500001-191000000	1	190500001	191000000	1.115	0.889
1:191000001-191500000	1	191000001	191500000	1.229	1.031
1:192000001-192500000	1	192000001	192500000	1.304	0.908
1:192500001-193000000	1	192500001	193000000	1.252	1.063
1:193000001-193500000	1	193000001	193500000	1.193	1.102
1:193500001-194000000	1	193500001	194000000	1.34	0.973
1:194000001-194500000	1	194000001	194500000	1.216	1.069
1:194500001-195000000	1	194500001	195000000	1.285	1.041
1:195500001-196000000	1	195500001	196000000	1.305	0.968
1:196000001-196500000	1	196000001	196500000	1.327	0.977
1:197000001-197500000	1	197000001	197500000	1.164	1.094
1:197500001-198000000	1	197500001	198000000	1.202	1.067
1:198000001-198500000	1	198000001	198500000	1.263	1.059
1:198500001-199000000	1	198500001	199000000	1.245	0.957
1:199500001-200000000	1	199500001	200000000	1.191	1.021
1:200000001-200500000	1	200000001	200500000	1.091	1.048
1:200500001-201000000	1	200500001	201000000	1.164	1.049
1:201000001-201500000	1	201000001	201500000	1.152	1.017
1:201500001-202000000	1	201500001	202000000	1.158	0.936
1:202000001-202500000	1	202000001	202500000	1.174	1.035
1:202500001-203000000	1	202500001	203000000	1.153	1.036
1:203000001-203500000	1	203000001	203500000	1.23	1.033
1:203500001-204000000	1	203500001	204000000	1.317	0.931
1:204000001-204500000	1	204000001	204500000	1.233	1.058
1:204500001-205000000	1	204500001	205000000	1.293	0.993
1:205000001-205500000	1	205000001	205500000	1.375	1.071
1:205500001-206000000	1	205500001	206000000	1.204	1.062
1:206500001-207000000	1	206500001	207000000	1.167	1.036
1:207000001-207500000	1	207000001	207500000	1.294	1.022
1:207500001-208000000	1	207500001	208000000	1.208	1.073
1:208000001-208500000	1	208000001	208500000	1.239	0.966
1:208500001-209000000	1	208500001	209000000	1.317	1.107
1:209000001-209500000	1	209000001	209500000	1.194	0.956
1:209500001-210000000	1	209500001	210000000	1.223	1.013
1:210000001-210500000	1	210000001	210500000	1.264	1.066
1:210500001-211000000	1	210500001	211000000	1.39	1.091
1:211000001-211500000	1	211000001	211500000	1.347	0.934
1:211500001-212000000	1	211500001	212000000	1.298	0.931
1:212000001-212500000	1	212000001	212500000	1.137	0.923
1:212500001-213000000	1	212500001	213000000	1.188	0.963
1:213000001-213500000	1	213000001	213500000	1.303	1.001
1:213500001-214000000	1	213500001	214000000	1.266	0.994
1:214000001-214500000	1	214000001	214500000	1.231	0.985
1:216000001-216500000	1	216000001	216500000	1.264	1.037
1:216500001-217000000	1	216500001	217000000	1.247	0.934
1:217000001-217500000	1	217000001	217500000	1.114	0.957
1:217500001-218000000	1	217500001	218000000	1.109	1.089
1:218000001-218500000	1	218000001	218500000	1.199	1.019
1:218500001-219000000	1	218500001	219000000	1.163	1.011
1:219000001-219500000	1	219000001	219500000	1.138	1.009
1:219500001-220000000	1	219500001	220000000	1.28	0.861
1:220000001-220500000	1	220000001	220500000	1.183	0.911
1:220500001-221000000	1	220500001	221000000	1.168	0.969
1:221000001-221500000	1	221000001	221500000	1.162	1.132
1:221500001-222000000	1	221500001	222000000	1.321	1.011
1:222000001-222500000	1	222000001	222500000	1.424	1.167
1:222500001-223000000	1	222500001	223000000	1.175	1.019
1:223000001-223500000	1	223000001	223500000	1.361	1.11
1:224000001-224500000	1	224000001	224500000	1.133	0.955
1:224500001-225000000	1	224500001	225000000	1.215	1.07
1:225000001-225500000	1	225000001	225500000	1.21	1
1:225500001-226000000	1	225500001	226000000	1.11	1.051
1:226000001-226500000	1	226000001	226500000	1.199	0.949
1:227000001-227500000	1	227000001	227500000	1.255	0.982
1:228000001-228500000	1	228000001	228500000	1.11	0.938
1:228500001-229000000	1	228500001	229000000	1.476	1.096
1:229500001-230000000	1	229500001	230000000	1.267	0.951
1:230000001-230500000	1	230000001	230500000	1.134	0.899
1:230500001-231000000	1	230500001	231000000	1.168	1.091
1:231000001-231500000	1	231000001	231500000	1.105	1.007
1:231500001-232000000	1	231500001	232000000	1.259	1.126
1:232000001-232500000	1	232000001	232500000	1.158	1.071
1:232500001-233000000	1	232500001	233000000	1.244	1.023
1:233500001-234000000	1	233500001	234000000	1.137	0.993
1:234000001-234500000	1	234000001	234500000	1.201	0.957
1:234500001-235000000	1	234500001	235000000	1.054	0.963
1:235000001-235500000	1	235000001	235500000	1.113	0.974
1:236000001-236500000	1	236000001	236500000	1.221	1.013
1:236500001-237000000	1	236500001	237000000	1.199	0.976
1:237000001-237500000	1	237000001	237500000	1.236	0.923
1:238000001-238500000	1	238000001	238500000	1.232	0.914
1:238500001-239000000	1	238500001	239000000	1.177	0.935
1:239000001-239500000	1	239000001	239500000	1.217	0.963
1:239500001-240000000	1	239500001	240000000	1.199	1.062
1:240000001-240500000	1	240000001	240500000	1.177	0.94
1:240500001-241000000	1	240500001	241000000	1.289	0.863
1:241000001-241500000	1	241000001	241500000	1.066	0.929
1:241500001-242000000	1	241500001	242000000	1.179	0.877
1:242000001-242500000	1	242000001	242500000	1.209	1.019
1:243500001-244000000	1	243500001	244000000	1.215	1.124
1:244000001-244500000	1	244000001	244500000	1.087	1.013
1:244500001-245000000	1	244500001	245000000	1.144	1.001
1:245000001-245500000	1	245000001	245500000	1.116	0.934
1:245500001-246000000	1	245500001	246000000	1.228	0.952
1:246000001-246500000	1	246000001	246500000	1.14	1.036
1:246500001-247000000	1	246500001	247000000	1.122	0.961
1:247000001-247500000	1	247000001	247500000	1.127	0.936
1:247500001-248000000	1	247500001	248000000	1.16	1.123
2:1-500000	2	1	500000	0.979	0.907
2:1500001-2000000	2	1500001	2000000	0.994	1.001
2:2000001-2500000	2	2000001	2500000	1.055	1.079
2:2500001-3000000	2	2500001	3000000	0.942	0.904
2:3000001-3500000	2	3000001	3500000	0.966	0.993
2:3500001-4000000	2	3500001	4000000	0.997	0.915
2:4000001-4500000	2	4000001	4500000	0.922	0.838
2:4500001-5000000	2	4500001	5000000	1.03	0.965
2:5000001-5500000	2	5000001	5500000	0.874	0.967
2:5500001-6000000	2	5500001	6000000	0.944	1
2:6000001-6500000	2	6000001	6500000	0.963	0.967
2:6500001-7000000	2	6500001	7000000	0.878	0.963
2:7000001-7500000	2	7000001	7500000	0.966	1.125
2:7500001-8000000	2	7500001	8000000	0.97	1.045
2:8000001-8500000	2	8000001	8500000	1.023	0.983
2:8500001-9000000	2	8500001	9000000	0.892	1.028
2:9000001-9500000	2	9000001	9500000	1.042	0.971
2:9500001-10000000	2	9500001	10000000	0.95	1.075
2:10000001-10500000	2	10000001	10500000	0.844	0.956
2:10500001-11000000	2	10500001	11000000	0.904	0.995
2:11000001-11500000	2	11000001	11500000	0.968	0.945
2:11500001-12000000	2	11500001	12000000	1.033	0.99
2:12000001-12500000	2	12000001	12500000	0.93	1.064
2:12500001-13000000	2	12500001	13000000	1.051	1.024
2:13000001-13500000	2	13000001	13500000	0.853	0.915
2:13500001-14000000	2	13500001	14000000	0.895	1.013
2:14000001-14500000	2	14000001	14500000	0.984	0.907
2:14500001-15000000	2	14500001	15000000	0.925	0.977
2:15000001-15500000	2	15000001	15500000	1.014	0.983
2:15500001-16000000	2	15500001	16000000	0.957	0.927
2:16500001-17000000	2	16500001	17000000	1.059	1.167
2:17000001-17500000	2	17000001	17500000	1.117	1.04
2:17500001-18000000	2	17500001	18000000	0.948	1.058
2:18000001-18500000	2	18000001	18500000	1.006	1.022
2:18500001-19000000	2	18500001	19000000	1.068	0.892
2:19000001-19500000	2	19000001	19500000	0.994	1.066
2:19500001-20000000	2	19500001	20000000	0.967	1.013
2:20000001-20500000	2	20000001	20500000	1.004	0.934
2:20500001-21000000	2	20500001	21000000	0.867	0.949
2:21000001-21500000	2	21000001	21500000	1.086	0.87
2:21500001-22000000	2	21500001	22000000	1.014	0.866
2:22500001-23000000	2	22500001	23000000	0.99	1.014
2:23000001-23500000	2	23000001	23500000	0.95	1.024
2:23500001-24000000	2	23500001	24000000	0.935	1.022
2:24000001-24500000	2	24000001	24500000	0.897	0.976
2:25000001-25500000	2	25000001	25500000	1.009	0.977
2:25500001-26000000	2	25500001	26000000	0.902	1.051
2:26000001-26500000	2	26000001	26500000	0.923	0.979
2:26500001-27000000	2	26500001	27000000	1.017	1.061
2:27000001-27500000	2	27000001	27500000	0.916	1.081
2:27500001-28000000	2	27500001	28000000	0.982	0.98
2:28000001-28500000	2	28000001	28500000	0.942	1.013
2:28500001-29000000	2	28500001	29000000	0.901	1.088
2:29000001-29500000	2	29000001	29500000	1.043	1.017
2:29500001-30000000	2	29500001	30000000	0.991	0.994
2:30000001-30500000	2	30000001	30500000	1.074	1.046
2:30500001-31000000	2	30500001	31000000	1.089	1.064
2:31000001-31500000	2	31000001	31500000	1.053	1.079
2:31500001-32000000	2	31500001	32000000	0.893	0.827
2:32000001-32500000	2	32000001	32500000	0.821	0.924
2:33000001-33500000	2	33000001	33500000	0.847	0.981
2:34000001-34500000	2	34000001	34500000	0.812	0.917
2:34500001-35000000	2	34500001	35000000	0.892	1.021
2:35000001-35500000	2	35000001	35500000	0.881	0.935
2:35500001-36000000	2	35500001	36000000	0.819	1.007
2:36500001-37000000	2	36500001	37000000	0.869	0.888
2:37000001-37500000	2	37000001	37500000	0.785	1.09
2:37500001-38000000	2	37500001	38000000	0.887	0.983
2:38000001-38500000	2	38000001	38500000	0.883	1.06
2:38500001-39000000	2	38500001	39000000	0.873	1.085
2:39000001-39500000	2	39000001	39500000	0.854	0.98
2:39500001-40000000	2	39500001	40000000	0.919	0.987
2:40000001-40500000	2	40000001	40500000	0.923	1.078
2:41000001-41500000	2	41000001	41500000	0.95	1.018
2:41500001-42000000	2	41500001	42000000	0.993	1
2:42000001-42500000	2	42000001	42500000	0.897	0.986
2:42500001-43000000	2	42500001	43000000	0.926	1.1
2:43000001-43500000	2	43000001	43500000	0.823	0.921
2:43500001-44000000	2	43500001	44000000	0.917	1.046
2:44000001-44500000	2	44000001	44500000	0.818	1.042
2:44500001-45000000	2	44500001	45000000	0.974	1.038
2:45000001-45500000	2	45000001	45500000	0.936	1.038
2:45500001-46000000	2	45500001	46000000	0.898	1.018
2:46000001-46500000	2	46000001	46500000	0.87	0.942
2:46500001-47000000	2	46500001	47000000	0.863	0.98
2:47000001-47500000	2	47000001	47500000	0.984	1.028
2:47500001-48000000	2	47500001	48000000	0.915	1.005
2:48000001-48500000	2	48000001	48500000	0.81	1.001
2:48500001-49000000	2	48500001	49000000	0.952	0.963
2:49500001-50000000	2	49500001	50000000	0.855	1.092
2:50000001-50500000	2	50000001	50500000	0.925	0.997
2:51000001-51500000	2	51000001	51500000	0.829	0.971
2:51500001-52000000	2	51500001	52000000	0.964	1.011
2:52000001-52500000	2	52000001	52500000	0.836	0.993
2:52500001-53000000	2	52500001	53000000	0.995	0.865
2:53000001-53500000	2	53000001	53500000	0.973	0.861
2:53500001-54000000	2	53500001	54000000	0.817	0.989
2:54500001-55000000	2	54500001	55000000	0.831	0.884
2:55000001-55500000	2	55000001	55500000	0.846	0.899
2:55500001-56000000	2	55500001	56000000	1.03	1.039
2:56000001-56500000	2	56000001	56500000	0.975	1.059
2:56500001-57000000	2	56500001	57000000	0.904	0.918
2:57000001-57500000	2	57000001	57500000	0.889	0.899
2:58000001-58500000	2	58000001	58500000	1.014	1.105
2:58500001-59000000	2	58500001	59000000	0.988	1.072
2:59000001-59500000	2	59000001	59500000	1.01	1.057
2:59500001-60000000	2	59500001	60000000	1.036	1.108
2:60000001-60500000	2	60000001	60500000	1.079	1.193
