feature	chromosome	start	end	SLX-17922.D710tp_D507tp.HC22GBBXY.s_6.r_1	SLX-17922.D711tp_D506tp.HC22GBBXY.s_6.r_1	SLX-16150.D711tp_D508tp.HC22VBBXY.s_3.r_1
1:24500001-25000000	1	24500001	25000000	0.919	1.037	0.896
1:25000001-25500000	1	25000001	25500000	0.897	0.912	1.183
1:25500001-26000000	1	25500001	26000000	0.897	1.003	1.034
1:26000001-26500000	1	26000001	26500000	0.963	0.892	1.004
1:26500001-27000000	1	26500001	27000000	0.931	0.934	0.909
1:27000001-27500000	1	27000001	27500000	0.99	0.907	1.082
1:27500001-28000000	1	27500001	28000000	0.973	0.992	1.034
1:28000001-28500000	1	28000001	28500000	0.869	0.986	0.983
1:28500001-29000000	1	28500001	29000000	1.04	0.957	0.869
1:29000001-29500000	1	29000001	29500000	1.059	1.081	1.03
1:29500001-30000000	1	29500001	30000000	1.081	0.954	0.95
1:30000001-30500000	1	30000001	30500000	1.008	1.064	1.109
1:30500001-31000000	1	30500001	31000000	1.02	0.961	0.965
1:31000001-31500000	1	31000001	31500000	0.907	1.054	0.912
1:31500001-32000000	1	31500001	32000000	1.043	0.962	1.018
1:32500001-33000000	1	32500001	33000000	0.975	0.961	1.078
1:33000001-33500000	1	33000001	33500000	0.977	0.92	1.003
1:34000001-34500000	1	34000001	34500000	0.976	1.112	1.192
1:34500001-35000000	1	34500001	35000000	1.082	0.995	1.073
1:35000001-35500000	1	35000001	35500000	0.84	0.948	0.99
1:35500001-36000000	1	35500001	36000000	1.014	0.959	0.894
1:36000001-36500000	1	36000001	36500000	0.975	0.869	0.923
1:36500001-37000000	1	36500001	37000000	1.013	1.058	0.958
1:37000001-37500000	1	37000001	37500000	1.054	1.106	1.098
1:37500001-38000000	1	37500001	38000000	1.037	1.008	1.061
1:38000001-38500000	1	38000001	38500000	1.081	1.005	1.036
1:39000001-39500000	1	39000001	39500000	1.038	1.01	0.975
1:39500001-40000000	1	39500001	40000000	1.006	1.052	1.027
1:40000001-40500000	1	40000001	40500000	0.998	0.956	1.003
1:40500001-41000000	1	40500001	41000000	1.01	0.999	1.008
1:41000001-41500000	1	41000001	41500000	1.059	1.157	0.981
1:41500001-42000000	1	41500001	42000000	1.018	0.986	0.916
1:42000001-42500000	1	42000001	42500000	1.054	1.028	0.999
1:42500001-43000000	1	42500001	43000000	1.022	0.897	0.951
1:43000001-43500000	1	43000001	43500000	1.099	0.955	1.017
1:43500001-44000000	1	43500001	44000000	1.033	1.003	1.022
1:44000001-44500000	1	44000001	44500000	1.03	0.975	0.831
1:44500001-45000000	1	44500001	45000000	1.093	0.949	1.028
1:45000001-45500000	1	45000001	45500000	0.968	1.004	0.923
1:45500001-46000000	1	45500001	46000000	0.986	1.077	0.95
1:46000001-46500000	1	46000001	46500000	1.019	1.103	1.094
1:46500001-47000000	1	46500001	47000000	1.244	1.277	1.013
1:47000001-47500000	1	47000001	47500000	1.049	1.029	1.011
1:47500001-48000000	1	47500001	48000000	1.074	1.098	0.97
1:48000001-48500000	1	48000001	48500000	1.165	1.098	1.033
1:48500001-49000000	1	48500001	49000000	1.074	1.035	0.973
1:49000001-49500000	1	49000001	49500000	1.184	1.013	1.082
1:49500001-50000000	1	49500001	50000000	1.151	0.978	1.167
1:50500001-51000000	1	50500001	51000000	1.116	1.039	1.061
1:51000001-51500000	1	51000001	51500000	1.042	0.847	0.894
1:51500001-52000000	1	51500001	52000000	1.016	0.975	0.847
1:52000001-52500000	1	52000001	52500000	1.102	1.159	1.023
1:53000001-53500000	1	53000001	53500000	0.974	0.917	0.937
1:53500001-54000000	1	53500001	54000000	1.004	1.017	1.111
1:54000001-54500000	1	54000001	54500000	1.124	0.967	1.064
1:54500001-55000000	1	54500001	55000000	1.127	1.037	0.954
1:55500001-56000000	1	55500001	56000000	1.111	1.021	1.038
1:56000001-56500000	1	56000001	56500000	1.076	0.985	1.065
1:56500001-57000000	1	56500001	57000000	1.085	1.07	0.963
1:57000001-57500000	1	57000001	57500000	0.997	1.044	0.988
1:57500001-58000000	1	57500001	58000000	1.117	1.043	0.899
1:58000001-58500000	1	58000001	58500000	1.136	1.057	0.902
1:58500001-59000000	1	58500001	59000000	1.093	0.967	1.012
1:59000001-59500000	1	59000001	59500000	1.055	0.973	1.048
1:59500001-60000000	1	59500001	60000000	1.177	1.099	0.986
1:60000001-60500000	1	60000001	60500000	1.051	1.119	1.146
1:60500001-61000000	1	60500001	61000000	1.069	1.141	1.068
1:61000001-61500000	1	61000001	61500000	1.022	1.091	1.013
1:61500001-62000000	1	61500001	62000000	1.031	0.968	0.917
1:62000001-62500000	1	62000001	62500000	1.084	1	1.054
1:62500001-63000000	1	62500001	63000000	0.922	1.097	1.01
1:63000001-63500000	1	63000001	63500000	0.983	0.951	1.051
1:63500001-64000000	1	63500001	64000000	1.022	0.964	1.024
1:64000001-64500000	1	64000001	64500000	1.038	1.004	1.073
1:64500001-65000000	1	64500001	65000000	1.019	0.95	1.006
1:65000001-65500000	1	65000001	65500000	1.019	1.011	0.954
1:65500001-66000000	1	65500001	66000000	1.132	1.019	1.014
1:66500001-67000000	1	66500001	67000000	1.111	1.033	1.047
1:67000001-67500000	1	67000001	67500000	1.027	1.086	0.929
1:68000001-68500000	1	68000001	68500000	0.988	1.086	1.009
1:68500001-69000000	1	68500001	69000000	1.106	1.08	1.03
1:69000001-69500000	1	69000001	69500000	1.071	1.076	1.008
1:69500001-70000000	1	69500001	70000000	1.049	1.103	1.177
1:70000001-70500000	1	70000001	70500000	1.159	1.034	1.056
1:70500001-71000000	1	70500001	71000000	1.025	0.978	1.116
1:71000001-71500000	1	71000001	71500000	1.073	1.035	0.917
1:71500001-72000000	1	71500001	72000000	1.153	0.981	1
1:72000001-72500000	1	72000001	72500000	1.164	0.954	0.907
1:72500001-73000000	1	72500001	73000000	1.144	1.119	1.006
1:73500001-74000000	1	73500001	74000000	0.997	1.051	0.995
1:74000001-74500000	1	74000001	74500000	1.076	1.193	1.014
1:74500001-75000000	1	74500001	75000000	1.031	1.015	1.037
1:75000001-75500000	1	75000001	75500000	1.057	1.016	0.901
1:75500001-76000000	1	75500001	76000000	1.154	0.917	1.094
1:76000001-76500000	1	76000001	76500000	1.13	0.96	1.007
1:77000001-77500000	1	77000001	77500000	1.074	0.971	1.028
1:77500001-78000000	1	77500001	78000000	0.871	0.893	0.935
1:78000001-78500000	1	78000001	78500000	1.143	1.02	1.049
1:78500001-79000000	1	78500001	79000000	1.08	1.031	1.026
1:79000001-79500000	1	79000001	79500000	1.017	0.953	1.06
1:79500001-80000000	1	79500001	80000000	1.027	0.95	0.895
1:80000001-80500000	1	80000001	80500000	1.046	0.911	1.02
1:80500001-81000000	1	80500001	81000000	1.121	0.955	0.981
1:81000001-81500000	1	81000001	81500000	1.067	0.966	0.949
1:81500001-82000000	1	81500001	82000000	0.953	1.046	1.077
1:82000001-82500000	1	82000001	82500000	1.178	1.061	0.974
1:82500001-83000000	1	82500001	83000000	1.053	1.022	0.955
1:83500001-84000000	1	83500001	84000000	1.1	1.09	1.001
1:84000001-84500000	1	84000001	84500000	1.092	1.052	1.069
1:84500001-85000000	1	84500001	85000000	0.967	0.901	1.026
1:85000001-85500000	1	85000001	85500000	1.087	1.038	1.009
1:85500001-86000000	1	85500001	86000000	1.06	1.069	1.039
1:86000001-86500000	1	86000001	86500000	1.055	1.055	1.057
1:86500001-87000000	1	86500001	87000000	1.07	1.099	1.076
1:87000001-87500000	1	87000001	87500000	1.084	0.985	1.057
1:87500001-88000000	1	87500001	88000000	1.085	1.036	0.929
1:88000001-88500000	1	88000001	88500000	1.063	1.108	0.917
1:88500001-89000000	1	88500001	89000000	1.086	0.936	0.895
1:89000001-89500000	1	89000001	89500000	1.037	1.1	1.027
1:89500001-90000000	1	89500001	90000000	1.042	0.945	1.01
1:90000001-90500000	1	90000001	90500000	1.093	1.071	1.119
1:90500001-91000000	1	90500001	91000000	1.076	0.934	1.113
1:91000001-91500000	1	91000001	91500000	1.043	1.148	0.899
1:91500001-92000000	1	91500001	92000000	1.02	0.924	1.018
1:92000001-92500000	1	92000001	92500000	1.16	1.029	1.149
1:92500001-93000000	1	92500001	93000000	1.039	1.076	1.016
1:93000001-93500000	1	93000001	93500000	1.017	0.898	1.106
1:94000001-94500000	1	94000001	94500000	1.109	1.069	1.064
1:94500001-95000000	1	94500001	95000000	1.004	0.845	1.093
1:95000001-95500000	1	95000001	95500000	0.999	0.864	0.995
1:95500001-96000000	1	95500001	96000000	1.017	1.047	1.056
1:96000001-96500000	1	96000001	96500000	1.125	0.933	1.002
1:96500001-97000000	1	96500001	97000000	1.083	0.974	1.05
1:97000001-97500000	1	97000001	97500000	1.007	0.942	1.032
1:97500001-98000000	1	97500001	98000000	1.21	1.066	1.041
1:98000001-98500000	1	98000001	98500000	1.106	0.957	1.037
1:98500001-99000000	1	98500001	99000000	1.054	0.986	0.924
1:99000001-99500000	1	99000001	99500000	1.012	1.03	1.018
1:99500001-100000000	1	99500001	100000000	1.032	1.005	0.975
1:100000001-100500000	1	100000001	100500000	0.959	0.9	0.923
1:100500001-101000000	1	100500001	101000000	1.107	1.06	0.906
1:101000001-101500000	1	101000001	101500000	1.026	0.927	1.011
1:101500001-102000000	1	101500001	102000000	1.065	1.094	0.986
1:102500001-103000000	1	102500001	103000000	1.047	0.964	0.985
1:103000001-103500000	1	103000001	103500000	1.11	1.037	0.967
1:104000001-104500000	1	104000001	104500000	1.055	0.974	0.982
1:104500001-105000000	1	104500001	105000000	0.953	1	0.956
1:105000001-105500000	1	105000001	105500000	1.078	0.891	0.821
1:105500001-106000000	1	105500001	106000000	1.006	1.118	0.949
1:106000001-106500000	1	106000001	106500000	1.057	1.024	0.969
1:107000001-107500000	1	107000001	107500000	1.018	1.055	0.887
1:107500001-108000000	1	107500001	108000000	0.998	1.072	0.921
1:108500001-109000000	1	108500001	109000000	1.057	0.888	1
1:109000001-109500000	1	109000001	109500000	0.998	0.848	0.973
1:109500001-110000000	1	109500001	110000000	0.971	1	1.056
1:110000001-110500000	1	110000001	110500000	1.044	0.988	0.959
1:110500001-111000000	1	110500001	111000000	1.049	0.981	1.052
1:111000001-111500000	1	111000001	111500000	1.005	0.969	1.023
1:111500001-112000000	1	111500001	112000000	1.106	0.956	0.935
1:112000001-112500000	1	112000001	112500000	1.06	1.023	1.098
1:112500001-113000000	1	112500001	113000000	1.07	1.067	0.883
1:113000001-113500000	1	113000001	113500000	1.094	0.98	0.979
1:113500001-114000000	1	113500001	114000000	0.986	0.962	0.968
1:114000001-114500000	1	114000001	114500000	1.158	1.003	1.103
1:114500001-115000000	1	114500001	115000000	1.021	0.977	1.043
1:115000001-115500000	1	115000001	115500000	1.039	1.006	1.071
1:115500001-116000000	1	115500001	116000000	1.136	0.849	0.951
1:116000001-116500000	1	116000001	116500000	1.017	1.123	1.016
1:116500001-117000000	1	116500001	117000000	1.188	1.138	1.156
1:117000001-117500000	1	117000001	117500000	1.112	1.011	0.968
1:117500001-118000000	1	117500001	118000000	1.069	1.05	1.005
1:118000001-118500000	1	118000001	118500000	1.013	1.037	0.943
1:118500001-119000000	1	118500001	119000000	1.221	0.981	1.068
1:119000001-119500000	1	119000001	119500000	1.04	1.002	0.939
1:119500001-120000000	1	119500001	120000000	1.182	1.065	1.069
1:147500001-148000000	1	147500001	148000000	1.066	1.155	1.151
1:150000001-150500000	1	150000001	150500000	0.916	0.866	0.936
1:150500001-151000000	1	150500001	151000000	1.058	0.9	0.932
1:151000001-151500000	1	151000001	151500000	1.019	0.82	0.889
1:151500001-152000000	1	151500001	152000000	0.971	1.027	0.878
1:152000001-152500000	1	152000001	152500000	1.167	1.048	1.104
1:152500001-153000000	1	152500001	153000000	1.056	0.941	0.999
1:153000001-153500000	1	153000001	153500000	1.023	0.989	1.016
1:153500001-154000000	1	153500001	154000000	0.946	1.021	0.889
1:154000001-154500000	1	154000001	154500000	1.059	1.066	1.019
1:154500001-155000000	1	154500001	155000000	1.002	1.029	1.052
1:155000001-155500000	1	155000001	155500000	0.945	0.834	0.996
1:156000001-156500000	1	156000001	156500000	1.06	1.039	1
1:156500001-157000000	1	156500001	157000000	1.064	1.006	1.007
1:157000001-157500000	1	157000001	157500000	1.062	1.05	1.005
1:157500001-158000000	1	157500001	158000000	1.065	1.056	0.996
1:159500001-160000000	1	159500001	160000000	1.069	1.024	0.987
1:160000001-160500000	1	160000001	160500000	0.99	0.975	1.026
1:160500001-161000000	1	160500001	161000000	1.018	1.009	1.04
1:161000001-161500000	1	161000001	161500000	1.065	0.98	1.013
1:161500001-162000000	1	161500001	162000000	0.961	0.908	0.892
1:162000001-162500000	1	162000001	162500000	1.038	1.114	0.938
1:162500001-163000000	1	162500001	163000000	0.99	1.056	0.992
1:163000001-163500000	1	163000001	163500000	1.087	1.089	1.019
1:163500001-164000000	1	163500001	164000000	1.182	1.142	0.988
1:164000001-164500000	1	164000001	164500000	0.938	1.049	1.069
1:164500001-165000000	1	164500001	165000000	1.013	1.094	0.882
1:165000001-165500000	1	165000001	165500000	1.242	1.048	1.144
1:165500001-166000000	1	165500001	166000000	1.048	1.022	1.046
1:166000001-166500000	1	166000001	166500000	1.113	0.956	1.022
1:166500001-167000000	1	166500001	167000000	1.078	0.936	0.998
1:167000001-167500000	1	167000001	167500000	1.053	1.074	1.019
1:167500001-168000000	1	167500001	168000000	1.005	0.966	0.957
1:168000001-168500000	1	168000001	168500000	1.007	0.971	0.975
1:168500001-169000000	1	168500001	169000000	1.112	1.104	1.079
1:169500001-170000000	1	169500001	170000000	1.106	0.913	0.982
1:170500001-171000000	1	170500001	171000000	1.128	1.118	1.136
1:171000001-171500000	1	171000001	171500000	1.01	0.983	0.876
1:171500001-172000000	1	171500001	172000000	1	1.035	1.041
1:172000001-172500000	1	172000001	172500000	1.121	1.023	1.138
1:173000001-173500000	1	173000001	173500000	1.102	1.026	0.938
1:173500001-174000000	1	173500001	174000000	1.045	1.046	1.051
1:174000001-174500000	1	174000001	174500000	1.088	0.879	1.063
1:174500001-175000000	1	174500001	175000000	1.007	1.145	0.998
1:175000001-175500000	1	175000001	175500000	1.063	1.011	1.078
1:175500001-176000000	1	175500001	176000000	1.092	1.025	0.991
1:176000001-176500000	1	176000001	176500000	1.006	0.983	1.079
1:176500001-177000000	1	176500001	177000000	1.05	1.032	0.992
1:177000001-177500000	1	177000001	177500000	1.125	0.963	1.12
1:177500001-178000000	1	177500001	178000000	1.103	1.046	1.037
1:178000001-178500000	1	178000001	178500000	1.069	1.026	0.994
1:178500001-179000000	1	178500001	179000000	1.059	1.021	0.968
1:179000001-179500000	1	179000001	179500000	0.977	0.895	0.977
1:179500001-180000000	1	179500001	180000000	1.032	1.047	1.02
1:180000001-180500000	1	180000001	180500000	1.127	0.89	1.037
1:180500001-181000000	1	180500001	181000000	1.062	1.051	0.883
1:181500001-182000000	1	181500001	182000000	1.108	1.055	0.929
1:182000001-182500000	1	182000001	182500000	1.095	0.961	0.954
1:182500001-183000000	1	182500001	183000000	1.064	1.015	1.005
1:183000001-183500000	1	183000001	183500000	1.089	1.098	1.037
1:183500001-184000000	1	183500001	184000000	1.096	1.004	1.013
1:184000001-184500000	1	184000001	184500000	1.184	1.101	1.113
1:184500001-185000000	1	184500001	185000000	1.057	0.958	1.034
1:185000001-185500000	1	185000001	185500000	1.033	0.924	0.933
1:185500001-186000000	1	185500001	186000000	1.136	1.001	1.024
1:186000001-186500000	1	186000001	186500000	1.148	1.12	1.017
1:186500001-187000000	1	186500001	187000000	1.033	0.966	1.034
1:187000001-187500000	1	187000001	187500000	1.056	1.114	0.958
1:187500001-188000000	1	187500001	188000000	1.004	0.977	1.077
1:188000001-188500000	1	188000001	188500000	1.052	1.053	1.108
1:188500001-189000000	1	188500001	189000000	1.14	0.977	1.027
1:189000001-189500000	1	189000001	189500000	1.005	1.043	0.996
1:189500001-190000000	1	189500001	190000000	0.985	1.006	1.035
1:190000001-190500000	1	190000001	190500000	1.142	1.093	0.987
1:190500001-191000000	1	190500001	191000000	1.095	0.977	0.831
1:191000001-191500000	1	191000001	191500000	1.07	1.046	1.024
1:192000001-192500000	1	192000001	192500000	1.102	1.022	0.952
1:192500001-193000000	1	192500001	193000000	1.012	1.034	1.063
1:193000001-193500000	1	193000001	193500000	1.054	0.994	0.908
1:193500001-194000000	1	193500001	194000000	1.079	1.09	0.934
1:194000001-194500000	1	194000001	194500000	1.021	1.089	0.853
1:194500001-195000000	1	194500001	195000000	1.099	0.969	1.12
1:195500001-196000000	1	195500001	196000000	1.028	1.055	1.136
1:196000001-196500000	1	196000001	196500000	1.241	1.001	0.951
1:197000001-197500000	1	197000001	197500000	1.055	1.014	1.057
1:197500001-198000000	1	197500001	198000000	1.112	0.99	1.046
1:198000001-198500000	1	198000001	198500000	1.129	1.061	1.074
1:198500001-199000000	1	198500001	199000000	1.029	0.952	0.958
1:199500001-200000000	1	199500001	200000000	1.069	0.986	0.946
1:200000001-200500000	1	200000001	200500000	1.029	0.977	0.977
1:200500001-201000000	1	200500001	201000000	1.101	0.958	1.006
1:201000001-201500000	1	201000001	201500000	1.111	1.006	1.011
1:201500001-202000000	1	201500001	202000000	1.01	0.951	0.992
1:202000001-202500000	1	202000001	202500000	1.047	1.091	1.115
1:202500001-203000000	1	202500001	203000000	1.034	0.985	1.012
1:203000001-203500000	1	203000001	203500000	1.032	0.935	1.199
1:203500001-204000000	1	203500001	204000000	1.085	0.908	0.98
1:204000001-204500000	1	204000001	204500000	1.019	1.028	0.997
1:204500001-205000000	1	204500001	205000000	1.161	0.997	1.016
1:205000001-205500000	1	205000001	205500000	1.042	1.074	1.096
1:205500001-206000000	1	205500001	206000000	1.094	0.969	1.109
1:206500001-207000000	1	206500001	207000000	1.028	0.925	0.875
1:207000001-207500000	1	207000001	207500000	1.152	0.91	1
1:207500001-208000000	1	207500001	208000000	1.027	0.871	1.058
1:208000001-208500000	1	208000001	208500000	1.147	1.05	1.057
1:208500001-209000000	1	208500001	209000000	1.082	1.015	1.115
1:209000001-209500000	1	209000001	209500000	1.111	1.047	1.03
1:209500001-210000000	1	209500001	210000000	1.074	1.047	0.973
1:210000001-210500000	1	210000001	210500000	0.998	1.049	0.991
1:210500001-211000000	1	210500001	211000000	1.122	1.116	1.018
1:211000001-211500000	1	211000001	211500000	1.013	1.035	0.975
1:211500001-212000000	1	211500001	212000000	1.041	0.905	0.924
1:212000001-212500000	1	212000001	212500000	1.01	0.928	1.002
1:212500001-213000000	1	212500001	213000000	1.068	1.016	1.087
1:213000001-213500000	1	213000001	213500000	1.028	1.006	0.953
1:213500001-214000000	1	213500001	214000000	1.153	1.05	1.086
1:214000001-214500000	1	214000001	214500000	1.076	0.975	0.977
1:216000001-216500000	1	216000001	216500000	0.98	1.043	0.99
1:216500001-217000000	1	216500001	217000000	1.084	0.98	0.993
1:217000001-217500000	1	217000001	217500000	1.006	0.88	1.003
1:217500001-218000000	1	217500001	218000000	1.032	0.981	0.916
1:218000001-218500000	1	218000001	218500000	1.05	0.991	1.066
1:218500001-219000000	1	218500001	219000000	1.097	1.021	1.004
1:219000001-219500000	1	219000001	219500000	1.023	0.949	0.883
1:219500001-220000000	1	219500001	220000000	1.049	1.045	0.973
1:220000001-220500000	1	220000001	220500000	1.042	0.926	0.922
1:220500001-221000000	1	220500001	221000000	0.973	1.041	1.002
1:221000001-221500000	1	221000001	221500000	1.033	0.977	1.007
1:221500001-222000000	1	221500001	222000000	1.063	0.962	1.074
1:222000001-222500000	1	222000001	222500000	1.098	1.021	1.136
1:222500001-223000000	1	222500001	223000000	1.159	0.992	0.997
1:223000001-223500000	1	223000001	223500000	1.124	1.067	1.107
1:224000001-224500000	1	224000001	224500000	0.929	0.927	0.956
1:224500001-225000000	1	224500001	225000000	1.148	0.981	0.977
1:225000001-225500000	1	225000001	225500000	1.045	1.061	0.909
1:225500001-226000000	1	225500001	226000000	1.065	0.923	1.047
1:226000001-226500000	1	226000001	226500000	0.896	0.979	1.018
1:227000001-227500000	1	227000001	227500000	1.087	0.947	1.063
1:228000001-228500000	1	228000001	228500000	1.01	0.981	0.988
1:228500001-229000000	1	228500001	229000000	1.086	1.185	1.129
1:229500001-230000000	1	229500001	230000000	1.026	1.016	1.05
1:230000001-230500000	1	230000001	230500000	1.081	0.864	0.885
1:230500001-231000000	1	230500001	231000000	0.991	0.935	0.994
1:231000001-231500000	1	231000001	231500000	1.085	1.058	0.987
1:231500001-232000000	1	231500001	232000000	1.025	1.094	1.126
1:232000001-232500000	1	232000001	232500000	1.072	1.056	0.933
1:232500001-233000000	1	232500001	233000000	1.108	1.128	0.966
1:233500001-234000000	1	233500001	234000000	1.15	1.013	0.949
1:234000001-234500000	1	234000001	234500000	1.054	1.045	1.027
1:234500001-235000000	1	234500001	235000000	1.077	1.019	0.905
1:235000001-235500000	1	235000001	235500000	1.046	1.012	0.945
1:236000001-236500000	1	236000001	236500000	1.082	0.92	1.058
1:236500001-237000000	1	236500001	237000000	1.07	1.026	1.028
1:237000001-237500000	1	237000001	237500000	1.084	0.982	1.031
1:238000001-238500000	1	238000001	238500000	1.025	1.065	1.049
1:238500001-239000000	1	238500001	239000000	1.044	0.982	0.949
1:239000001-239500000	1	239000001	239500000	1.082	0.999	1.062
1:239500001-240000000	1	239500001	240000000	1.052	1.025	1.023
1:240000001-240500000	1	240000001	240500000	1.057	0.968	0.978
1:240500001-241000000	1	240500001	241000000	1.072	0.985	1.075
1:241000001-241500000	1	241000001	241500000	1.028	0.981	0.919
1:241500001-242000000	1	241500001	242000000	1.007	1.062	0.91
1:242000001-242500000	1	242000001	242500000	1.034	0.997	0.876
1:243500001-244000000	1	243500001	244000000	1.036	1.024	1.034
1:244000001-244500000	1	244000001	244500000	1.015	1.049	0.967
1:244500001-245000000	1	244500001	245000000	1.008	0.949	0.958
1:245000001-245500000	1	245000001	245500000	1.049	1.078	0.993
1:245500001-246000000	1	245500001	246000000	1.142	0.979	0.936
1:246000001-246500000	1	246000001	246500000	1.043	0.884	1.008
1:246500001-247000000	1	246500001	247000000	0.966	0.948	0.958
1:247000001-247500000	1	247000001	247500000	1.042	0.944	1.001
1:247500001-248000000	1	247500001	248000000	1.004	0.972	1.034
2:1-500000	2	1	500000	1.064	0.959	0.974
2:1500001-2000000	2	1500001	2000000	1.033	1.064	1.03
2:2000001-2500000	2	2000001	2500000	1.018	1.125	1.15
2:2500001-3000000	2	2500001	3000000	1.01	0.949	0.928
2:3000001-3500000	2	3000001	3500000	0.965	0.927	1.032
2:3500001-4000000	2	3500001	4000000	0.868	1.084	1.017
2:4000001-4500000	2	4000001	4500000	0.987	0.904	1.052
2:4500001-5000000	2	4500001	5000000	0.938	0.957	1.022
2:5000001-5500000	2	5000001	5500000	0.925	1.065	0.885
2:5500001-6000000	2	5500001	6000000	1.001	1.008	1.067
2:6000001-6500000	2	6000001	6500000	0.91	0.975	0.922
2:6500001-7000000	2	6500001	7000000	0.921	0.968	0.97
2:7000001-7500000	2	7000001	7500000	1.025	1.001	1.074
2:7500001-8000000	2	7500001	8000000	1.072	1.043	1.039
2:8000001-8500000	2	8000001	8500000	1.019	1.063	0.947
2:8500001-9000000	2	8500001	9000000	0.969	0.877	0.988
2:9000001-9500000	2	9000001	9500000	0.975	0.992	0.986
2:9500001-10000000	2	9500001	10000000	0.923	1.061	0.933
2:10000001-10500000	2	10000001	10500000	0.961	0.954	0.999
2:10500001-11000000	2	10500001	11000000	0.99	0.97	1.04
2:11000001-11500000	2	11000001	11500000	0.992	0.937	0.999
2:11500001-12000000	2	11500001	12000000	0.983	1.019	0.96
2:12000001-12500000	2	12000001	12500000	0.941	1.105	0.913
2:12500001-13000000	2	12500001	13000000	0.979	0.967	0.97
2:13000001-13500000	2	13000001	13500000	0.922	1.028	0.857
2:13500001-14000000	2	13500001	14000000	1.011	0.956	1.095
2:14000001-14500000	2	14000001	14500000	0.937	1.052	0.961
2:14500001-15000000	2	14500001	15000000	1.101	0.943	1.017
2:15000001-15500000	2	15000001	15500000	0.995	1.078	1.014
2:15500001-16000000	2	15500001	16000000	1.014	0.992	0.941
2:16500001-17000000	2	16500001	17000000	1	1.033	1.062
2:17000001-17500000	2	17000001	17500000	1.047	0.955	1.013
2:17500001-18000000	2	17500001	18000000	1.013	0.963	1.023
2:18000001-18500000	2	18000001	18500000	1.014	1.054	1.056
2:18500001-19000000	2	18500001	19000000	1.094	1.072	0.954
2:19000001-19500000	2	19000001	19500000	1.054	0.995	1.09
2:19500001-20000000	2	19500001	20000000	1.012	0.975	1.024
2:20000001-20500000	2	20000001	20500000	0.972	1.036	0.886
2:20500001-21000000	2	20500001	21000000	0.987	1.083	0.871
2:21000001-21500000	2	21000001	21500000	1.038	1.061	1.004
2:21500001-22000000	2	21500001	22000000	0.9	1.037	1.056
2:22500001-23000000	2	22500001	23000000	1.038	1.12	0.978
2:23000001-23500000	2	23000001	23500000	1.059	0.953	0.951
2:23500001-24000000	2	23500001	24000000	0.956	1.042	1.051
2:24000001-24500000	2	24000001	24500000	0.916	0.966	0.955
