feature	chromosome	start	end	SLX-17930.D706tp_D502tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D503tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D504tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D505tp.H77FWBBXY.s_8.r_1
7:42500001-43000000	7	42500001	43000000	1.243	1.131	1.025	1.044
7:43000001-43500000	7	43000001	43500000	1.23	1.069	1.045	1.007
7:43500001-44000000	7	43500001	44000000	1.278	1.082	0.994	1.004
7:44000001-44500000	7	44000001	44500000	1.22	1.143	0.999	1.019
7:44500001-45000000	7	44500001	45000000	1.138	1.113	0.969	0.934
7:45500001-46000000	7	45500001	46000000	1.392	1.279	1.181	1.132
7:46000001-46500000	7	46000001	46500000	1.196	1.034	0.991	0.994
7:46500001-47000000	7	46500001	47000000	1.198	1.095	0.976	0.959
7:47000001-47500000	7	47000001	47500000	1.227	0.996	0.972	0.944
7:47500001-48000000	7	47500001	48000000	1.206	1.109	1.053	0.999
7:48000001-48500000	7	48000001	48500000	1.203	1.044	0.911	0.941
7:48500001-49000000	7	48500001	49000000	1.222	1.082	0.979	1
7:49000001-49500000	7	49000001	49500000	1.223	1.117	1.008	1.04
7:49500001-50000000	7	49500001	50000000	1.236	1.098	1.052	0.997
7:50000001-50500000	7	50000001	50500000	1.208	1.034	0.983	1.026
7:50500001-51000000	7	50500001	51000000	1.19	1.108	0.987	0.971
7:51000001-51500000	7	51000001	51500000	1.301	1.126	1.164	1.095
7:51500001-52000000	7	51500001	52000000	1.301	1.151	1.012	0.968
7:52000001-52500000	7	52000001	52500000	1.207	0.998	0.959	1.003
7:52500001-53000000	7	52500001	53000000	1.156	0.983	0.982	1.031
7:53000001-53500000	7	53000001	53500000	1.247	1.098	1.009	0.982
7:53500001-54000000	7	53500001	54000000	1.193	1.044	0.935	0.982
7:54000001-54500000	7	54000001	54500000	1.134	1.075	0.969	1.051
7:54500001-55000000	7	54500001	55000000	1.236	1.025	0.974	1.061
7:69500001-70000000	7	69500001	70000000	1.161	1.082	1.05	0.986
7:70000001-70500000	7	70000001	70500000	1.216	1.08	1.058	1.044
7:70500001-71000000	7	70500001	71000000	1.162	1.027	1.005	0.955
7:71000001-71500000	7	71000001	71500000	1.182	1.093	0.971	0.909
7:71500001-72000000	7	71500001	72000000	1.201	0.999	0.995	0.894
7:73500001-74000000	7	73500001	74000000	1.221	1.114	0.973	1.108
7:74000001-74500000	7	74000001	74500000	1.243	1.109	0.989	1.086
7:77500001-78000000	7	77500001	78000000	1.099	0.998	0.847	0.895
7:78000001-78500000	7	78000001	78500000	1.204	1.075	1.011	0.98
7:78500001-79000000	7	78500001	79000000	1.168	1.143	1.061	0.994
7:79000001-79500000	7	79000001	79500000	1.208	1.104	0.986	1.014
7:79500001-80000000	7	79500001	80000000	1.217	1.182	1.088	0.988
7:80000001-80500000	7	80000001	80500000	1.193	1.146	0.963	0.98
7:80500001-81000000	7	80500001	81000000	1.185	1.051	0.98	1.031
7:81000001-81500000	7	81000001	81500000	1.195	1.088	1.038	0.989
7:81500001-82000000	7	81500001	82000000	1.195	1.151	1.034	1.041
7:82000001-82500000	7	82000001	82500000	1.204	1.083	1.002	1.083
7:82500001-83000000	7	82500001	83000000	1.186	1.18	1.035	1.021
7:84000001-84500000	7	84000001	84500000	1.246	1.144	1.015	0.952
7:84500001-85000000	7	84500001	85000000	1.275	1.076	1.021	0.939
7:85000001-85500000	7	85000001	85500000	1.246	1.142	0.995	1.038
7:85500001-86000000	7	85500001	86000000	1.223	1.058	1.02	1.012
7:86000001-86500000	7	86000001	86500000	1.233	1.088	1.012	1.077
7:86500001-87000000	7	86500001	87000000	1.283	1.059	0.975	0.993
7:87000001-87500000	7	87000001	87500000	1.206	1.145	0.97	0.99
7:87500001-88000000	7	87500001	88000000	1.176	1.115	1.04	0.996
7:88000001-88500000	7	88000001	88500000	1.192	1.125	0.979	0.993
7:88500001-89000000	7	88500001	89000000	1.246	1.101	0.979	1.011
7:89000001-89500000	7	89000001	89500000	1.205	1.091	1.033	0.959
7:89500001-90000000	7	89500001	90000000	1.25	1.128	1.044	1.02
7:90000001-90500000	7	90000001	90500000	1.203	1.027	0.982	0.947
7:90500001-91000000	7	90500001	91000000	1.249	1.162	0.958	1.051
7:91000001-91500000	7	91000001	91500000	1.236	1.156	1.072	0.974
7:91500001-92000000	7	91500001	92000000	1.323	1.087	1.092	1.001
7:92000001-92500000	7	92000001	92500000	1.202	1.058	0.973	1.112
7:92500001-93000000	7	92500001	93000000	1.2	1.08	0.957	0.923
7:93000001-93500000	7	93000001	93500000	1.292	1.126	1.055	1.037
7:93500001-94000000	7	93500001	94000000	1.203	1.126	1.006	1.081
7:94000001-94500000	7	94000001	94500000	1.27	1.163	1.029	1.072
7:94500001-95000000	7	94500001	95000000	1.24	1.127	1.051	1.061
7:95000001-95500000	7	95000001	95500000	1.153	1.2	0.998	1.071
7:96000001-96500000	7	96000001	96500000	1.245	1.114	0.978	1.071
7:96500001-97000000	7	96500001	97000000	1.247	1.129	1.032	1.042
7:97000001-97500000	7	97000001	97500000	1.293	1.102	1.08	1.129
7:98000001-98500000	7	98000001	98500000	1.241	1.058	0.969	0.957
7:98500001-99000000	7	98500001	99000000	1.266	1.149	0.982	0.951
7:99000001-99500000	7	99000001	99500000	1.119	1.086	0.95	1.09
7:99500001-100000000	7	99500001	100000000	1.289	1.131	1.05	1.041
7:100500001-101000000	7	100500001	101000000	1.26	1.088	1.028	0.985
7:101000001-101500000	7	101000001	101500000	1.187	1.106	1.014	0.979
7:101500001-102000000	7	101500001	102000000	1.215	1.13	0.965	1.004
7:103500001-104000000	7	103500001	104000000	1.242	1.118	1.084	1.028
7:104000001-104500000	7	104000001	104500000	1.242	1.128	1.007	0.988
7:105000001-105500000	7	105000001	105500000	1.07	0.973	0.91	0.98
7:105500001-106000000	7	105500001	106000000	1.287	1.051	0.987	0.979
7:106000001-106500000	7	106000001	106500000	1.206	1.121	1.001	0.978
7:106500001-107000000	7	106500001	107000000	1.2	1.052	1.047	0.983
7:107000001-107500000	7	107000001	107500000	1.144	1.026	0.954	0.985
7:107500001-108000000	7	107500001	108000000	1.198	1.112	0.988	1.031
7:108000001-108500000	7	108000001	108500000	1.253	1.101	1.015	0.995
7:108500001-109000000	7	108500001	109000000	1.107	0.92	1.007	0.981
7:109000001-109500000	7	109000001	109500000	1.255	1.073	0.998	1.002
7:109500001-110000000	7	109500001	110000000	1.087	1.04	0.979	1.029
7:110000001-110500000	7	110000001	110500000	1.167	1.077	0.989	1.037
7:110500001-111000000	7	110500001	111000000	1.273	1.123	1.014	0.953
7:111000001-111500000	7	111000001	111500000	1.189	1.152	0.971	0.985
7:111500001-112000000	7	111500001	112000000	1.244	1.084	1.027	1.004
7:112500001-113000000	7	112500001	113000000	1.228	1.127	0.952	0.991
7:113000001-113500000	7	113000001	113500000	1.202	1.076	0.995	0.987
7:113500001-114000000	7	113500001	114000000	1.226	1.095	1.047	0.983
7:114000001-114500000	7	114000001	114500000	1.209	1.065	0.972	1.014
7:114500001-115000000	7	114500001	115000000	1.245	1.079	1.014	1.119
7:115000001-115500000	7	115000001	115500000	1.162	1.159	1.055	1.072
7:115500001-116000000	7	115500001	116000000	1.287	1.104	0.992	1.034
7:116000001-116500000	7	116000001	116500000	1.182	1.122	0.995	0.977
7:116500001-117000000	7	116500001	117000000	1.206	1.084	0.974	1.015
7:117500001-118000000	7	117500001	118000000	1.207	1.113	0.981	1.051
7:118000001-118500000	7	118000001	118500000	1.162	1.06	0.998	1.007
7:118500001-119000000	7	118500001	119000000	1.22	1.094	0.976	1.022
7:119000001-119500000	7	119000001	119500000	1.25	1.049	0.942	0.967
7:119500001-120000000	7	119500001	120000000	1.238	1.091	1.028	0.966
7:120000001-120500000	7	120000001	120500000	1.221	1.132	0.993	0.954
7:120500001-121000000	7	120500001	121000000	1.231	1.164	1.084	1.03
7:121000001-121500000	7	121000001	121500000	1.169	1.082	0.99	1.012
7:121500001-122000000	7	121500001	122000000	1.232	1.119	1.066	1.055
7:122000001-122500000	7	122000001	122500000	1.179	1.075	1.009	0.999
7:122500001-123000000	7	122500001	123000000	1.191	1.13	1.01	1.052
7:123000001-123500000	7	123000001	123500000	1.2	1.109	1.017	0.969
7:123500001-124000000	7	123500001	124000000	1.161	1.038	0.955	0.973
7:124000001-124500000	7	124000001	124500000	1.193	1.095	0.979	0.922
7:124500001-125000000	7	124500001	125000000	1.213	1.065	1.039	0.954
7:125000001-125500000	7	125000001	125500000	1.246	1.113	0.941	0.951
7:125500001-126000000	7	125500001	126000000	1.212	1.078	1.004	1.052
7:126000001-126500000	7	126000001	126500000	1.223	1.027	0.975	0.958
7:126500001-127000000	7	126500001	127000000	1.265	1.048	1.016	1.007
7:127000001-127500000	7	127000001	127500000	1.191	1.083	0.992	1.023
7:127500001-128000000	7	127500001	128000000	1.204	1.034	0.991	1.05
7:128000001-128500000	7	128000001	128500000	1.158	1.113	1.011	0.965
7:129000001-129500000	7	129000001	129500000	1.251	1.016	1.047	0.935
7:129500001-130000000	7	129500001	130000000	1.161	1.002	0.952	1.024
7:130500001-131000000	7	130500001	131000000	1.216	1.108	1.027	1.013
7:131000001-131500000	7	131000001	131500000	1.071	0.976	0.933	1.05
7:131500001-132000000	7	131500001	132000000	1.218	1.132	1.011	1.008
7:132000001-132500000	7	132000001	132500000	1.219	1.126	1.003	1.056
7:132500001-133000000	7	132500001	133000000	1.263	1.102	0.954	1.01
7:133000001-133500000	7	133000001	133500000	1.201	1.125	1.038	1.098
7:133500001-134000000	7	133500001	134000000	1.213	1.116	1.036	1.033
7:134000001-134500000	7	134000001	134500000	1.256	1.12	0.979	1.028
7:134500001-135000000	7	134500001	135000000	1.217	1.044	0.933	0.946
7:135000001-135500000	7	135000001	135500000	1.137	0.975	0.942	0.997
7:135500001-136000000	7	135500001	136000000	1.17	1.073	0.892	0.969
7:136000001-136500000	7	136000001	136500000	1.236	1.042	1.01	1.024
7:136500001-137000000	7	136500001	137000000	1.176	1.046	1.005	1.046
7:137000001-137500000	7	137000001	137500000	1.187	1.115	1.024	1.002
7:137500001-138000000	7	137500001	138000000	1.224	1.054	1.055	0.987
7:138000001-138500000	7	138000001	138500000	1.088	0.952	0.977	0.922
7:138500001-139000000	7	138500001	139000000	1.172	1.053	1.007	1.053
7:139000001-139500000	7	139000001	139500000	1.193	1.022	0.892	1.011
7:139500001-140000000	7	139500001	140000000	1.181	1.106	0.953	0.951
7:140000001-140500000	7	140000001	140500000	1.208	1.021	0.988	0.967
7:140500001-141000000	7	140500001	141000000	1.19	1.103	1.041	1.042
7:142000001-142500000	7	142000001	142500000	1.164	1.02	0.983	1.018
7:144500001-145000000	7	144500001	145000000	1.22	1.103	0.952	1.021
7:145000001-145500000	7	145000001	145500000	1.226	1.069	0.929	0.989
7:146000001-146500000	7	146000001	146500000	1.268	1.09	1.01	1.112
7:146500001-147000000	7	146500001	147000000	1.213	1.1	1.006	1.018
7:147000001-147500000	7	147000001	147500000	1.191	1.038	0.98	1.018
7:147500001-148000000	7	147500001	148000000	1.176	1.069	0.968	1.007
7:148000001-148500000	7	148000001	148500000	1.164	1.097	1.006	1.058
7:148500001-149000000	7	148500001	149000000	1.109	1.012	1.001	0.946
7:149000001-149500000	7	149000001	149500000	1.218	1.053	0.988	1.025
7:150500001-151000000	7	150500001	151000000	1.341	1.138	1.111	1.045
7:151000001-151500000	7	151000001	151500000	1.106	0.969	0.976	0.966
7:151500001-152000000	7	151500001	152000000	1.13	1.034	1.004	0.965
7:153000001-153500000	7	153000001	153500000	1.28	1.109	0.979	1.05
7:154500001-155000000	7	154500001	155000000	1.188	1.1	0.996	0.97
7:155000001-155500000	7	155000001	155500000	1.184	1.089	0.978	1.008
7:155500001-156000000	7	155500001	156000000	1.182	1.026	0.961	0.994
7:156000001-156500000	7	156000001	156500000	1.269	1.074	0.994	1.058
7:156500001-157000000	7	156500001	157000000	1.225	1.07	0.995	1.058
7:157000001-157500000	7	157000001	157500000	1.137	1.04	0.905	0.977
7:157500001-158000000	7	157500001	158000000	1.177	1.118	1.031	1.007
7:158000001-158500000	7	158000001	158500000	1.259	1.087	1.012	1.02
7:158500001-159000000	7	158500001	159000000	1.172	1.031	0.949	0.951
8:1000001-1500000	8	1000001	1500000	0.635	0.84	1.036	1.09
8:1500001-2000000	8	1500001	2000000	0.611	0.773	0.964	0.983
8:2500001-3000000	8	2500001	3000000	0.59	0.718	0.99	0.92
8:3000001-3500000	8	3000001	3500000	0.574	0.819	0.966	0.965
8:3500001-4000000	8	3500001	4000000	0.544	0.702	1.017	0.973
8:4000001-4500000	8	4000001	4500000	0.547	0.681	0.934	0.874
8:4500001-5000000	8	4500001	5000000	0.557	0.713	0.959	0.959
8:5000001-5500000	8	5000001	5500000	0.569	0.696	0.982	0.961
8:5500001-6000000	8	5500001	6000000	0.564	0.732	0.976	0.919
8:6000001-6500000	8	6000001	6500000	0.575	0.722	0.985	0.976
8:6500001-7000000	8	6500001	7000000	0.588	0.692	0.972	0.968
8:8500001-9000000	8	8500001	9000000	0.558	0.745	0.918	1.003
8:9000001-9500000	8	9000001	9500000	0.589	0.751	1.073	0.907
8:9500001-10000000	8	9500001	10000000	0.617	0.756	1.059	1.045
8:10000001-10500000	8	10000001	10500000	0.578	0.719	0.945	0.93
8:10500001-11000000	8	10500001	11000000	0.616	0.738	1.029	1.009
8:11000001-11500000	8	11000001	11500000	0.589	0.742	0.957	0.965
8:11500001-12000000	8	11500001	12000000	0.583	0.746	1.042	0.988
8:13500001-14000000	8	13500001	14000000	0.605	0.731	0.974	0.972
8:14000001-14500000	8	14000001	14500000	0.532	0.724	0.963	0.955
8:14500001-15000000	8	14500001	15000000	0.559	0.758	0.986	0.939
8:15000001-15500000	8	15000001	15500000	0.557	0.752	1	0.822
8:15500001-16000000	8	15500001	16000000	0.582	0.681	0.958	0.886
8:16500001-17000000	8	16500001	17000000	0.597	0.792	0.992	0.964
8:17000001-17500000	8	17000001	17500000	0.533	0.683	0.973	0.894
8:17500001-18000000	8	17500001	18000000	0.521	0.698	0.957	0.948
8:18000001-18500000	8	18000001	18500000	0.524	0.678	0.962	0.863
8:19000001-19500000	8	19000001	19500000	0.576	0.693	0.964	0.953
8:19500001-20000000	8	19500001	20000000	0.602	0.734	0.977	0.919
8:20000001-20500000	8	20000001	20500000	0.593	0.744	1.03	0.977
8:21000001-21500000	8	21000001	21500000	0.597	0.766	1.07	1.01
8:21500001-22000000	8	21500001	22000000	0.606	0.806	1.036	0.941
8:22000001-22500000	8	22000001	22500000	0.576	0.718	0.989	0.964
8:22500001-23000000	8	22500001	23000000	0.542	0.751	0.98	0.918
8:23000001-23500000	8	23000001	23500000	0.633	0.724	0.95	0.969
8:23500001-24000000	8	23500001	24000000	0.61	0.773	0.989	0.975
8:24000001-24500000	8	24000001	24500000	0.621	0.791	1.014	1.019
8:24500001-25000000	8	24500001	25000000	0.592	0.775	1.09	0.985
8:25000001-25500000	8	25000001	25500000	0.561	0.741	0.916	0.878
8:25500001-26000000	8	25500001	26000000	0.583	0.797	1.108	1.054
8:26000001-26500000	8	26000001	26500000	0.594	0.723	0.926	0.921
8:26500001-27000000	8	26500001	27000000	0.587	0.744	0.964	0.911
8:27000001-27500000	8	27000001	27500000	0.556	0.749	0.952	0.867
8:27500001-28000000	8	27500001	28000000	0.598	0.754	1.013	0.965
8:28000001-28500000	8	28000001	28500000	0.596	0.71	1.025	0.979
8:28500001-29000000	8	28500001	29000000	0.541	0.757	1.018	0.975
8:29000001-29500000	8	29000001	29500000	0.568	0.77	1.039	0.98
8:29500001-30000000	8	29500001	30000000	0.595	0.75	1.018	1.004
8:30000001-30500000	8	30000001	30500000	0.559	0.776	0.972	0.935
8:30500001-31000000	8	30500001	31000000	0.523	0.73	0.962	0.928
8:31000001-31500000	8	31000001	31500000	0.587	0.77	1.012	0.952
8:31500001-32000000	8	31500001	32000000	0.613	0.814	0.985	0.964
8:32000001-32500000	8	32000001	32500000	0.601	0.716	0.983	0.906
8:33500001-34000000	8	33500001	34000000	0.625	0.743	1.015	0.979
8:34000001-34500000	8	34000001	34500000	0.586	0.765	0.984	0.942
8:34500001-35000000	8	34500001	35000000	0.58	0.791	1.036	1.026
8:35000001-35500000	8	35000001	35500000	0.575	0.769	0.993	0.891
8:35500001-36000000	8	35500001	36000000	0.585	0.776	0.994	0.97
8:36500001-37000000	8	36500001	37000000	0.619	0.775	0.963	0.972
8:37000001-37500000	8	37000001	37500000	1.333	1.203	1.01	1.022
8:37500001-38000000	8	37500001	38000000	4.442	2.85	1.051	1.204
8:38000001-38500000	8	38000001	38500000	5.367	3.464	0.933	1.328
8:38500001-39000000	8	38500001	39000000	6.403	3.934	0.995	1.373
8:39000001-39500000	8	39000001	39500000	5.518	3.258	0.928	1.027
8:39500001-40000000	8	39500001	40000000	4.937	3.086	1.021	1.242
8:40500001-41000000	8	40500001	41000000	2.797	1.899	1.029	1.111
8:41000001-41500000	8	41000001	41500000	2.955	2.132	1.076	1.061
8:41500001-42000000	8	41500001	42000000	2.841	1.921	0.957	1.185
8:42000001-42500000	8	42000001	42500000	2.701	1.755	0.949	1.103
8:42500001-43000000	8	42500001	43000000	1.788	1.446	0.999	1.1
8:47000001-47500000	8	47000001	47500000	1.214	1.049	1.034	1.05
8:47500001-48000000	8	47500001	48000000	1.16	0.993	1.023	0.95
8:48000001-48500000	8	48000001	48500000	1.377	1.236	1.157	1.096
8:48500001-49000000	8	48500001	49000000	1.312	1.119	1.059	1.06
8:49000001-49500000	8	49000001	49500000	1.267	1.15	0.983	1.036
8:49500001-50000000	8	49500001	50000000	1.194	0.987	0.984	0.929
8:50000001-50500000	8	50000001	50500000	1.195	1.06	1.024	0.965
8:51000001-51500000	8	51000001	51500000	1.248	1.09	1.073	0.974
8:51500001-52000000	8	51500001	52000000	1.213	1.014	0.983	0.965
8:52000001-52500000	8	52000001	52500000	1.2	1.086	0.988	1.026
8:52500001-53000000	8	52500001	53000000	1.168	1.028	0.994	0.932
8:53000001-53500000	8	53000001	53500000	1.299	1.093	1.04	0.981
8:53500001-54000000	8	53500001	54000000	1.191	1.111	0.99	0.996
8:54000001-54500000	8	54000001	54500000	1.28	1.076	0.968	1.053
8:54500001-55000000	8	54500001	55000000	1.254	1.101	1.061	1.053
8:55000001-55500000	8	55000001	55500000	1.23	1.086	1.054	0.997
8:55500001-56000000	8	55500001	56000000	1.195	1.043	0.993	0.968
8:56000001-56500000	8	56000001	56500000	1.288	1.045	0.987	1.075
8:57000001-57500000	8	57000001	57500000	1.194	1.036	1.05	1.081
8:57500001-58000000	8	57500001	58000000	1.198	1.099	1.016	0.938
8:58000001-58500000	8	58000001	58500000	1.201	1.089	0.981	1.03
8:58500001-59000000	8	58500001	59000000	1.207	1.089	0.946	1.072
8:59000001-59500000	8	59000001	59500000	1.188	1.076	1.032	1.027
8:59500001-60000000	8	59500001	60000000	1.272	1.125	1.079	1.106
8:60000001-60500000	8	60000001	60500000	1.248	1.129	1.096	1.033
8:60500001-61000000	8	60500001	61000000	1.131	1.047	0.975	0.979
8:61500001-62000000	8	61500001	62000000	1.247	1.14	0.983	0.99
8:62000001-62500000	8	62000001	62500000	1.214	1.087	1.061	1.019
8:62500001-63000000	8	62500001	63000000	1.264	1.073	1.054	1.01
8:63000001-63500000	8	63000001	63500000	1.221	1.06	0.971	1.049
8:63500001-64000000	8	63500001	64000000	1.222	1.137	1.02	1.063
8:64000001-64500000	8	64000001	64500000	1.3	1.164	1.021	1.07
8:64500001-65000000	8	64500001	65000000	1.316	1.132	1.019	1.074
8:65000001-65500000	8	65000001	65500000	1.25	1.115	1.002	1.084
8:65500001-66000000	8	65500001	66000000	1.154	1.112	0.941	1.021
8:66000001-66500000	8	66000001	66500000	1.249	1.1	1.019	0.998
8:66500001-67000000	8	66500001	67000000	1.108	1.036	0.962	0.958
8:67000001-67500000	8	67000001	67500000	1.163	1.021	1.011	1.058
8:68000001-68500000	8	68000001	68500000	1.263	1.085	1.017	1.123
8:68500001-69000000	8	68500001	69000000	1.234	1.027	1.032	1.022
8:69500001-70000000	8	69500001	70000000	1.27	1.11	1.014	1.058
8:70000001-70500000	8	70000001	70500000	1.19	0.99	0.945	0.961
8:70500001-71000000	8	70500001	71000000	1.24	1.137	0.957	1.016
8:71000001-71500000	8	71000001	71500000	1.234	1.123	1.027	0.978
8:71500001-72000000	8	71500001	72000000	1.305	1.157	1.051	1.094
8:72000001-72500000	8	72000001	72500000	1.168	1.06	0.98	1.023
8:73000001-73500000	8	73000001	73500000	1.212	1.076	1.054	1.046
8:73500001-74000000	8	73500001	74000000	1.107	1.009	0.943	0.955
8:74000001-74500000	8	74000001	74500000	1.268	1.145	1.004	1.023
8:75000001-75500000	8	75000001	75500000	1.27	1.057	1.013	0.971
8:75500001-76000000	8	75500001	76000000	1.145	1.053	0.953	0.957
8:77000001-77500000	8	77000001	77500000	1.91	1.488	0.951	0.998
8:77500001-78000000	8	77500001	78000000	1.859	1.379	1.045	1.015
8:78000001-78500000	8	78000001	78500000	1.911	1.457	0.943	1.072
8:78500001-79000000	8	78500001	79000000	1.849	1.427	1.013	1.007
8:79000001-79500000	8	79000001	79500000	2.028	1.441	1.031	1.099
8:79500001-80000000	8	79500001	80000000	1.827	1.359	1.079	1.003
8:80000001-80500000	8	80000001	80500000	1.694	1.348	0.976	1.036
8:80500001-81000000	8	80500001	81000000	1.858	1.459	1.025	1.049
8:81000001-81500000	8	81000001	81500000	1.913	1.449	1.04	1.038
8:81500001-82000000	8	81500001	82000000	1.833	1.386	0.988	1.112
8:82000001-82500000	8	82000001	82500000	1.881	1.379	1.062	1.057
8:82500001-83000000	8	82500001	83000000	1.826	1.329	0.982	1.018
8:83000001-83500000	8	83000001	83500000	1.946	1.37	0.977	1.049
8:83500001-84000000	8	83500001	84000000	1.868	1.419	1.005	1.046
8:84000001-84500000	8	84000001	84500000	1.845	1.375	1.023	1.099
8:84500001-85000000	8	84500001	85000000	1.919	1.506	1.029	1.049
8:85000001-85500000	8	85000001	85500000	1.81	1.378	0.983	1.058
8:86000001-86500000	8	86000001	86500000	1.758	1.313	0.968	1.043
8:86500001-87000000	8	86500001	87000000	1.839	1.448	0.966	0.994
8:87000001-87500000	8	87000001	87500000	1.912	1.483	1.026	1.051
8:87500001-88000000	8	87500001	88000000	1.858	1.413	1.009	0.996
8:88000001-88500000	8	88000001	88500000	1.845	1.459	1.018	1.066
8:88500001-89000000	8	88500001	89000000	1.977	1.509	1.041	1.095
8:89000001-89500000	8	89000001	89500000	1.861	1.423	0.997	1.013
8:89500001-90000000	8	89500001	90000000	1.818	1.368	0.995	0.975
8:90000001-90500000	8	90000001	90500000	1.931	1.477	1.03	1.112
8:90500001-91000000	8	90500001	91000000	1.766	1.358	1.036	1.053
8:91000001-91500000	8	91000001	91500000	1.947	1.489	1.076	1.103
8:91500001-92000000	8	91500001	92000000	1.93	1.463	1.067	1.126
8:92000001-92500000	8	92000001	92500000	1.993	1.464	1.056	1.012
8:92500001-93000000	8	92500001	93000000	1.91	1.449	1.043	0.984
8:93000001-93500000	8	93000001	93500000	1.984	1.455	1.086	0.993
8:93500001-94000000	8	93500001	94000000	1.885	1.384	1.023	1.037
8:94000001-94500000	8	94000001	94500000	1.833	1.39	1.014	1.063
8:94500001-95000000	8	94500001	95000000	1.712	1.359	0.905	1.005
8:95000001-95500000	8	95000001	95500000	1.852	1.396	0.986	1.03
8:95500001-96000000	8	95500001	96000000	1.944	1.5	1.033	1.044
8:96000001-96500000	8	96000001	96500000	1.903	1.412	1.031	1.143
8:96500001-97000000	8	96500001	97000000	1.825	1.432	1.024	0.989
8:97000001-97500000	8	97000001	97500000	1.882	1.468	1.122	1.118
8:98000001-98500000	8	98000001	98500000	1.85	1.359	0.966	1.014
8:98500001-99000000	8	98500001	99000000	1.91	1.473	1.018	1.138
8:99500001-100000000	8	99500001	100000000	1.806	1.458	1.087	1.168
8:100000001-100500000	8	100000001	100500000	1.807	1.403	1.02	1.097
8:100500001-101000000	8	100500001	101000000	1.754	1.321	0.982	1.008
8:101000001-101500000	8	101000001	101500000	1.833	1.384	1.025	1.076
8:101500001-102000000	8	101500001	102000000	1.855	1.499	1.017	1.058
8:102000001-102500000	8	102000001	102500000	1.855	1.401	0.967	1.01
8:103500001-104000000	8	103500001	104000000	1.803	1.456	1.021	1.054
8:104000001-104500000	8	104000001	104500000	1.875	1.444	1.004	1.132
8:104500001-105000000	8	104500001	105000000	1.888	1.483	0.997	1.127
8:105000001-105500000	8	105000001	105500000	1.932	1.509	1.001	1.107
8:105500001-106000000	8	105500001	106000000	1.934	1.546	1.044	1.048
8:106000001-106500000	8	106000001	106500000	1.938	1.504	1.016	1.1
8:106500001-107000000	8	106500001	107000000	1.894	1.333	0.959	1.05
8:107000001-107500000	8	107000001	107500000	1.952	1.427	0.983	1.09
8:107500001-108000000	8	107500001	108000000	1.945	1.362	1.018	1.066
8:108000001-108500000	8	108000001	108500000	1.874	1.447	0.987	1.072
8:109000001-109500000	8	109000001	109500000	1.901	1.415	1.06	1.027
8:109500001-110000000	8	109500001	110000000	1.894	1.431	1.021	1.055
8:110000001-110500000	8	110000001	110500000	1.821	1.433	0.979	1.025
8:111500001-112000000	8	111500001	112000000	1.893	1.378	0.985	1.002
8:112000001-112500000	8	112000001	112500000	1.903	1.454	1.026	1.004
8:112500001-113000000	8	112500001	113000000	1.92	1.475	0.991	1.04
8:113000001-113500000	8	113000001	113500000	1.91	1.498	0.994	1.067
8:113500001-114000000	8	113500001	114000000	1.986	1.408	0.967	1.104
8:114000001-114500000	8	114000001	114500000	1.962	1.481	0.991	1.058
8:114500001-115000000	8	114500001	115000000	1.892	1.52	1.04	1.126
8:115000001-115500000	8	115000001	115500000	1.9	1.473	1.02	1.103
8:115500001-116000000	8	115500001	116000000	1.864	1.526	1.059	1.12
8:116000001-116500000	8	116000001	116500000	1.886	1.54	1.031	1.038
8:116500001-117000000	8	116500001	117000000	1.867	1.415	0.993	1.006
8:117000001-117500000	8	117000001	117500000	1.913	1.476	1.001	1.1
8:117500001-118000000	8	117500001	118000000	1.906	1.469	1.029	1.098
8:118000001-118500000	8	118000001	118500000	1.859	1.48	0.984	0.984
8:118500001-119000000	8	118500001	119000000	1.927	1.535	1.026	1.096
8:119000001-119500000	8	119000001	119500000	2.017	1.557	1.078	1.165
8:119500001-120000000	8	119500001	120000000	1.891	1.512	0.989	1.041
8:120500001-121000000	8	120500001	121000000	1.951	1.591	0.938	1.102
8:121000001-121500000	8	121000001	121500000	1.906	1.568	1.021	1.1
8:121500001-122000000	8	121500001	122000000	1.883	1.564	1.065	1.072
8:122000001-122500000	8	122000001	122500000	1.926	1.568	1.051	1.124
8:122500001-123000000	8	122500001	123000000	1.867	1.485	1.023	1.111
8:123000001-123500000	8	123000001	123500000	1.744	1.28	0.94	0.948
8:123500001-124000000	8	123500001	124000000	1.884	1.425	0.986	1.033
8:124000001-124500000	8	124000001	124500000	1.787	1.336	0.958	1.087
8:124500001-125000000	8	124500001	125000000	1.868	1.419	0.929	1.023
8:125000001-125500000	8	125000001	125500000	1.777	1.285	0.904	1.023
8:125500001-126000000	8	125500001	126000000	1.944	1.459	1.031	1.066
8:126000001-126500000	8	126000001	126500000	1.868	1.403	1.022	1.091
8:126500001-127000000	8	126500001	127000000	1.901	1.474	1.028	1.066
8:128000001-128500000	8	128000001	128500000	1.826	1.461	0.955	1.139
8:128500001-129000000	8	128500001	129000000	2.1	1.606	1.084	1.173
8:129000001-129500000	8	129000001	129500000	1.859	1.409	1.054	1.107
8:129500001-130000000	8	129500001	130000000	1.937	1.445	0.946	1.072
