feature	chromosome	start	end	SLX-17922.D702tp_D505tp.HC22GBBXY.s_6.r_1	SLX-17922.D702tp_D507tp.HC22GBBXY.s_6.r_1	SLX-17922.D702tp_D508tp.HC22GBBXY.s_6.r_1	SLX-17922.D703tp_D506tp.HC22GBBXY.s_6.r_1
6:158500001-159000000	6	158500001	159000000	0.988	1.032	1.08	1.001
6:159000001-159500000	6	159000001	159500000	1.041	0.992	1.115	0.99
6:159500001-160000000	6	159500001	160000000	0.964	1.061	0.956	0.953
6:160000001-160500000	6	160000001	160500000	1.091	1.028	1.004	0.988
6:160500001-161000000	6	160500001	161000000	0.878	0.88	1.024	0.969
6:161000001-161500000	6	161000001	161500000	0.975	1.056	0.928	1.043
6:161500001-162000000	6	161500001	162000000	0.962	1.098	0.992	1.001
6:162000001-162500000	6	162000001	162500000	1	0.989	0.96	0.981
6:162500001-163000000	6	162500001	163000000	0.99	0.98	1.1	1.012
6:163000001-163500000	6	163000001	163500000	0.898	0.987	0.977	0.991
6:164000001-164500000	6	164000001	164500000	0.998	0.981	0.993	1.072
6:164500001-165000000	6	164500001	165000000	0.867	0.799	1.017	0.925
6:165000001-165500000	6	165000001	165500000	0.921	1.007	0.913	0.871
6:165500001-166000000	6	165500001	166000000	0.95	1.009	0.986	0.968
6:166000001-166500000	6	166000001	166500000	0.998	0.966	1.008	0.911
6:166500001-167000000	6	166500001	167000000	1.052	0.945	0.982	0.91
6:167000001-167500000	6	167000001	167500000	0.972	0.896	0.94	0.918
6:167500001-168000000	6	167500001	168000000	0.872	0.928	1.039	0.965
6:168000001-168500000	6	168000001	168500000	0.984	0.977	0.883	1.046
6:168500001-169000000	6	168500001	169000000	0.963	1.011	0.868	1.036
6:169000001-169500000	6	169000001	169500000	0.974	0.981	1.048	0.925
6:169500001-170000000	6	169500001	170000000	1	1.023	0.848	1.014
6:170000001-170500000	6	170000001	170500000	1.045	1.055	1.043	1.028
7:1-500000	7	1	500000	1.116	1.108	1.033	1.095
7:500001-1000000	7	500001	1000000	0.943	0.992	0.943	0.928
7:1000001-1500000	7	1000001	1500000	0.994	1.016	1.008	1.061
7:1500001-2000000	7	1500001	2000000	1.051	1.044	1.024	1.059
7:2000001-2500000	7	2000001	2500000	1.021	1.076	0.971	1.004
7:2500001-3000000	7	2500001	3000000	0.945	0.969	0.948	0.885
7:3000001-3500000	7	3000001	3500000	0.988	1.071	1.033	1.047
7:3500001-4000000	7	3500001	4000000	1.02	1.028	1.007	0.994
7:4000001-4500000	7	4000001	4500000	1.088	1.099	0.923	0.922
7:4500001-5000000	7	4500001	5000000	1.035	0.954	1.034	0.973
7:6000001-6500000	7	6000001	6500000	0.953	0.964	0.903	0.892
7:7000001-7500000	7	7000001	7500000	1.064	0.983	1.031	0.993
7:7500001-8000000	7	7500001	8000000	1.053	0.995	1.014	0.957
7:8000001-8500000	7	8000001	8500000	0.976	1.045	0.892	0.937
7:8500001-9000000	7	8500001	9000000	0.978	1.007	1.077	1.071
7:9000001-9500000	7	9000001	9500000	0.934	0.962	0.952	1.006
7:9500001-10000000	7	9500001	10000000	0.962	0.925	0.924	0.94
7:10000001-10500000	7	10000001	10500000	1.029	0.897	0.924	1.053
7:10500001-11000000	7	10500001	11000000	1.065	1.014	0.888	1.001
7:11000001-11500000	7	11000001	11500000	1.047	1.028	0.957	0.916
7:11500001-12000000	7	11500001	12000000	0.916	1.106	1.01	0.969
7:12000001-12500000	7	12000001	12500000	0.964	0.997	1.019	1.131
7:12500001-13000000	7	12500001	13000000	1.028	0.889	0.908	0.995
7:13000001-13500000	7	13000001	13500000	1.051	1.109	1.042	0.982
7:13500001-14000000	7	13500001	14000000	1.014	1.014	1.048	0.93
7:14000001-14500000	7	14000001	14500000	0.978	0.949	0.991	1.092
7:14500001-15000000	7	14500001	15000000	0.971	0.933	0.963	0.89
7:15000001-15500000	7	15000001	15500000	1.033	1.158	1.042	1.028
7:15500001-16000000	7	15500001	16000000	1.005	0.988	1.041	1.068
7:16000001-16500000	7	16000001	16500000	1.077	1.045	0.955	1.028
7:16500001-17000000	7	16500001	17000000	0.934	0.98	0.951	0.956
7:17000001-17500000	7	17000001	17500000	1.049	1.093	1.024	1.007
7:17500001-18000000	7	17500001	18000000	1.039	0.966	0.929	1.026
7:18500001-19000000	7	18500001	19000000	0.916	0.953	1.017	1.052
7:19000001-19500000	7	19000001	19500000	1.065	1.1	0.966	0.991
7:19500001-20000000	7	19500001	20000000	1.071	0.942	1.095	1.054
7:20000001-20500000	7	20000001	20500000	0.966	1.069	0.998	0.969
7:20500001-21000000	7	20500001	21000000	0.961	0.991	1.082	0.963
7:21000001-21500000	7	21000001	21500000	0.994	1.04	0.983	0.951
7:21500001-22000000	7	21500001	22000000	1.01	1.082	0.966	1.06
7:22000001-22500000	7	22000001	22500000	0.994	0.934	1.087	0.961
7:23000001-23500000	7	23000001	23500000	1.029	1.018	0.926	1.089
7:23500001-24000000	7	23500001	24000000	0.994	0.958	0.973	0.987
7:24000001-24500000	7	24000001	24500000	1.083	1.003	1.061	1.021
7:24500001-25000000	7	24500001	25000000	0.914	1.04	0.977	0.934
7:25000001-25500000	7	25000001	25500000	1.06	1.003	1.024	0.989
7:25500001-26000000	7	25500001	26000000	1.016	1.05	0.959	1.059
7:26000001-26500000	7	26000001	26500000	1.053	0.964	1.062	0.926
7:26500001-27000000	7	26500001	27000000	0.955	0.953	0.999	1.13
7:27000001-27500000	7	27000001	27500000	1.123	0.983	1.064	1.055
7:27500001-28000000	7	27500001	28000000	1.035	0.918	1.074	1.033
7:28000001-28500000	7	28000001	28500000	0.96	1.079	1.078	1.012
7:28500001-29000000	7	28500001	29000000	0.978	1.006	1.128	1.084
7:29000001-29500000	7	29000001	29500000	1.084	1.122	0.963	1.03
7:29500001-30000000	7	29500001	30000000	1.084	1.139	1.106	1.084
7:30000001-30500000	7	30000001	30500000	0.99	0.995	0.991	1.03
7:30500001-31000000	7	30500001	31000000	1.084	1.019	1.008	1.006
7:31000001-31500000	7	31000001	31500000	1.062	0.947	1.054	1.043
7:31500001-32000000	7	31500001	32000000	1.063	0.969	0.913	0.986
7:32000001-32500000	7	32000001	32500000	1.044	0.954	1.098	1.017
7:33000001-33500000	7	33000001	33500000	0.93	0.944	0.842	1.026
7:34000001-34500000	7	34000001	34500000	1.022	0.989	0.91	1.109
7:34500001-35000000	7	34500001	35000000	1.182	1.009	0.975	1.058
7:35500001-36000000	7	35500001	36000000	0.972	1.066	0.999	0.979
7:36500001-37000000	7	36500001	37000000	1.016	1.081	0.968	0.948
7:37500001-38000000	7	37500001	38000000	0.98	0.912	0.999	1.033
7:38000001-38500000	7	38000001	38500000	0.951	0.958	0.954	0.937
7:38500001-39000000	7	38500001	39000000	1.012	0.937	1.017	0.972
7:39000001-39500000	7	39000001	39500000	1.021	1.06	1.047	1.088
7:39500001-40000000	7	39500001	40000000	0.95	1.121	1.02	1.006
7:40000001-40500000	7	40000001	40500000	1.049	0.886	0.955	1.013
7:40500001-41000000	7	40500001	41000000	1.036	1.04	1.014	1.095
7:41000001-41500000	7	41000001	41500000	0.996	0.949	0.963	0.983
7:41500001-42000000	7	41500001	42000000	0.954	0.892	0.982	0.998
7:42000001-42500000	7	42000001	42500000	1.032	1.131	1.166	1.054
7:42500001-43000000	7	42500001	43000000	0.993	1.009	1.04	0.951
7:43000001-43500000	7	43000001	43500000	0.941	1.039	1.01	0.994
7:43500001-44000000	7	43500001	44000000	1.059	1.038	0.995	1.006
7:44000001-44500000	7	44000001	44500000	1.049	1.003	0.953	1.013
7:44500001-45000000	7	44500001	45000000	1.029	1.044	0.951	0.919
7:45500001-46000000	7	45500001	46000000	1.158	1.097	1.105	1.099
7:46000001-46500000	7	46000001	46500000	0.905	1.059	0.961	1.005
7:46500001-47000000	7	46500001	47000000	0.886	1.018	0.963	1
7:47000001-47500000	7	47000001	47500000	1.05	0.899	1.008	0.982
7:47500001-48000000	7	47500001	48000000	1.03	1.112	1.113	1.028
7:48000001-48500000	7	48000001	48500000	1.031	0.927	0.886	0.936
7:48500001-49000000	7	48500001	49000000	0.971	0.8	1.018	0.939
7:49000001-49500000	7	49000001	49500000	0.982	0.914	1.044	1.031
7:49500001-50000000	7	49500001	50000000	0.914	0.951	1.05	1.007
7:50000001-50500000	7	50000001	50500000	0.986	1.03	0.95	0.981
7:50500001-51000000	7	50500001	51000000	0.993	1.07	0.966	0.965
7:51000001-51500000	7	51000001	51500000	1.083	1.044	1.082	1.03
7:51500001-52000000	7	51500001	52000000	1.058	1.039	0.995	1.001
7:52000001-52500000	7	52000001	52500000	0.928	0.994	0.915	0.954
7:52500001-53000000	7	52500001	53000000	0.962	1.004	0.875	0.916
7:53000001-53500000	7	53000001	53500000	0.947	0.89	0.94	0.885
7:53500001-54000000	7	53500001	54000000	0.955	0.869	0.923	0.993
7:54000001-54500000	7	54000001	54500000	0.887	0.956	0.949	0.961
7:54500001-55000000	7	54500001	55000000	1.017	0.919	0.985	0.985
7:69500001-70000000	7	69500001	70000000	1.073	0.942	1.009	1.024
7:70000001-70500000	7	70000001	70500000	1.079	0.935	1.052	1.004
7:70500001-71000000	7	70500001	71000000	0.876	0.841	1.045	0.966
7:71000001-71500000	7	71000001	71500000	0.857	0.994	0.928	0.966
7:71500001-72000000	7	71500001	72000000	0.896	1.035	0.978	0.959
7:73500001-74000000	7	73500001	74000000	0.959	0.97	1.01	0.925
7:74000001-74500000	7	74000001	74500000	0.923	1.039	1.048	0.948
7:77500001-78000000	7	77500001	78000000	0.851	0.793	0.796	0.877
7:78000001-78500000	7	78000001	78500000	0.869	0.981	1.032	1.081
7:78500001-79000000	7	78500001	79000000	0.904	0.994	0.974	1.034
7:79000001-79500000	7	79000001	79500000	0.951	1.057	1.029	1.019
7:79500001-80000000	7	79500001	80000000	1.041	1.024	1.002	1.058
7:80000001-80500000	7	80000001	80500000	1.061	0.981	1.01	1.009
7:80500001-81000000	7	80500001	81000000	1.019	0.912	0.997	1.037
7:81000001-81500000	7	81000001	81500000	1.002	1.088	1.032	0.978
7:81500001-82000000	7	81500001	82000000	1.028	1.101	1.141	1.055
7:82000001-82500000	7	82000001	82500000	1.006	0.969	1.03	1.061
7:82500001-83000000	7	82500001	83000000	0.967	1.05	0.955	0.964
7:84000001-84500000	7	84000001	84500000	1.073	1.021	0.971	0.937
7:84500001-85000000	7	84500001	85000000	1.047	1.013	1.092	1.056
7:85000001-85500000	7	85000001	85500000	1.016	0.958	1.077	1.067
7:85500001-86000000	7	85500001	86000000	0.991	0.953	1.038	0.989
7:86000001-86500000	7	86000001	86500000	0.913	1.016	1.01	1.061
7:86500001-87000000	7	86500001	87000000	0.897	1.047	1.041	0.947
7:87000001-87500000	7	87000001	87500000	0.976	1.037	1.063	1.092
7:87500001-88000000	7	87500001	88000000	0.936	1.048	0.983	1
7:88000001-88500000	7	88000001	88500000	1.03	1.004	0.907	1.069
7:88500001-89000000	7	88500001	89000000	0.981	0.925	1.09	1.018
7:89000001-89500000	7	89000001	89500000	1.015	0.99	0.981	1.035
7:89500001-90000000	7	89500001	90000000	1.001	1.01	1.037	0.973
7:90000001-90500000	7	90000001	90500000	0.914	1.04	0.891	0.945
7:90500001-91000000	7	90500001	91000000	0.958	1.002	1.151	0.942
7:91000001-91500000	7	91000001	91500000	0.96	1.134	1.081	1.147
7:91500001-92000000	7	91500001	92000000	1.117	1.08	1.156	1.094
7:92000001-92500000	7	92000001	92500000	0.925	1.086	0.944	1.087
7:92500001-93000000	7	92500001	93000000	0.905	0.988	1.017	1
7:93000001-93500000	7	93000001	93500000	1.095	1.082	1.133	1.045
7:93500001-94000000	7	93500001	94000000	0.986	0.977	1.018	1.073
7:94000001-94500000	7	94000001	94500000	0.981	1.004	1.091	1.066
7:94500001-95000000	7	94500001	95000000	1.027	1.014	0.96	1.077
7:95000001-95500000	7	95000001	95500000	0.958	1.043	1.039	1.071
7:96000001-96500000	7	96000001	96500000	0.941	0.942	1.001	1.019
7:96500001-97000000	7	96500001	97000000	0.95	1.026	1.023	1.011
7:97000001-97500000	7	97000001	97500000	1.039	1.031	1.044	1.057
7:98000001-98500000	7	98000001	98500000	0.955	1.032	1.002	1.033
7:98500001-99000000	7	98500001	99000000	0.943	0.936	0.992	0.992
7:99000001-99500000	7	99000001	99500000	0.923	0.934	0.949	1.007
7:99500001-100000000	7	99500001	100000000	0.944	1.086	1.043	1.026
7:100500001-101000000	7	100500001	101000000	0.975	0.995	0.936	1.107
7:101000001-101500000	7	101000001	101500000	0.996	0.974	1.075	0.915
7:101500001-102000000	7	101500001	102000000	1.008	1.011	1.109	0.937
7:103500001-104000000	7	103500001	104000000	0.982	1.095	1.021	1.026
7:104000001-104500000	7	104000001	104500000	1.074	0.993	0.991	1.143
7:105000001-105500000	7	105000001	105500000	0.83	0.992	0.919	0.911
7:105500001-106000000	7	105500001	106000000	0.964	1.028	0.96	1.002
7:106000001-106500000	7	106000001	106500000	0.988	0.922	0.925	0.829
7:106500001-107000000	7	106500001	107000000	0.94	1.159	0.946	0.982
7:107000001-107500000	7	107000001	107500000	0.976	0.957	0.932	0.858
7:107500001-108000000	7	107500001	108000000	0.968	0.973	0.997	0.936
7:108000001-108500000	7	108000001	108500000	0.971	0.986	0.974	1.053
7:108500001-109000000	7	108500001	109000000	0.932	0.99	0.974	0.986
7:109000001-109500000	7	109000001	109500000	1	1.119	0.963	1.007
7:109500001-110000000	7	109500001	110000000	0.92	0.937	0.999	0.972
7:110000001-110500000	7	110000001	110500000	0.862	1.034	1.053	1.036
7:110500001-111000000	7	110500001	111000000	1.036	1.062	0.977	1.024
7:111000001-111500000	7	111000001	111500000	1.073	1.086	0.926	1.031
7:111500001-112000000	7	111500001	112000000	0.97	1.055	0.962	0.962
7:112500001-113000000	7	112500001	113000000	1	1.034	1.062	0.996
7:113000001-113500000	7	113000001	113500000	0.979	0.96	1.098	0.896
7:113500001-114000000	7	113500001	114000000	0.913	1.045	0.927	0.935
7:114000001-114500000	7	114000001	114500000	0.982	1.111	1.051	1.028
7:114500001-115000000	7	114500001	115000000	0.928	1.001	0.928	1.079
7:115000001-115500000	7	115000001	115500000	1.046	0.999	1.039	1.037
7:115500001-116000000	7	115500001	116000000	1.009	1.019	1.064	1.053
7:116000001-116500000	7	116000001	116500000	0.936	1.014	0.98	1.062
7:116500001-117000000	7	116500001	117000000	1.024	0.884	0.883	0.999
7:117500001-118000000	7	117500001	118000000	1.008	1.174	1	0.997
7:118000001-118500000	7	118000001	118500000	1.109	1.053	1.062	1.065
7:118500001-119000000	7	118500001	119000000	0.887	0.975	1.039	0.962
7:119000001-119500000	7	119000001	119500000	0.932	1.015	0.9	1.016
7:119500001-120000000	7	119500001	120000000	0.832	0.932	1.079	1.068
7:120000001-120500000	7	120000001	120500000	0.947	1.066	0.939	1.04
7:120500001-121000000	7	120500001	121000000	0.924	1.053	0.964	1.083
7:121000001-121500000	7	121000001	121500000	0.995	0.938	1.059	0.988
7:121500001-122000000	7	121500001	122000000	0.986	1.057	0.995	1.055
7:122000001-122500000	7	122000001	122500000	0.94	1.007	0.89	1.025
7:122500001-123000000	7	122500001	123000000	0.958	1.118	0.836	1.071
7:123000001-123500000	7	123000001	123500000	0.869	0.966	0.958	1.002
7:123500001-124000000	7	123500001	124000000	0.932	1.048	0.958	0.981
7:124000001-124500000	7	124000001	124500000	0.971	0.877	1.033	1.056
7:124500001-125000000	7	124500001	125000000	0.901	0.883	0.947	0.963
7:125000001-125500000	7	125000001	125500000	1.009	1.002	1.018	0.991
7:125500001-126000000	7	125500001	126000000	0.952	0.988	0.949	0.989
7:126000001-126500000	7	126000001	126500000	0.853	0.943	0.941	0.973
7:126500001-127000000	7	126500001	127000000	0.944	1.108	1.114	1.003
7:127000001-127500000	7	127000001	127500000	1.003	0.866	0.988	0.968
7:127500001-128000000	7	127500001	128000000	0.935	0.91	1.007	1.029
7:128000001-128500000	7	128000001	128500000	1.02	0.986	1.014	0.951
7:129000001-129500000	7	129000001	129500000	0.986	0.941	0.87	1.001
7:129500001-130000000	7	129500001	130000000	0.939	0.976	0.872	0.923
7:130500001-131000000	7	130500001	131000000	0.972	0.988	1.094	1.059
7:131000001-131500000	7	131000001	131500000	0.965	0.945	0.987	0.956
7:131500001-132000000	7	131500001	132000000	1.021	1.016	0.985	1.007
7:132000001-132500000	7	132000001	132500000	0.958	0.964	1.02	1.003
7:132500001-133000000	7	132500001	133000000	1.063	1.016	1.072	1.023
7:133000001-133500000	7	133000001	133500000	0.99	0.967	1.03	1.02
7:133500001-134000000	7	133500001	134000000	0.991	0.983	1.026	1.02
7:134000001-134500000	7	134000001	134500000	1.007	1.09	0.966	0.978
7:134500001-135000000	7	134500001	135000000	0.918	0.983	1.028	0.955
7:135000001-135500000	7	135000001	135500000	0.904	0.994	0.938	0.915
7:135500001-136000000	7	135500001	136000000	0.969	0.862	0.925	0.933
7:136000001-136500000	7	136000001	136500000	0.967	1.086	1.05	1.028
7:136500001-137000000	7	136500001	137000000	0.969	0.887	0.971	1.01
7:137000001-137500000	7	137000001	137500000	0.953	1.045	0.93	0.966
7:137500001-138000000	7	137500001	138000000	0.994	1.044	1.039	1.029
7:138000001-138500000	7	138000001	138500000	0.994	0.972	0.901	0.961
7:138500001-139000000	7	138500001	139000000	0.93	0.926	0.946	0.888
7:139000001-139500000	7	139000001	139500000	0.957	0.944	0.807	0.962
7:139500001-140000000	7	139500001	140000000	0.916	0.909	1.004	0.996
7:140000001-140500000	7	140000001	140500000	0.948	0.904	0.961	0.997
7:140500001-141000000	7	140500001	141000000	0.947	0.997	0.967	1.08
7:142000001-142500000	7	142000001	142500000	0.975	1.019	0.997	0.999
7:144500001-145000000	7	144500001	145000000	1.042	1.004	1.013	1.059
7:145000001-145500000	7	145000001	145500000	0.954	1.015	0.987	0.988
7:146000001-146500000	7	146000001	146500000	0.944	1.028	1.032	0.98
7:146500001-147000000	7	146500001	147000000	0.988	0.985	0.963	0.961
7:147000001-147500000	7	147000001	147500000	0.881	1.054	0.916	0.998
7:147500001-148000000	7	147500001	148000000	0.982	0.989	0.931	0.984
7:148000001-148500000	7	148000001	148500000	0.918	1.068	0.905	1.015
7:148500001-149000000	7	148500001	149000000	0.9	1.048	0.938	0.989
7:149000001-149500000	7	149000001	149500000	0.968	0.957	0.948	0.949
7:150500001-151000000	7	150500001	151000000	1.001	1.026	1.046	0.976
7:151000001-151500000	7	151000001	151500000	0.877	0.96	0.928	0.921
7:151500001-152000000	7	151500001	152000000	0.932	0.982	0.99	0.996
7:153000001-153500000	7	153000001	153500000	1.006	1.024	0.964	0.997
7:154500001-155000000	7	154500001	155000000	0.815	0.999	0.964	0.925
7:155000001-155500000	7	155000001	155500000	0.98	0.978	0.979	1.005
7:155500001-156000000	7	155500001	156000000	0.892	0.941	0.932	1.03
7:156000001-156500000	7	156000001	156500000	0.98	1.021	0.951	1.054
7:156500001-157000000	7	156500001	157000000	1.05	0.982	0.897	1.007
7:157000001-157500000	7	157000001	157500000	0.933	0.878	1.01	0.983
7:157500001-158000000	7	157500001	158000000	0.974	0.995	0.979	1.058
7:158000001-158500000	7	158000001	158500000	0.951	1.121	0.995	0.986
7:158500001-159000000	7	158500001	159000000	0.954	0.903	0.99	0.933
8:1000001-1500000	8	1000001	1500000	0.878	1.115	0.936	0.986
8:1500001-2000000	8	1500001	2000000	0.921	0.963	1.055	0.956
8:2500001-3000000	8	2500001	3000000	0.959	0.873	0.84	0.972
8:3000001-3500000	8	3000001	3500000	0.869	0.98	0.965	0.957
8:3500001-4000000	8	3500001	4000000	0.867	0.891	1.009	0.892
8:4000001-4500000	8	4000001	4500000	0.919	0.965	1.011	0.914
8:4500001-5000000	8	4500001	5000000	0.842	0.998	0.94	0.95
8:5000001-5500000	8	5000001	5500000	0.883	1.013	0.997	0.975
8:5500001-6000000	8	5500001	6000000	0.939	1.053	0.933	1.07
8:6000001-6500000	8	6000001	6500000	0.965	0.926	1.008	0.911
8:6500001-7000000	8	6500001	7000000	0.963	0.99	0.98	0.984
8:8500001-9000000	8	8500001	9000000	0.967	0.948	1.044	1.017
8:9000001-9500000	8	9000001	9500000	1.041	1.002	0.939	1.091
8:9500001-10000000	8	9500001	10000000	0.959	1.041	0.949	0.996
8:10000001-10500000	8	10000001	10500000	0.955	0.917	0.94	1.006
8:10500001-11000000	8	10500001	11000000	0.941	0.994	0.993	0.993
8:11000001-11500000	8	11000001	11500000	0.87	1.057	0.988	1.074
8:11500001-12000000	8	11500001	12000000	1.03	0.998	0.974	0.975
8:13500001-14000000	8	13500001	14000000	0.879	0.923	0.952	0.99
8:14000001-14500000	8	14000001	14500000	0.936	0.938	1.014	0.966
8:14500001-15000000	8	14500001	15000000	0.943	0.968	0.981	0.997
8:15000001-15500000	8	15000001	15500000	0.836	0.968	0.876	0.933
8:15500001-16000000	8	15500001	16000000	0.88	1.049	0.985	0.912
8:16500001-17000000	8	16500001	17000000	0.979	1.015	0.973	0.96
8:17000001-17500000	8	17000001	17500000	0.895	0.924	0.859	0.936
8:17500001-18000000	8	17500001	18000000	0.901	0.82	0.922	0.931
8:18000001-18500000	8	18000001	18500000	0.822	0.942	0.949	0.904
8:19000001-19500000	8	19000001	19500000	0.874	0.875	0.92	0.976
8:19500001-20000000	8	19500001	20000000	1.002	0.939	1.015	0.962
8:20000001-20500000	8	20000001	20500000	0.922	0.999	1.019	1.036
8:21000001-21500000	8	21000001	21500000	1.103	0.908	0.986	1.068
8:21500001-22000000	8	21500001	22000000	1.029	1.11	0.992	1.1
8:22000001-22500000	8	22000001	22500000	0.922	0.927	0.988	0.994
8:22500001-23000000	8	22500001	23000000	0.93	0.928	1.022	1.06
8:23000001-23500000	8	23000001	23500000	0.955	1.056	0.989	0.977
8:23500001-24000000	8	23500001	24000000	1.001	0.968	0.914	1.003
8:24000001-24500000	8	24000001	24500000	1.022	0.949	0.981	1.038
8:24500001-25000000	8	24500001	25000000	0.921	0.958	1.136	1.042
8:25000001-25500000	8	25000001	25500000	0.934	0.876	0.939	0.875
8:25500001-26000000	8	25500001	26000000	1.004	1.015	0.996	0.981
8:26000001-26500000	8	26000001	26500000	0.84	1.079	1.026	1.005
8:26500001-27000000	8	26500001	27000000	0.945	1.049	0.982	0.861
8:27000001-27500000	8	27000001	27500000	0.873	0.919	0.955	0.937
8:27500001-28000000	8	27500001	28000000	0.96	1.005	1.039	1.082
8:28000001-28500000	8	28000001	28500000	0.87	0.962	1.084	1.064
8:28500001-29000000	8	28500001	29000000	0.919	0.917	1.038	0.985
8:29000001-29500000	8	29000001	29500000	0.87	0.959	1.056	1.02
8:29500001-30000000	8	29500001	30000000	0.861	1.008	1.035	1.022
8:30000001-30500000	8	30000001	30500000	0.901	0.893	1.086	0.961
8:30500001-31000000	8	30500001	31000000	0.8	0.954	0.928	0.953
8:31000001-31500000	8	31000001	31500000	0.949	0.93	0.951	1.053
8:31500001-32000000	8	31500001	32000000	1.008	1.028	0.965	0.966
8:32000001-32500000	8	32000001	32500000	0.905	0.962	0.944	1.021
8:33500001-34000000	8	33500001	34000000	0.845	1.006	0.986	1.026
8:34000001-34500000	8	34000001	34500000	0.918	0.95	0.999	0.971
8:34500001-35000000	8	34500001	35000000	0.882	1.016	1.003	1.038
8:35000001-35500000	8	35000001	35500000	0.882	0.907	0.957	0.994
8:35500001-36000000	8	35500001	36000000	0.923	0.908	0.969	0.964
8:36500001-37000000	8	36500001	37000000	1.284	1.134	0.95	0.949
8:37000001-37500000	8	37000001	37500000	1.262	1.127	0.981	0.996
8:37500001-38000000	8	37500001	38000000	1.214	0.873	1.029	1.066
8:38000001-38500000	8	38000001	38500000	1.228	1.008	1.047	0.962
8:38500001-39000000	8	38500001	39000000	1.376	1.092	1.085	0.984
8:39000001-39500000	8	39000001	39500000	1.141	0.802	0.824	0.956
8:39500001-40000000	8	39500001	40000000	1.533	0.942	1	1.006
8:40500001-41000000	8	40500001	41000000	1.379	1.12	1.009	0.955
8:41000001-41500000	8	41000001	41500000	1.334	1.13	1.039	1.028
8:41500001-42000000	8	41500001	42000000	1.355	1.088	0.819	0.916
8:42000001-42500000	8	42000001	42500000	1.362	0.999	0.933	0.92
8:42500001-43000000	8	42500001	43000000	1.364	1.004	1.066	0.996
8:47000001-47500000	8	47000001	47500000	1.035	1.076	0.98	1.084
8:47500001-48000000	8	47500001	48000000	0.96	0.995	0.963	0.901
8:48000001-48500000	8	48000001	48500000	1.07	1.125	1.016	1.158
8:48500001-49000000	8	48500001	49000000	1.005	1.024	1.041	1.036
8:49000001-49500000	8	49000001	49500000	1.036	0.997	0.906	1.014
8:49500001-50000000	8	49500001	50000000	1.008	0.927	0.92	0.933
8:50000001-50500000	8	50000001	50500000	0.976	0.988	0.987	0.979
8:51000001-51500000	8	51000001	51500000	1.029	0.957	0.914	1.024
8:51500001-52000000	8	51500001	52000000	1.126	0.97	0.981	0.974
8:52000001-52500000	8	52000001	52500000	0.979	0.962	0.999	0.953
8:52500001-53000000	8	52500001	53000000	0.972	1.052	1.098	1.021
8:53000001-53500000	8	53000001	53500000	0.984	1.143	0.985	0.98
8:53500001-54000000	8	53500001	54000000	1.061	1.017	0.968	0.997
8:54000001-54500000	8	54000001	54500000	1.02	0.923	0.952	0.971
8:54500001-55000000	8	54500001	55000000	1.081	0.967	1.103	1.029
8:55000001-55500000	8	55000001	55500000	1.029	0.972	1.059	1.006
8:55500001-56000000	8	55500001	56000000	1.073	0.904	0.973	1.008
8:56000001-56500000	8	56000001	56500000	1.064	0.991	1.019	1.073
8:57000001-57500000	8	57000001	57500000	0.95	0.939	1.052	0.981
8:57500001-58000000	8	57500001	58000000	1.022	1.061	0.966	0.939
8:58000001-58500000	8	58000001	58500000	1.091	0.988	1.019	0.936
8:58500001-59000000	8	58500001	59000000	1.134	0.938	1.062	0.98
8:59000001-59500000	8	59000001	59500000	1.086	1.095	1.002	1.091
8:59500001-60000000	8	59500001	60000000	1.065	0.917	1.046	0.978
8:60000001-60500000	8	60000001	60500000	1.064	1.063	1.128	1.027
8:60500001-61000000	8	60500001	61000000	0.948	1.026	1.019	0.944
8:61500001-62000000	8	61500001	62000000	1.028	0.986	0.981	1.021
8:62000001-62500000	8	62000001	62500000	1.066	1.011	0.93	1.013
8:62500001-63000000	8	62500001	63000000	1.101	0.876	1.07	0.979
8:63000001-63500000	8	63000001	63500000	0.995	0.995	1.083	0.921
8:63500001-64000000	8	63500001	64000000	1.072	0.952	1.048	0.959
8:64000001-64500000	8	64000001	64500000	1.068	1.026	0.979	1.014
8:64500001-65000000	8	64500001	65000000	0.958	1.107	1.098	1.028
8:65000001-65500000	8	65000001	65500000	1.019	1.118	1.105	1.03
8:65500001-66000000	8	65500001	66000000	0.991	1.054	0.953	0.98
8:66000001-66500000	8	66000001	66500000	0.989	0.999	1.023	1.033
8:66500001-67000000	8	66500001	67000000	1.033	0.917	0.987	1.049
8:67000001-67500000	8	67000001	67500000	0.954	0.942	0.961	0.977
8:68000001-68500000	8	68000001	68500000	1.05	1.002	1.015	0.993
8:68500001-69000000	8	68500001	69000000	1.12	1.062	1.059	0.973
8:69500001-70000000	8	69500001	70000000	1.069	0.948	1.033	1.045
8:70000001-70500000	8	70000001	70500000	1.014	1.017	1.012	0.947
8:70500001-71000000	8	70500001	71000000	1.038	0.966	0.983	0.975
8:71000001-71500000	8	71000001	71500000	1.067	1.082	1.011	1.122
8:71500001-72000000	8	71500001	72000000	1.027	1.001	1.008	1.016
8:72000001-72500000	8	72000001	72500000	1.025	0.962	0.933	0.946
8:73000001-73500000	8	73000001	73500000	1.013	1.06	0.968	1.013
8:73500001-74000000	8	73500001	74000000	1.034	0.997	0.985	0.9
8:74000001-74500000	8	74000001	74500000	0.991	0.943	0.984	1.01
