feature	chromosome	start	end	SLX-17922.D708tp_D502tp.HC22GBBXY.s_6.r_1	SLX-16150.D708tp_D501tp.HC22VBBXY.s_3.r_1	SLX-16150.D709tp_D503tp.HC22VBBXY.s_3.r_1
8:42000001-42500000	8	42000001	42500000	0.999	0.922	0.982
8:42500001-43000000	8	42500001	43000000	1.028	1.022	1.003
8:47000001-47500000	8	47000001	47500000	1.232	1.091	1.095
8:47500001-48000000	8	47500001	48000000	1.047	0.931	0.953
8:48000001-48500000	8	48000001	48500000	1.16	1.181	1.221
8:48500001-49000000	8	48500001	49000000	1.161	1.177	1.139
8:49000001-49500000	8	49000001	49500000	1.253	1.055	1.137
8:49500001-50000000	8	49500001	50000000	1.082	1.131	1.105
8:50000001-50500000	8	50000001	50500000	1.081	1.001	1.167
8:51000001-51500000	8	51000001	51500000	1.174	1.051	1.02
8:51500001-52000000	8	51500001	52000000	1.09	1.022	1.048
8:52000001-52500000	8	52000001	52500000	1.192	1.107	1.093
8:52500001-53000000	8	52500001	53000000	1.117	1.029	1.072
8:53000001-53500000	8	53000001	53500000	1.089	1.072	1.088
8:53500001-54000000	8	53500001	54000000	1.061	1.096	1.173
8:54000001-54500000	8	54000001	54500000	1.115	0.972	1.161
8:54500001-55000000	8	54500001	55000000	1.178	1.107	1.224
8:55000001-55500000	8	55000001	55500000	1.183	1.138	1.254
8:55500001-56000000	8	55500001	56000000	1.111	1.005	1.115
8:56000001-56500000	8	56000001	56500000	1.07	1.114	1.065
8:57000001-57500000	8	57000001	57500000	1.12	1.144	1.036
8:57500001-58000000	8	57500001	58000000	1.048	1.05	1.089
8:58000001-58500000	8	58000001	58500000	1.055	1.144	1.08
8:58500001-59000000	8	58500001	59000000	1.012	1.057	1.082
8:59000001-59500000	8	59000001	59500000	1.092	1.043	1.143
8:59500001-60000000	8	59500001	60000000	1.139	1.142	1.186
8:60000001-60500000	8	60000001	60500000	1.126	1.155	1.096
8:60500001-61000000	8	60500001	61000000	1.092	0.996	0.942
8:61500001-62000000	8	61500001	62000000	1.035	1.159	1.167
8:62000001-62500000	8	62000001	62500000	1.04	1.071	1.207
8:62500001-63000000	8	62500001	63000000	1.134	1.05	1.21
8:63000001-63500000	8	63000001	63500000	1.118	1.094	1.144
8:63500001-64000000	8	63500001	64000000	1.174	1.064	1.217
8:64000001-64500000	8	64000001	64500000	1.164	1.12	1.13
8:64500001-65000000	8	64500001	65000000	1.194	1.046	1.162
8:65000001-65500000	8	65000001	65500000	1.145	1.124	1.103
8:65500001-66000000	8	65500001	66000000	1.095	0.98	1.034
8:66000001-66500000	8	66000001	66500000	1.105	1.039	1.126
8:66500001-67000000	8	66500001	67000000	1.126	1.058	0.991
8:67000001-67500000	8	67000001	67500000	1.039	1.001	1.121
8:68000001-68500000	8	68000001	68500000	1.153	1.09	1.257
8:68500001-69000000	8	68500001	69000000	1.147	1.12	1.085
8:69500001-70000000	8	69500001	70000000	1.053	0.989	1.206
8:70000001-70500000	8	70000001	70500000	1.025	1.055	1.075
8:70500001-71000000	8	70500001	71000000	1.159	1.112	1.137
8:71000001-71500000	8	71000001	71500000	1.111	1.072	1.125
8:71500001-72000000	8	71500001	72000000	1.088	1.132	1.233
8:72000001-72500000	8	72000001	72500000	1.105	1.07	1.06
8:73000001-73500000	8	73000001	73500000	1.074	1.111	1.07
8:73500001-74000000	8	73500001	74000000	1.011	1.033	1.071
8:74000001-74500000	8	74000001	74500000	1.124	1.081	1.138
8:75000001-75500000	8	75000001	75500000	1.117	1.134	1.195
8:75500001-76000000	8	75500001	76000000	1.131	1.112	1.19
8:77000001-77500000	8	77000001	77500000	1.1	1.158	1.185
8:77500001-78000000	8	77500001	78000000	1.101	1.151	1.112
8:78000001-78500000	8	78000001	78500000	1.085	1.107	1.123
8:78500001-79000000	8	78500001	79000000	1.096	1.252	1.165
8:79000001-79500000	8	79000001	79500000	1.217	1.05	1.168
8:79500001-80000000	8	79500001	80000000	1.027	1.07	1.192
8:80000001-80500000	8	80000001	80500000	1.049	1.056	1.083
8:80500001-81000000	8	80500001	81000000	0.989	1.111	1.214
8:81000001-81500000	8	81000001	81500000	1.026	1.16	1.136
8:81500001-82000000	8	81500001	82000000	1.078	1.17	1.221
8:82000001-82500000	8	82000001	82500000	1.067	1.125	1.194
8:82500001-83000000	8	82500001	83000000	1.103	1.103	1.339
8:83000001-83500000	8	83000001	83500000	1.1	1.158	1.13
8:83500001-84000000	8	83500001	84000000	1.081	1.101	1.164
8:84000001-84500000	8	84000001	84500000	1.1	1.216	1.193
8:84500001-85000000	8	84500001	85000000	1.141	1.091	1.203
8:85000001-85500000	8	85000001	85500000	1.126	1.028	1.089
8:86000001-86500000	8	86000001	86500000	1.059	1.022	1.127
8:86500001-87000000	8	86500001	87000000	1.054	1.124	1.122
8:87000001-87500000	8	87000001	87500000	1.254	1.13	1.219
8:87500001-88000000	8	87500001	88000000	1.102	1.088	1.168
8:88000001-88500000	8	88000001	88500000	1.069	1.142	1.129
8:88500001-89000000	8	88500001	89000000	1.235	1.022	1.206
8:89000001-89500000	8	89000001	89500000	1.157	1.008	1.167
8:89500001-90000000	8	89500001	90000000	1.045	0.999	1.111
8:90000001-90500000	8	90000001	90500000	1.119	1.175	1.182
8:90500001-91000000	8	90500001	91000000	1.152	1.096	1.198
8:91000001-91500000	8	91000001	91500000	1.154	1.162	1.166
8:91500001-92000000	8	91500001	92000000	1.23	1.029	1.199
8:92000001-92500000	8	92000001	92500000	1.164	1.16	1.295
8:92500001-93000000	8	92500001	93000000	1.217	1.216	1.132
8:93000001-93500000	8	93000001	93500000	0.995	1.054	1.147
8:93500001-94000000	8	93500001	94000000	1.19	1.149	1.15
8:94000001-94500000	8	94000001	94500000	1.12	1.142	1.141
8:94500001-95000000	8	94500001	95000000	1.037	1.004	0.995
8:95000001-95500000	8	95000001	95500000	1.151	1.045	1.193
8:95500001-96000000	8	95500001	96000000	1.139	1.042	1.12
8:96000001-96500000	8	96000001	96500000	1.083	1.085	1.139
8:96500001-97000000	8	96500001	97000000	1.018	1.127	1.147
8:97000001-97500000	8	97000001	97500000	1.199	1.119	1.256
8:98000001-98500000	8	98000001	98500000	1.037	1.125	1.229
8:98500001-99000000	8	98500001	99000000	1.061	1.253	1.336
8:99500001-100000000	8	99500001	100000000	1.117	1.178	1.163
8:100000001-100500000	8	100000001	100500000	1.112	1.162	1.136
8:100500001-101000000	8	100500001	101000000	1.111	1.012	1.216
8:101000001-101500000	8	101000001	101500000	1.096	1.031	1.194
8:101500001-102000000	8	101500001	102000000	1.272	1.189	1.126
8:102000001-102500000	8	102000001	102500000	1.153	1.154	1.129
8:103500001-104000000	8	103500001	104000000	1.195	1.153	1.187
8:104000001-104500000	8	104000001	104500000	1.15	1.075	1.205
8:104500001-105000000	8	104500001	105000000	1.133	1.05	1.136
8:105000001-105500000	8	105000001	105500000	1.099	1.076	1.11
8:105500001-106000000	8	105500001	106000000	1.299	1.115	1.152
8:106000001-106500000	8	106000001	106500000	1.158	1.098	1.254
8:106500001-107000000	8	106500001	107000000	1.151	1.166	1.151
8:107000001-107500000	8	107000001	107500000	1.15	1.158	1.189
8:107500001-108000000	8	107500001	108000000	1.096	1.11	1.098
8:108000001-108500000	8	108000001	108500000	1.158	1.119	1.272
8:109000001-109500000	8	109000001	109500000	1.182	1.048	1.159
8:109500001-110000000	8	109500001	110000000	1.217	0.994	1.21
8:110000001-110500000	8	110000001	110500000	1.124	1.158	1.164
8:111500001-112000000	8	111500001	112000000	1.115	1.104	1.073
8:112000001-112500000	8	112000001	112500000	1.045	1.13	1.032
8:112500001-113000000	8	112500001	113000000	1.154	1.07	1.24
8:113000001-113500000	8	113000001	113500000	1.124	1.274	1.152
8:113500001-114000000	8	113500001	114000000	1.083	1.105	1.1
8:114000001-114500000	8	114000001	114500000	1.07	1.077	1.144
8:114500001-115000000	8	114500001	115000000	1.158	1.102	1.265
8:115000001-115500000	8	115000001	115500000	1.036	1.05	1.196
8:115500001-116000000	8	115500001	116000000	1.072	1.18	1.16
8:116000001-116500000	8	116000001	116500000	1.152	1.128	1.222
8:116500001-117000000	8	116500001	117000000	1.076	1.03	1.155
8:117000001-117500000	8	117000001	117500000	1.056	1.124	1.152
8:117500001-118000000	8	117500001	118000000	1.153	1.149	1.151
8:118000001-118500000	8	118000001	118500000	1.2	1.111	1.119
8:118500001-119000000	8	118500001	119000000	1.167	1.164	1.257
8:119000001-119500000	8	119000001	119500000	1.225	1.147	1.204
8:119500001-120000000	8	119500001	120000000	1.21	1.088	1.165
8:120500001-121000000	8	120500001	121000000	1.091	1.147	1.104
8:121000001-121500000	8	121000001	121500000	1.132	1.117	1.24
8:121500001-122000000	8	121500001	122000000	1.092	1.059	1.145
8:122000001-122500000	8	122000001	122500000	1.086	0.974	1.232
8:122500001-123000000	8	122500001	123000000	1.19	1.031	1.143
8:123000001-123500000	8	123000001	123500000	1	0.987	1.092
8:123500001-124000000	8	123500001	124000000	1.139	1.13	1.157
8:124000001-124500000	8	124000001	124500000	1.082	1.049	1.104
8:124500001-125000000	8	124500001	125000000	1.055	1.166	1.161
8:125000001-125500000	8	125000001	125500000	1.025	1.068	1.103
8:125500001-126000000	8	125500001	126000000	1.065	1.023	1.023
8:126000001-126500000	8	126000001	126500000	1.112	1.099	1.135
8:126500001-127000000	8	126500001	127000000	1.153	1.062	1.224
8:128000001-128500000	8	128000001	128500000	1.146	1.154	1.172
8:128500001-129000000	8	128500001	129000000	1.324	1.115	1.225
8:129000001-129500000	8	129000001	129500000	1.167	1.1	1.237
8:129500001-130000000	8	129500001	130000000	1.027	1.095	1.137
8:130000001-130500000	8	130000001	130500000	1.035	1.007	1.075
8:130500001-131000000	8	130500001	131000000	1.193	1.204	1.237
8:131000001-131500000	8	131000001	131500000	1.203	1.172	1.103
8:131500001-132000000	8	131500001	132000000	1.161	1.152	1.164
8:132000001-132500000	8	132000001	132500000	1.212	1.209	1.127
8:132500001-133000000	8	132500001	133000000	1.14	1.181	1.177
8:133000001-133500000	8	133000001	133500000	1.105	0.994	1.076
8:134000001-134500000	8	134000001	134500000	1.23	1.139	1.231
8:134500001-135000000	8	134500001	135000000	1.149	1.141	1.116
8:135000001-135500000	8	135000001	135500000	1.19	1.159	1.214
8:135500001-136000000	8	135500001	136000000	1.218	1.09	1.149
8:136000001-136500000	8	136000001	136500000	1.196	1.148	1.204
8:136500001-137000000	8	136500001	137000000	1.123	1.095	1.08
8:137000001-137500000	8	137000001	137500000	1.14	1.117	1.121
8:137500001-138000000	8	137500001	138000000	1.237	1.079	1.188
8:138000001-138500000	8	138000001	138500000	1.187	1.068	1.102
8:138500001-139000000	8	138500001	139000000	1.017	1.045	1.137
8:139000001-139500000	8	139000001	139500000	1.174	1.148	1.119
8:139500001-140000000	8	139500001	140000000	1.219	1.142	1.146
8:140000001-140500000	8	140000001	140500000	1.147	1.099	1.163
8:140500001-141000000	8	140500001	141000000	0.955	1.08	1.102
8:141000001-141500000	8	141000001	141500000	1.069	0.99	1.111
8:141500001-142000000	8	141500001	142000000	1.092	1.04	1.177
8:142000001-142500000	8	142000001	142500000	1.084	0.994	1.071
8:142500001-143000000	8	142500001	143000000	1.142	1.094	1.084
8:143000001-143500000	8	143000001	143500000	1.037	1.076	1.126
8:143500001-144000000	8	143500001	144000000	1.044	1.14	1.079
8:144000001-144500000	8	144000001	144500000	1.055	1.115	1.026
8:144500001-145000000	8	144500001	145000000	1.142	1.108	1.307
9:500001-1000000	9	500001	1000000	0.914	1.035	0.909
9:1000001-1500000	9	1000001	1500000	0.99	0.96	0.997
9:1500001-2000000	9	1500001	2000000	1.042	1.092	0.973
9:2000001-2500000	9	2000001	2500000	0.982	0.969	0.973
9:2500001-3000000	9	2500001	3000000	1.043	1.012	0.922
9:3000001-3500000	9	3000001	3500000	1.025	0.945	0.933
9:3500001-4000000	9	3500001	4000000	1.027	0.987	0.921
9:4000001-4500000	9	4000001	4500000	0.997	0.969	0.96
9:4500001-5000000	9	4500001	5000000	0.945	1.06	0.985
9:5500001-6000000	9	5500001	6000000	0.954	1.045	0.994
9:6000001-6500000	9	6000001	6500000	0.96	0.956	0.989
9:6500001-7000000	9	6500001	7000000	0.969	0.907	0.929
9:7000001-7500000	9	7000001	7500000	0.927	0.894	1.004
9:7500001-8000000	9	7500001	8000000	1.027	0.987	1.023
9:8000001-8500000	9	8000001	8500000	1.074	0.959	1.024
9:8500001-9000000	9	8500001	9000000	1.105	1.028	0.98
9:9000001-9500000	9	9000001	9500000	0.928	0.926	0.906
9:10000001-10500000	9	10000001	10500000	0.963	1.006	0.917
9:10500001-11000000	9	10500001	11000000	0.977	1.034	0.989
9:11000001-11500000	9	11000001	11500000	0.934	0.916	0.936
9:11500001-12000000	9	11500001	12000000	0.943	1.029	0.923
9:12000001-12500000	9	12000001	12500000	0.944	0.937	0.923
9:12500001-13000000	9	12500001	13000000	0.923	1.053	0.979
9:13000001-13500000	9	13000001	13500000	1.103	0.939	0.983
9:13500001-14000000	9	13500001	14000000	0.861	0.989	0.968
9:14000001-14500000	9	14000001	14500000	0.949	1.003	0.932
9:14500001-15000000	9	14500001	15000000	0.941	0.915	1.033
9:15000001-15500000	9	15000001	15500000	0.968	0.961	1.008
9:16000001-16500000	9	16000001	16500000	0.986	1.015	1.069
9:16500001-17000000	9	16500001	17000000	0.935	1.017	1.013
9:17000001-17500000	9	17000001	17500000	0.932	1.021	0.984
9:17500001-18000000	9	17500001	18000000	1.007	1.002	0.965
9:18500001-19000000	9	18500001	19000000	1.025	1.01	1.073
9:19000001-19500000	9	19000001	19500000	0.937	1.031	0.89
9:19500001-20000000	9	19500001	20000000	0.99	0.964	0.906
9:20000001-20500000	9	20000001	20500000	0.969	1.01	1.053
9:20500001-21000000	9	20500001	21000000	0.943	1.005	0.982
9:21000001-21500000	9	21000001	21500000	0.958	0.931	0.94
9:21500001-22000000	9	21500001	22000000	0.934	1.054	0.949
9:22000001-22500000	9	22000001	22500000	1.004	1.063	0.914
9:22500001-23000000	9	22500001	23000000	0.925	0.986	0.977
9:23000001-23500000	9	23000001	23500000	0.891	0.89	0.945
9:23500001-24000000	9	23500001	24000000	1.03	0.909	0.886
9:24000001-24500000	9	24000001	24500000	1.003	1.015	0.965
9:24500001-25000000	9	24500001	25000000	0.973	0.986	0.971
9:25000001-25500000	9	25000001	25500000	0.941	0.888	0.939
9:25500001-26000000	9	25500001	26000000	1.001	0.922	0.872
9:26000001-26500000	9	26000001	26500000	0.932	0.979	1.091
9:26500001-27000000	9	26500001	27000000	1.062	0.959	0.904
9:27000001-27500000	9	27000001	27500000	1.038	0.993	0.908
9:27500001-28000000	9	27500001	28000000	1.055	0.996	0.948
9:28000001-28500000	9	28000001	28500000	0.955	0.998	1.042
9:28500001-29000000	9	28500001	29000000	1.045	1.019	1.049
9:29000001-29500000	9	29000001	29500000	0.97	0.93	1.066
9:29500001-30000000	9	29500001	30000000	0.968	0.902	0.942
9:30000001-30500000	9	30000001	30500000	0.875	0.88	0.827
9:30500001-31000000	9	30500001	31000000	0.865	0.976	0.957
9:31500001-32000000	9	31500001	32000000	0.97	0.903	0.981
9:32000001-32500000	9	32000001	32500000	0.91	0.938	0.988
9:32500001-33000000	9	32500001	33000000	1.027	0.912	1.111
9:33000001-33500000	9	33000001	33500000	1.027	0.961	0.969
9:34000001-34500000	9	34000001	34500000	1.01	1.015	1.204
9:35000001-35500000	9	35000001	35500000	1.133	1.065	1.145
9:35500001-36000000	9	35500001	36000000	0.911	1.016	0.981
9:36500001-37000000	9	36500001	37000000	1.142	1.065	1.08
9:37000001-37500000	9	37000001	37500000	0.869	0.912	1.036
9:37500001-38000000	9	37500001	38000000	1.003	1.023	1.079
9:38000001-38500000	9	38000001	38500000	1.049	0.995	1.051
9:68500001-69000000	9	68500001	69000000	0.976	1.052	0.94
9:69000001-69500000	9	69000001	69500000	1.062	0.931	1.191
9:69500001-70000000	9	69500001	70000000	0.965	1.004	0.955
9:70000001-70500000	9	70000001	70500000	1.139	0.995	1.053
9:70500001-71000000	9	70500001	71000000	0.987	0.944	1.02
9:71000001-71500000	9	71000001	71500000	0.916	1.073	0.999
9:71500001-72000000	9	71500001	72000000	1.011	0.965	0.921
9:72000001-72500000	9	72000001	72500000	0.939	1.091	1.075
9:73000001-73500000	9	73000001	73500000	0.967	0.98	1.077
9:73500001-74000000	9	73500001	74000000	1.023	0.904	1.01
9:74000001-74500000	9	74000001	74500000	1.025	0.981	1.032
9:74500001-75000000	9	74500001	75000000	1.02	0.971	0.997
9:75000001-75500000	9	75000001	75500000	0.953	0.991	1.039
9:75500001-76000000	9	75500001	76000000	0.991	0.933	1.057
9:76000001-76500000	9	76000001	76500000	1.003	0.928	1.055
9:76500001-77000000	9	76500001	77000000	0.972	0.942	1.079
9:77000001-77500000	9	77000001	77500000	0.975	1.101	1.001
9:77500001-78000000	9	77500001	78000000	0.884	0.996	1.004
9:78000001-78500000	9	78000001	78500000	1.087	1.037	1.055
9:79000001-79500000	9	79000001	79500000	0.998	1.053	1.079
9:80000001-80500000	9	80000001	80500000	0.95	0.941	0.996
9:81000001-81500000	9	81000001	81500000	1.063	1.04	1.16
9:82500001-83000000	9	82500001	83000000	1.018	1.048	1.037
9:83000001-83500000	9	83000001	83500000	1.042	1.028	1.053
9:83500001-84000000	9	83500001	84000000	0.948	1.058	0.967
9:84000001-84500000	9	84000001	84500000	1	0.928	1.123
9:84500001-85000000	9	84500001	85000000	1.007	1.055	1.027
9:85000001-85500000	9	85000001	85500000	1.111	1.01	1.028
9:85500001-86000000	9	85500001	86000000	0.997	0.922	1.027
9:86000001-86500000	9	86000001	86500000	0.977	1.174	1.081
9:86500001-87000000	9	86500001	87000000	1.081	1.09	1.068
9:87000001-87500000	9	87000001	87500000	0.985	1.061	1.022
9:87500001-88000000	9	87500001	88000000	1.028	1.063	1.067
9:88000001-88500000	9	88000001	88500000	1.004	0.971	1.19
9:88500001-89000000	9	88500001	89000000	0.997	1.023	1.076
9:89000001-89500000	9	89000001	89500000	0.937	0.929	0.943
9:89500001-90000000	9	89500001	90000000	1.029	1.008	0.983
9:90000001-90500000	9	90000001	90500000	1.057	1.091	1.097
9:90500001-91000000	9	90500001	91000000	1.068	1.063	1.016
9:91000001-91500000	9	91000001	91500000	0.965	1.011	0.951
9:91500001-92000000	9	91500001	92000000	1.086	0.998	1.081
9:93000001-93500000	9	93000001	93500000	0.925	0.971	0.976
9:93500001-94000000	9	93500001	94000000	0.891	1.086	1.014
9:94500001-95000000	9	94500001	95000000	1.1	1.035	1.048
9:95000001-95500000	9	95000001	95500000	0.966	1.02	1.028
9:96000001-96500000	9	96000001	96500000	1.013	1.068	1.018
9:97500001-98000000	9	97500001	98000000	0.895	0.97	1.015
9:98000001-98500000	9	98000001	98500000	1.093	1.044	0.972
9:98500001-99000000	9	98500001	99000000	1.038	1.082	0.993
9:99000001-99500000	9	99000001	99500000	0.988	1.052	1.026
9:99500001-100000000	9	99500001	100000000	1.047	1.044	1.093
9:100000001-100500000	9	100000001	100500000	1.065	1.062	1.007
9:100500001-101000000	9	100500001	101000000	1.093	1.035	1.166
9:101000001-101500000	9	101000001	101500000	1.117	1.035	1.033
9:101500001-102000000	9	101500001	102000000	1.014	1.062	1.089
9:102000001-102500000	9	102000001	102500000	0.982	0.998	1.006
9:102500001-103000000	9	102500001	103000000	0.979	1.026	1.068
9:103000001-103500000	9	103000001	103500000	0.964	0.969	0.983
9:103500001-104000000	9	103500001	104000000	1.065	1.001	1.002
9:104000001-104500000	9	104000001	104500000	0.963	1.083	1.063
9:104500001-105000000	9	104500001	105000000	0.957	0.979	1.057
9:105000001-105500000	9	105000001	105500000	0.944	0.98	0.971
9:105500001-106000000	9	105500001	106000000	1.065	1.117	1.076
9:106000001-106500000	9	106000001	106500000	1.125	1.024	1.106
9:106500001-107000000	9	106500001	107000000	1.05	1.084	1.098
9:107000001-107500000	9	107000001	107500000	1.014	1.061	1.065
9:107500001-108000000	9	107500001	108000000	1.026	0.998	1.076
9:108000001-108500000	9	108000001	108500000	1.087	1.123	1.006
9:108500001-109000000	9	108500001	109000000	1.028	1.002	1.054
9:109000001-109500000	9	109000001	109500000	1.128	1.001	0.992
9:109500001-110000000	9	109500001	110000000	1.066	0.932	1.103
9:110000001-110500000	9	110000001	110500000	0.981	0.984	1.103
9:110500001-111000000	9	110500001	111000000	1.084	0.969	1.012
9:111000001-111500000	9	111000001	111500000	0.961	0.952	1.086
9:111500001-112000000	9	111500001	112000000	0.988	0.894	1.065
9:112000001-112500000	9	112000001	112500000	0.806	0.895	0.821
9:112500001-113000000	9	112500001	113000000	0.963	0.937	1.055
9:113000001-113500000	9	113000001	113500000	1.045	1.037	0.923
9:113500001-114000000	9	113500001	114000000	1.057	1.033	1.03
9:114000001-114500000	9	114000001	114500000	0.988	0.962	0.94
9:114500001-115000000	9	114500001	115000000	0.986	0.908	1.09
9:115000001-115500000	9	115000001	115500000	1.066	1.067	1.075
9:115500001-116000000	9	115500001	116000000	1.062	1.066	1.036
9:116000001-116500000	9	116000001	116500000	0.972	1.07	1.135
9:116500001-117000000	9	116500001	117000000	1.079	1.101	1.105
9:117500001-118000000	9	117500001	118000000	0.926	1.027	1.074
9:118000001-118500000	9	118000001	118500000	1.159	0.885	1.108
9:118500001-119000000	9	118500001	119000000	1.037	1.076	1.081
9:119000001-119500000	9	119000001	119500000	0.94	1.055	1.055
9:119500001-120000000	9	119500001	120000000	1.084	0.996	1.057
9:120000001-120500000	9	120000001	120500000	1.151	1.098	1.042
9:120500001-121000000	9	120500001	121000000	0.942	0.99	1.02
9:121000001-121500000	9	121000001	121500000	0.976	0.93	0.947
9:121500001-122000000	9	121500001	122000000	0.975	1.084	0.954
9:122000001-122500000	9	122000001	122500000	1.024	1.065	0.998
9:123000001-123500000	9	123000001	123500000	1.104	0.979	1.014
9:123500001-124000000	9	123500001	124000000	0.969	1.067	1.146
9:124000001-124500000	9	124000001	124500000	0.922	1.005	1.051
9:124500001-125000000	9	124500001	125000000	1.006	1	1.051
9:125000001-125500000	9	125000001	125500000	0.993	0.936	0.908
9:125500001-126000000	9	125500001	126000000	1.073	1.005	1.038
9:126000001-126500000	9	126000001	126500000	0.964	0.974	1.037
9:126500001-127000000	9	126500001	127000000	1.063	1.079	1.109
9:127000001-127500000	9	127000001	127500000	0.993	1.078	0.951
9:127500001-128000000	9	127500001	128000000	0.988	0.904	1.049
9:128000001-128500000	9	128000001	128500000	1	1.045	1.028
9:128500001-129000000	9	128500001	129000000	1.029	1.009	1.043
9:129000001-129500000	9	129000001	129500000	0.95	0.945	1.063
9:130000001-130500000	9	130000001	130500000	1.029	0.966	1.074
9:130500001-131000000	9	130500001	131000000	1.082	1.037	1.107
9:131000001-131500000	9	131000001	131500000	1.03	0.957	1.01
9:131500001-132000000	9	131500001	132000000	0.983	0.988	1.052
9:132000001-132500000	9	132000001	132500000	0.978	0.923	0.938
9:132500001-133000000	9	132500001	133000000	1.024	1.058	1.037
9:133000001-133500000	9	133000001	133500000	1.01	0.946	0.885
9:133500001-134000000	9	133500001	134000000	1.071	1.029	0.999
9:134500001-135000000	9	134500001	135000000	1.007	0.938	1.017
9:135000001-135500000	9	135000001	135500000	0.959	1.063	1.006
9:135500001-136000000	9	135500001	136000000	1.104	0.987	1.026
9:136000001-136500000	9	136000001	136500000	0.917	0.986	0.958
9:136500001-137000000	9	136500001	137000000	1.037	0.949	1.047
9:137000001-137500000	9	137000001	137500000	0.953	0.937	0.881
9:137500001-138000000	9	137500001	138000000	1.09	1.06	1.097
10:1-500000	10	1	500000	1.114	1.092	1.12
10:500001-1000000	10	500001	1000000	0.965	0.923	1.007
10:1000001-1500000	10	1000001	1500000	1.033	1.078	1.018
10:1500001-2000000	10	1500001	2000000	1.096	0.994	1.055
10:2500001-3000000	10	2500001	3000000	0.963	1.039	0.98
10:3000001-3500000	10	3000001	3500000	0.969	0.931	0.95
10:3500001-4000000	10	3500001	4000000	0.9	0.939	1.019
10:4000001-4500000	10	4000001	4500000	0.896	1.03	1.026
10:4500001-5000000	10	4500001	5000000	0.967	0.899	0.955
10:5000001-5500000	10	5000001	5500000	0.964	1.017	1.036
10:5500001-6000000	10	5500001	6000000	0.891	1.055	1.063
10:6000001-6500000	10	6000001	6500000	1.031	0.996	1.028
10:6500001-7000000	10	6500001	7000000	1.046	1.064	0.976
10:7000001-7500000	10	7000001	7500000	1.092	1.078	1.021
10:7500001-8000000	10	7500001	8000000	1.057	1.001	0.963
10:8000001-8500000	10	8000001	8500000	1.062	0.94	1.001
10:8500001-9000000	10	8500001	9000000	1.017	0.939	0.995
10:9000001-9500000	10	9000001	9500000	1.077	0.963	1.043
10:9500001-10000000	10	9500001	10000000	1.012	1.045	1.118
10:10000001-10500000	10	10000001	10500000	0.972	0.91	1.063
10:10500001-11000000	10	10500001	11000000	0.989	1.093	1.158
10:11000001-11500000	10	11000001	11500000	0.881	0.898	1.038
10:11500001-12000000	10	11500001	12000000	0.964	1.066	1.1
10:12000001-12500000	10	12000001	12500000	0.953	0.927	1.031
10:12500001-13000000	10	12500001	13000000	0.91	1.049	1.085
10:13000001-13500000	10	13000001	13500000	0.975	0.965	1.049
10:13500001-14000000	10	13500001	14000000	1.028	1.013	0.964
10:14000001-14500000	10	14000001	14500000	0.892	1.009	0.945
10:14500001-15000000	10	14500001	15000000	0.941	1.055	0.956
10:15000001-15500000	10	15000001	15500000	1.077	0.987	1.099
10:15500001-16000000	10	15500001	16000000	0.974	0.96	1.038
10:16000001-16500000	10	16000001	16500000	1.02	1.066	0.956
10:16500001-17000000	10	16500001	17000000	0.998	0.979	1.003
10:17000001-17500000	10	17000001	17500000	0.943	0.996	1.024
10:17500001-18000000	10	17500001	18000000	1.128	0.998	1.034
10:18000001-18500000	10	18000001	18500000	1.091	1.031	1.034
10:18500001-19000000	10	18500001	19000000	1.001	0.942	0.979
10:19000001-19500000	10	19000001	19500000	1.036	1.076	1.048
10:20000001-20500000	10	20000001	20500000	1.045	0.976	1.027
10:20500001-21000000	10	20500001	21000000	1.045	1.08	1.007
10:21000001-21500000	10	21000001	21500000	0.98	1.029	1.045
10:21500001-22000000	10	21500001	22000000	0.982	0.927	0.905
10:22000001-22500000	10	22000001	22500000	0.99	1.007	1.029
10:22500001-23000000	10	22500001	23000000	0.921	1.017	0.947
10:23000001-23500000	10	23000001	23500000	0.945	1.019	1.003
10:23500001-24000000	10	23500001	24000000	1.021	1.043	1.006
10:24000001-24500000	10	24000001	24500000	1.002	0.983	1.028
10:24500001-25000000	10	24500001	25000000	0.954	0.953	1.011
10:25000001-25500000	10	25000001	25500000	1.009	0.984	1.025
10:26000001-26500000	10	26000001	26500000	1.13	1.052	1.034
10:27000001-27500000	10	27000001	27500000	0.832	0.983	0.901
10:27500001-28000000	10	27500001	28000000	1.036	1.068	1.059
10:28000001-28500000	10	28000001	28500000	0.934	0.938	0.987
10:28500001-29000000	10	28500001	29000000	0.943	0.905	0.985
10:29000001-29500000	10	29000001	29500000	0.875	0.961	0.978
10:29500001-30000000	10	29500001	30000000	0.975	0.909	1.044
10:30000001-30500000	10	30000001	30500000	0.903	0.924	0.908
10:31000001-31500000	10	31000001	31500000	1.026	1.012	1.044
10:31500001-32000000	10	31500001	32000000	1.017	0.943	1.03
10:32000001-32500000	10	32000001	32500000	0.982	1.032	1.025
10:32500001-33000000	10	32500001	33000000	1.024	1.004	0.967
10:33000001-33500000	10	33000001	33500000	1	1.06	1.023
10:33500001-34000000	10	33500001	34000000	0.99	1.021	1.009
10:34000001-34500000	10	34000001	34500000	0.911	1.084	0.971
10:34500001-35000000	10	34500001	35000000	1.028	1.039	0.965
10:35000001-35500000	10	35000001	35500000	0.879	1.016	0.967
